504401922159411, ERITROMAX, ERITROMAX, NOT FOUND, 1000 UI PO LIOF  INJ CX  FA VD INC + DIL X  1 ML, BU_
504401926154412, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML, BU_
504401935153415, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML, BU_
504401936151416, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML, BU_
504402004153415, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX FA VD INC X 1 ML, BU_
504402005151416, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML, BU_
504402006156411, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX 3 FA VD INC X 1 ML, BU_
504402007152411, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX 6 FA VD INC X 1 ML, BU_
504402008159418, ERITROMAX, ERITROMAX, NOT FOUND, 3000 UI/ML SOL INJ CX 9 FA VD INC X 1 MLML, BU_
504401927150410, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI PO LIOF INJ CX FA VD INC + DIL X 1 ML, BU_
504401928157419, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI PO LIOF INJ CX 12 FA VD INC + DIL X 1 ML, BU_
504401911157410, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT SER PRE-ENCH X 0.5 ML, BU_
504401912153419, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT 12 SER PRE-ENCH X 0.5 ML, BU_
504401953151410, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT 1 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA, BU_
504401956150415, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT 12 SER PREENCH X 0.5 ML + SISTEMA SEGURANCA, BU_
504401904150414, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT SER PRE-ENCH X 1 ML, BU_
504401906153410, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT 12 SER PRE-ENCH X 1 ML, BU_
504401915152413, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CX FA VD INC X 1 ML, BU_
504401916159411, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML, BU_
504401937156411, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML, BU_
504401938152411, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML, BU_
504401954158419, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT 12 SER PREENCH X 1 ML + SISTEMA SEGURANCA, BU_
504401955154417, ERITROMAX, ERITROMAX, NOT FOUND, 4000 UI/ML SOL INJ CT 1 SER PREENCH X 1 ML + SISTEMA SEGURANCA, BU_
504401939159418, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CX 1 AMP VD INC X 1 ML, BU_
504401940157415, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CX 1 FA VD INC X 1 ML, BU_
504401941153413, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CX 1 SER PREENC X 1 ML, BU_
504401942151414, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CX 12 AMP VD INC X 1 ML, BU_
504401943156411, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CX 12 FA VD INC X 1 ML, BU_
504401944152418, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CX 12 SER PREENC X 1 ML, BU_
504401957157413, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CT 1 SER PREENCH X 1 ML + SISTEMA SEGURANCA, BU_
504401958153411, ERITROMAX, ERITROMAX, NOT FOUND, 40000 UI/ML SOL INJ CT 12 SER PREENCH X 1 ML + SISTEMA SEGURANCA, BU_
504402001154410, ERITROMAX, ERITROMAX, NOT FOUND, 500 UI/ML SOL INJ CX FA VD INC X 2 ML, BU_
504413502151411, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.2 ML , BU_
504413509154414, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.2 ML, BU_
504413511159411, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 1 SER VD INC X 0.2 ML + SIST SEGURANCA, BU_
504413515154412, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.2 ML + SIST SEGURANCA, BU_
504413501153419, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.4 ML, BU_
504413506155411, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.4 ML, BU_
504413512155418, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 1 SER VD INC X 0.4 ML + SIST SEGURANCA, BU_
504413516150410, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.4 ML + SIST SEGURANCA, BU_
504413503156415, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.6 ML , BU_
504413508158416, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.6 ML, BU_
504413513151416, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 1 SER VD INC X 0.6 ML + SIST SEGURANCA, BU_
504413520158412, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.6 ML + SIST SEGURANCA, BU_
504413504152413, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 0.8 ML , BU_
504413507151418, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.8 ML, BU_
504413514158414, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 1 SER VD INC X 0.8 ML + SIST SEGURANCA, BU_
504413519151418, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 0.8 ML + SIST SEGURANCA, BU_
504413505159411, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL. INJ. CX 1 SER VD INC. X 1.0 ML , BU_
504413510152411, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 1.0 ML, BU_
504413517157419, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 1 SER VD INC X 1.0 ML + SIST SEGURANCA, BU_
504413518153417, ENOXALOW, ENOXALOW, NOT FOUND, 100 MG/ML SOL INJ CX 10 SER VD INC X 1.0 ML + SIST SEGURANCA, BU_
504413060034806, ETOMIDATO, ETOMIDATO, ETOMIDATO, 2 MG/ML SOL INJ CX C/5 AMP VD INC X 10 ML (EMB HOSP), BU_
504413060034906, ETOMIDATO, ETOMIDATO, ETOMIDATO, 2 MG/ML SOL INJ CX C/ 25 AMP VD INC X 10 ML (EMB HOSP) , BU_
504401803151415, EPÓSIDO, EPOSIDO, NOT FOUND, 20 MG/ML SOL INJ CT 10 FA VD INC X 5 ML, BU_
504414010049518, EFRINALIN, EFRINALIN, NOT FOUND, 1 MG/ML SOL INJ CX 100 AMP VD  AMB X 1 ML, BU_
