522200301139416, BENADRYL, BENADRYL, NOT FOUND, XPE 120 ML, PFZ
522200403111413, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MENTA, PFZ
522200408111411, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT DISPLAY ENV AL X 100 (SABOR FRAMBOESA), PFZ
522242201132318, BENALET TSC, BENALET TSC, NOT FOUND, 3 MG/ML XP FR PLAS AMB X 120 ML, PFZ
522235203151414, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT 10 FA VD INC, PFZ
522235202153413, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + SOL DIL 01 AMP VD INC X 02 ML, PFZ
522200301139416, BENADRYL, BENADRYL, NOT FOUND, XPE 120 ML, PFZ
522200407115413, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CART DISPLAY ENV AL X 100 (SABOR MEL LIMAO), PFZ
522200409118411, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CART DISPLAY ENV AL X 100 (SABOR MENTA), PFZ
522200401117414, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR FRAMBOESA, PFZ
522200402113412, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MEL LIMAO, PFZ
522200403111413, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MENTA, PFZ
522200408111411, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT DISPLAY ENV AL X 100 (SABOR FRAMBOESA), PFZ
522242201132318, BENALET TSC, BENALET TSC, NOT FOUND, 3 MG/ML XP FR PLAS AMB X 120 ML, PFZ
522235203151414, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT 10 FA VD INC, PFZ
522235202153413, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + SOL DIL 01 AMP VD INC X 02 ML, PFZ
522200301139416, BENADRYL, BENADRYL, NOT FOUND, XPE 120 ML, PFZ
522200407115413, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CART DISPLAY ENV AL X 100 (SABOR MEL LIMAO), PFZ
522200409118411, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CART DISPLAY ENV AL X 100 (SABOR MENTA), PFZ
522200401117414, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR FRAMBOESA, PFZ
522200402113412, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MEL LIMAO, PFZ
522200403111413, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT 3 ENV AL X 4 SABOR MENTA, PFZ
522200408111411, BENALET, BENALET, NOT FOUND, 5 MG + 50 MG + 10 MG PAS CT DISPLAY ENV AL X 100 (SABOR FRAMBOESA), PFZ
522242201132318, BENALET TSC, BENALET TSC, NOT FOUND, 3 MG/ML XP FR PLAS AMB X 120 ML, PFZ
522235203151414, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT 10 FA VD INC, PFZ
522235202153413, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + SOL DIL 01 AMP VD INC X 02 ML, PFZ
522242201132318, BENALET TSC, BENALET TSC, NOT FOUND, 3 MG/ML XP FR PLAS AMB X 120 ML, PFZ
522200301139416, BENADRYL, BENADRYL, NOT FOUND, XPE 120 ML, PFZ
522235203151414, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT 10 FA VD INC, PFZ
522235202153413, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + SOL DIL 01 AMP VD INC X 02 ML, PFZ
522242201132318, BENALET TSC, BENALET TSC, NOT FOUND, 3 MG/ML XP FR PLAS AMB X 120 ML, PFZ
522200301139416, BENADRYL, BENADRYL, NOT FOUND, XPE 120 ML, PFZ
522235203151414, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT 10 FA VD INC, PFZ
522235202153413, BEXTRA, BEXTRA, NOT FOUND, 40 MG PO LIOF INJ CT FA VD INC + SOL DIL 01 AMP VD INC X 02 ML, PFZ
