522238401157413, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP), PFZ
522238901117410, PROVERA, PROVERA, NOT FOUND, 10 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238902113419, PROVERA, PROVERA, NOT FOUND, 2.5 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238903111411, PROVERA, PROVERA, NOT FOUND, 5.0 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238401157413, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP), PFZ
522238402153411, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP), PFZ
522238403151412, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP), PFZ
522238502158415, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP), PFZ
522238503154413, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP), PFZ
522238501151417, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP), PFZ
522238601113411, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4, PFZ
522238602111410, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 8, PFZ
522203201119310, PONSTAN, PONSTAN, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 24 , PFZ
522238701118413, PROLIFT, PROLIFT, NOT FOUND, 4 MG COM CT BL AL PLAS OPC X 20, PFZ
522238801112417, PROPIL, PROPIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, PFZ
522238901117410, PROVERA, PROVERA, NOT FOUND, 10 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238902113419, PROVERA, PROVERA, NOT FOUND, 2.5 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238903111411, PROVERA, PROVERA, NOT FOUND, 5.0 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238401157413, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP), PFZ
522238402153411, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP), PFZ
522238403151412, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP), PFZ
522238502158415, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP), PFZ
522238503154413, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP), PFZ
522238501151417, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP), PFZ
522238601113411, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4, PFZ
522238602111410, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 8, PFZ
522203201119310, PONSTAN, PONSTAN, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 24 , PFZ
522238701118413, PROLIFT, PROLIFT, NOT FOUND, 4 MG COM CT BL AL PLAS OPC X 20, PFZ
522238801112417, PROPIL, PROPIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, PFZ
522238901117410, PROVERA, PROVERA, NOT FOUND, 10 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238902113419, PROVERA, PROVERA, NOT FOUND, 2.5 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238903111411, PROVERA, PROVERA, NOT FOUND, 5.0 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238401157413, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP), PFZ
522238402153411, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP), PFZ
522238403151412, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP), PFZ
522238502158415, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP), PFZ
522238503154413, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP), PFZ
522238501151417, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP), PFZ
522238601113411, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4, PFZ
522238602111410, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 8, PFZ
522203201119310, PONSTAN, PONSTAN, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 24 , PFZ
522238701118413, PROLIFT, PROLIFT, NOT FOUND, 4 MG COM CT BL AL PLAS OPC X 20, PFZ
522238801112417, PROPIL, PROPIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, PFZ
522238901117410, PROVERA, PROVERA, NOT FOUND, 10 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238902113419, PROVERA, PROVERA, NOT FOUND, 2.5 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238903111411, PROVERA, PROVERA, NOT FOUND, 5.0 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238901117410, PROVERA, PROVERA, NOT FOUND, 10 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238902113419, PROVERA, PROVERA, NOT FOUND, 2.5 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238903111411, PROVERA, PROVERA, NOT FOUND, 5.0 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522203201119310, PONSTAN, PONSTAN, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 24 , PFZ
522238401157413, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP), PFZ
522238402153411, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP), PFZ
522238403151412, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP), PFZ
522238502158415, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP), PFZ
522238503154413, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP), PFZ
522238501151417, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP), PFZ
522238801112417, PROPIL, PROPIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, PFZ
522238701118413, PROLIFT, PROLIFT, NOT FOUND, 4 MG COM CT BL AL PLAS OPC X 20, PFZ
522238601113411, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4, PFZ
522238602111410, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 8, PFZ
522238901117410, PROVERA, PROVERA, NOT FOUND, 10 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238902113419, PROVERA, PROVERA, NOT FOUND, 2.5 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522238903111411, PROVERA, PROVERA, NOT FOUND, 5.0 MG COM CT 01 BL AL PLAS INC X 14, PFZ
522203201119310, PONSTAN, PONSTAN, NOT FOUND, 500 MG COM CT BL AL PLAS AMB X 24 , PFZ
522238401157413, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 15 ML (REST HOSP), PFZ
522238402153411, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 45 ML (REST HOSP), PFZ
522238403151412, PLATAMINE, PLATAMINE, NOT FOUND, 10 MG/ML SOL INJ CT FA PLAS TRANS X 5 ML (REST HOSP), PFZ
522238502158415, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 100 ML (REST HOSP), PFZ
522238503154413, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 1 FA PLAS TRANS X 50 ML (REST HOSP), PFZ
522238501151417, PLATISTINE, PLATISTINE, NOT FOUND, 1 MG/ML SOL INJ CT 5 FA PLAS TRANS X 10 ML (REST HOSP), PFZ
522238801112417, PROPIL, PROPIL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, PFZ
522238701118413, PROLIFT, PROLIFT, NOT FOUND, 4 MG COM CT BL AL PLAS OPC X 20, PFZ
522238601113411, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 4, PFZ
522238602111410, PLETIL, PLETIL, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 8, PFZ
