500208201159216, HUMIRA, HUMIRA, NOT FOUND, 40 MG/0.8 ML SOL INJ CT 2 BL SER + ENV LENCO COM ALCOOL, ABT
500203801115316, HYTRIN, HYTRIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 14, ABT
500203802111314, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 15, ABT
500203803118312, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 15, ABT
500208201159216, HUMIRA, HUMIRA, NOT FOUND, 40 MG/0.8 ML SOL INJ CT 2 BL SER + ENV LENCO COM ALCOOL, ABT
500208202155214, HUMIRA, HUMIRA, NOT FOUND, 40MG SOL INJ CT 2 BL X SER X 0.8 ML + SIST APLIC PLAST (PEN) + ENV LENCO COM ALCOOL, ABT
500203801115316, HYTRIN, HYTRIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 14, ABT
500203802111314, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 15, ABT
500203803118312, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 15, ABT
500208201159216, HUMIRA, HUMIRA, NOT FOUND, 40 MG/0.8 ML SOL INJ CT 2 BL SER + ENV LENCO COM ALCOOL, ABT
500208202155214, HUMIRA, HUMIRA, NOT FOUND, 40MG SOL INJ CT 2 BL X SER X 0.8 ML + SIST APLIC PLAST (PEN) + ENV LENCO COM ALCOOL, ABT
500203801115316, HYTRIN, HYTRIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 14, ABT
500203802111314, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 15, ABT
500203803118312, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 15, ABT
500208201159216, HUMIRA, HUMIRA, NOT FOUND, 40 MG/0.8 ML SOL INJ CT 2 BL SER + ENV LENCO COM ALCOOL, ABT
500208202155214, HUMIRA, HUMIRA, NOT FOUND, 40MG SOL INJ CT 2 BL X SER X 0.8 ML + SIST APLIC PLAST (PEN) + ENV LENCO COM ALCOOL, ABT
500203801115316, HYTRIN, HYTRIN, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 14, ABT
500203802111314, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 15, ABT
500203803118312, HYTRIN, HYTRIN, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 15, ABT
