520902404152318, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 10 PCC SOL INJ CX 10 (AMP PEBD) ECOFLAC PLUS X 1000 ML, BME
520902414158319, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520905504158312, SOLUÇÃO DE RINGER COM LACTATO, SOLUCAO RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, SOLUÇÃO DE RINGER COM LACTATO, SOLUCAO RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, SOLUÇÃO DE RINGER COM LACTATO, SOLUCAO RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520901504153318, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000ML, BME
520901503157311, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520901502150311, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520901505151319, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 100 ML, BME
520901501154313, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 50 ML, BME
520902404152318, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 100 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520902406155314, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520902405159316, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 100 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520902413151310, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 5 PCC SOL INJ CX 20 ECOFLAC PLUS (AMP PEBD) X 500 ML, BME
520902411159314, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520902417157410, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML, BME
520902418153419, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 100 ML, BME
520902412155312, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520902414158319, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 100 ML, BME
520902415154317, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 50 ML, BME
520904002159314, SOLUCÃO DE MANITOL 20%, SOLUCAO MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905504158312, SOLUÇÃO DE RINGER COM LACTATO, SOLUCAO RINGER LACTATO, NOT FOUND, SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520905506150319, SOLUÇÃO DE RINGER COM LACTATO, SOLUCAO RINGER LACTATO, NOT FOUND, SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520905505154310, SOLUÇÃO DE RINGER COM LACTATO, SOLUCAO RINGER LACTATO, NOT FOUND, SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520901504153318, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000ML, BME
520901503157311, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520901502150311, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520901505151319, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 100 ML, BME
520901501154313, SOLUÇÃO DE CLORETO DE SODIO B.BRAUN, SOLUCAO CLORETO SODIO B BRAUN, NOT FOUND, 9 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 50 ML, BME
520902404152318, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 100 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520902406155314, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520902405159316, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 100 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520902411159314, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 1000 ML, BME
520902417157410, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML, BME
520902418153419, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 100 ML, BME
520902413151310, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 FA PLAS INC SIST FECH X 500 ML, BME
520902412155312, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520902414158319, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 100 ML, BME
520902415154317, SOLUÇÃO DE GLICOSE B. BRAUN, SOLUCAO GLICOSE B BRAUN, NOT FOUND, 50 MG/ML SOL INJ IV CX 50 FA PLAS INC SIST FECH X 50 ML, BME
520904002159314, SOLUCÃO DE MANITOL 20%, SOLUCAO MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
