520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, AMP 500 ML, BME
520902414158319, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, AMP 500 ML, BME
520902001171314, GLICERINA, GLICERINA, NOT FOUND, AMP 500 ML, BME
520902101151315, GLICINA, GLICINA, GLICINA, AMP 2000 ML, BME
520902301159311, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 10 AMP PEBD (ECOFLAC PLUS) X 1000 ML, BME
520902303151316, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 20 AMP PEBD (ECOFLAC PLUS) X 500 ML, BME
520902302155318, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520902404152318, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 10 (AMP PEBD) ECOFLAC PLUS X 1000 ML, BME
520902406155314, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 20 (AMP PEBD) ECOFLAC PLUS X 500 ML, BME
520902405159316, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 30 (AMP PEBD) ECOFLAC PLUS X 250 ML, BME
520902413151310, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 20 ECOFLAC PLUS (AMP PEBD) X 500 ML, BME
520902412155312, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) X 250 ML, BME
520902414158319, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, AMP 500 ML, BME
520902001171314, GLICERINA, GLICERINA, NOT FOUND, AMP 500 ML, BME
520902101151315, GLICINA, GLICINA, GLICINA, AMP 2000 ML, BME
520902301159311, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 10 AMP PEBD (ECOFLAC PLUS) X 1000 ML, BME
520902303151316, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 20 AMP PEBD (ECOFLAC PLUS) X 500 ML, BME
520902302155318, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520902404152318, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 10 (AMP PEBD) ECOFLAC PLUS X 1000 ML, BME
520902406155314, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 20 (AMP PEBD) ECOFLAC PLUS X 500 ML, BME
520902405159316, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 30 (AMP PEBD) ECOFLAC PLUS X 250 ML, BME
520902413151310, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 20 ECOFLAC PLUS (AMP PEBD) X 500 ML, BME
520902412155312, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) X 250 ML, BME
520902414158319, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, AMP 500 ML, BME
520902001171314, GLICERINA, GLICERINA, NOT FOUND, AMP 500 ML, BME
520902101151315, GLICINA, GLICINA, GLICINA, AMP 2000 ML, BME
520902301159311, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 10 AMP PEBD (ECOFLAC PLUS) X 1000 ML, BME
520902303151316, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 20 AMP PEBD (ECOFLAC PLUS) X 500 ML, BME
520902302155318, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520902404152318, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 10 (AMP PEBD) ECOFLAC PLUS X 1000 ML, BME
520902406155314, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 20 (AMP PEBD) ECOFLAC PLUS X 500 ML, BME
520902405159316, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 30 (AMP PEBD) ECOFLAC PLUS X 250 ML, BME
520902413151310, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 20 ECOFLAC PLUS (AMP PEBD) X 500 ML, BME
520902412155312, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) X 250 ML, BME
520902414158319, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, AMP 500 ML, BME
520902001171314, GLICERINA, GLICERINA, NOT FOUND, AMP 500 ML, BME
520902101151315, GLICINA, GLICINA, GLICINA, AMP 2000 ML, BME
520902301159311, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 10 AMP PEBD (ECOFLAC PLUS) X 1000 ML, BME
520902303151316, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 20 AMP PEBD (ECOFLAC PLUS) X 500 ML, BME
520902302155318, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520902404152318, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 10 (AMP PEBD) ECOFLAC PLUS X 1000 ML, BME
520902406155314, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 20 (AMP PEBD) ECOFLAC PLUS X 500 ML, BME
520902405159316, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 30 (AMP PEBD) ECOFLAC PLUS X 250 ML, BME
520902413151310, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 20 ECOFLAC PLUS (AMP PEBD) X 500 ML, BME
520902412155312, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) X 250 ML, BME
520902414158319, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, AMP 500 ML, BME
520902001171314, GLICERINA, GLICERINA, NOT FOUND, AMP 500 ML, BME
520902101151315, GLICINA, GLICINA, GLICINA, AMP 2000 ML, BME
520902301159311, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 10 AMP PEBD (ECOFLAC PLUS) X 1000 ML, BME
520902303151316, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ CX 20 AMP PEBD (ECOFLAC PLUS) X 500 ML, BME
520902302155318, GLICOFISIOLOGICO, GLICOFISIOLOGICO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520902404152318, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 10 (AMP PEBD) ECOFLAC PLUS X 1000 ML, BME
520902406155314, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 20 (AMP PEBD) ECOFLAC PLUS X 500 ML, BME
520902405159316, GLICOSE, GLICOSE, GLICOSE, 10 PCC SOL INJ CX 30 (AMP PEBD) ECOFLAC PLUS X 250 ML, BME
520902413151310, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 20 ECOFLAC PLUS (AMP PEBD) X 500 ML, BME
520902412155312, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) X 250 ML, BME
520902414158319, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 100 ML, BME
520902415154317, GLICOSE, GLICOSE, GLICOSE, 5 PCC SOL INJ CX 50 AMP PERB MINIFLAC X 50 ML, BME
520902411159314, GLICOSE, GLICOSE, GLICOSE, 50 MG/ML SOL INJ CX 10 AMP PEBD TRANS X 1000 ML (ECOFLAC PLUS), BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, 40 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML, BME
520902101151315, GLICINA, GLICINA, GLICINA, AMP 2000 ML, BME
520902303151316, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND,  50 MG/ML + 9 MG/ML SOL INJ IV CX 20 AMP PLAS SIST FECH X 500 ML, BME
520902301159311, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX 10 AMP PLAS SIST FECH X 1000 ML, BME
520902302155318, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, 40 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML, BME
520902303151316, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND,  50 MG/ML + 9 MG/ML SOL INJ IV CX 20 AMP PLAS SIST FECH X 500 ML, BME
520902301159311, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX 10 AMP PLAS SIST FECH X 1000 ML, BME
520902302155318, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520902303151316, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND,  50 MG/ML + 9 MG/ML SOL INJ IV CX 20 AMP PLAS SIST FECH X 500 ML, BME
520902301159311, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX 10 AMP PLAS SIST FECH X 1000 ML, BME
520902302155318, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX FA PLAS INC SIST FECH X 1000 ML, BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, 40 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML, BME
520902303151316, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND,  50 MG/ML + 9 MG/ML SOL INJ IV CX 20 AMP PLAS SIST FECH X 500 ML, BME
520902301159311, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX 10 AMP PLAS SIST FECH X 1000 ML, BME
520902302155318, GLICOSE A 5% + CLORETO DE SÓDIO A 0,9%, GLICOSE A 5 CLORETO SODIO A 0 9, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV CX 30 AMP PLAS SIST FECH X 250 ML, BME
520901901152318, GELAFUNDIN, GELAFUNDIN, NOT FOUND, 40 MG/ML SOL INJ IV CX 10 FA PLAS INC SIST FECH X 500 ML, BME
