529901504114117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; RBY
529912060039406; CLORIDRATO DE AMIODARONA; CLORIDRATO AMIODARONA; CLORIDRATO AMIODARONA; 200 MG COM CT BL AL PLAS INC X 30; RBY
529902601113111; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 10; RBY
529902602111110; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X  16; RBY
529902603116116; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 50 (EMB HOSP); RBY
529914201115119; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT STR AL AL X 30; RBY
529914202111117; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT STR AL AL X 50; RBY
529914203118115; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT STR AL AL X 30; RBY
529914204114113; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT STR AL AL X 50; RBY
529912060038306; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV BL AL/AL X 10; RBY
529912060038406; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV BL AL/AL X 30; RBY
529915301113116; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV BL AL PLAS INC X 30; RBY
529912060038806; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 10 MG COM REV BL AL/AL X 60; RBY
529912060038106; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV BL AL PLAS INC X 10; RBY
529912060038206; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV BL AL/AL X 10; RBY
529912060038506; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV BL AL PLAS INC X 30; RBY
529912060038606; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV BL AL/AL X 30; RBY
529912060038706; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV BL AL PLAS INC X 60; RBY
529912060038906; CLORIDRATO DE DONEPEZILA; CLORIDRATO DONEPEZILA; CLORIDRATO DONEPEZILA; 5 MG COM REV BL AL/AL X 60; RBY
529902701118113; CLORIDRATO DE DOXICICLINA; CLORIDRATO DOXICICLINA; CLORIDRATO DOXICICLINA; 100 MG COM REV CT STR X 15; RBY
529902801112117; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT 1 BL AL PLAS OPC X 10 ; RBY
529902802119115; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT 1 BL AL PLAS OPC X 10 ; RBY
529902901117110; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 10; RBY
529902903111111; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; RBY
529902904116115; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 28; RBY
529912050037906; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 30; RBY
529902902113119; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 7; RBY
529903001111114; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT 5 BL AL PLAS INC X 6; RBY
529913701114113; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; RBY
529903002116111; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT 3 BL AL PLAS INC X 10; RBY
529903003112118; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; RBY
529903101114115; CLORIDRATO DE MINOCICLINA; CLORIDRATO MINOCICLINA; CLORIDRATO MINOCICLINA; 100 MG COM REV CT 3 BL AL PLAS OPC X 10; RBY
529903102110113; CLORIDRATO DE MINOCICLINA; CLORIDRATO MINOCICLINA; CLORIDRATO MINOCICLINA; 100 MG COM REV CT BL AL PLAS OPC X 9; RBY
529914401114116; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 25 MG CAP GEL DURA CT BL AL PLAS INC X 20 ; RBY
529914402110114; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 25 MG CAP GEL DURA CT BL AL PLAS INC X 30; RBY
529914403117112; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 30; RBY
529914404113110; CLORIDRATO DE NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; RBY
529905401115113; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; RBY
529905402111111; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; RBY
529903305119115; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 20; RBY
529903306115113; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; RBY
529914601113113; CLORIDRATO DE TIZANIDINA; CLORIDRATO TIZANIDINA; CLORIDRATO TIZANIDINA; 2 MG COM CT BL AL PLAS BCO OPC X 20 ; RBY
529914602111114; CLORIDRATO DE TIZANIDINA; CLORIDRATO TIZANIDINA; CLORIDRATO TIZANIDINA; 2 MG COM CT BL AL PLAS BCO OPC X 30; RBY
529913070046606; CLORIDRATO DE VALACICLOVIR; CLORIDRATO VALACICLOVIR; CLORIDRATO VALACICLOVIR; 500 MG COM REV CT BL AL PLAS INC X 10; RBY
529913070046706; CLORIDRATO DE VALACICLOVIR; CLORIDRATO VALACICLOVIR; CLORIDRATO VALACICLOVIR; 500 MG COM REV CT BL AL PLAS INC X 42; RBY
529916002111111; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG COM CT BL AL/AL X 14; RBY
529916003116115; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG COM CT BL AL/AL X 15; RBY
529916004112113; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG COM CT BL AL/AL X 28; RBY
529916018113117; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG COM CT BL AL/AL X 30; RBY
529916005119111; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG COM CT BL AL/AL X 60; RBY
529916001113119; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 37.5 MG COM CT BL AL/AL X 7; RBY
529916006115111; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 50 MG COM CT BL AL/AL X 14; RBY
529916007111118; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 50 MG COM CT BL AL/AL X 15; RBY
529916008118116; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 50 MG COM CT BL AL/AL X 28; RBY
529916009114114; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 50 MG COM CT BL AL/AL X 30; RBY
529916010112111; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 50 MG COM CT BL AL/AL X 60; RBY
529916011119111; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 50 MG COM CT BL AL/AL X 7; RBY
529916012115118; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG COM CT BL AL/AL X 14; RBY
529916013111116; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG COM CT BL AL/AL X 15; RBY
529916014118114; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG COM CT BL AL/AL X 28; RBY
529916015114112; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG COM CT BL AL/AL X 30; RBY
529916016110110; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG COM CT BL AL/AL X 60; RBY
529916017117119; CLORIDRATO DE VENLAFAXINA; CLORIDRATO VENLAFAXINA; CLORIDRATO VENLAFAXINA; 75 MG COM CT BL AL/AL X 7; RBY
