514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35MG - COMP - BL - 35 COMP, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35MG - COMP - BL - 35 COMP, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35MG - COMP - BL - 35 COMP, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502407117310, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35MG - COMP - BL - 35 COMP, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502407117310, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35MG - COMP - BL - 35 COMP, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502407117310, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35MG - COMP - BL - 35 COMP, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502407117310, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10MG - COMP - BL - 60 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG - COMP - BL - 60 COMP, J_C
514502407117310, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35 MG - COMP - BL - 35 COMP, J_C
514502501131410, MYLICON, MYLICON, NOT FOUND, 75 MG - SUSPENSAO ORAL - FR - 15 ML, J_C
514502401135317, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG - SUSPENSAO - FR - 100 ML, J_C
514502405130311, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 200 ML, J_C
514502406137318, MOTILIUM, MOTILIUM, NOT FOUND, 1 MG/ML SUS ORAL CT FR VD AMB X 60 ML, J_C
514502403111318, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG - COMP - BL - 30 COMP, J_C
514502404118316, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG - COMP - BL - 60 COMP, J_C
514502407117310, MOTILIUM, MOTILIUM, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, J_C
514506101136310, MAXIFEN, MAXIFEN, NOT FOUND, 40 MG/ML SUS OR CT FR TRANS X 15 ML, J_C
514506102132416, MAXIFEN, MAXIFEN, NOT FOUND, 50 MG/ML SUSP OR CT FR PLAS OPC GOT X 30 ML (SABOR FRAMBOESA), J_C
514502301114318, MICRONOR, MICRONOR, NOT FOUND, 0.35 MG - COMP - BL - 35 COMP, J_C
