Abreviação ,Palavra ,Conceito ,Para fins de certificação em BPF
PO AER  ,Pó Aerossol  ,pó embalado sob pressão contendo um gás propelente e ingredientes terapeuticamente ativos que são liberados após a ativação de um sistema apropriado de válvulas ,Pó aerossol
PO EFEV  ,Pó Efervescente  ,pó contendo  em adição ao(s) ingrediente(s) ativo(s)  substâncias ácidas e carbonatos ou bicarbonatos  os quais liberam dióxido de carbono quando o pó é dissolvido em água. É destinado a ser dissolvido ou disperso em água antes da administração ,Pó efervescente
PO LIOF SOL INJ ,Pó Liofilizado para Solução Injetável  ,pó estéril destinado à adição subsequente de líquido para formar uma solução. Preparado por liofilização  um processo que envolve a remoção de água dos produtos pelo congelamento a pressões extremamente baixas ,Pó liofilizado
PO LIOF SUS INJ  ,Pó Liofilizado para Suspensão Injetável  ,pó estéril destinado à adição subsequente de líquido para formar uma suspensão. Preparado por liofilização  um processo que envolve a remoção de água dos produtos pelo congelamento a pressões extremamente baixas ,Pó liofilizado
PO LIOF SUS INJ LIB PROL  ,Pó Liofilizado para Suspensão Injetável de Liberação Prolongada  ,pó estéril destinado à adição subseqüente de líquido para formar uma suspensão. Preparado por liofilização  um processo que envolve a remoção de água dos produtos pelo congelamento a pressões extremamente baixas. Vide definição de liberação prolongada ,Pó liofilizado
PO COLUT  ,Pó para Colutório  ,pó que deve ser dissolvido em água antes do uso para o preparo do colutório  que é um líquido destinado ao enxágue bucal com ação sobre as gengivas e as mucosas da boca e da garganta. Não deve ser deglutido ,Pó
PO SOL ,Pó para Solução  ,pó destinado a ser reconstituído para formar uma solução ,Pó
PO SOL INJ ,Pó para Solução Injetável  ,pó estéril destinado à adição subsequente de líquido para formar uma solução ,Pó (com esterilização terminal e/ou preparação asséptica)
PO SUS INJ LIB PROL  ,Pó para Suspensão Injetável de Liberação Prolongada  ,pó estéril destinado à adição subsequente de líquido para formar uma suspensão. Vide definição de liberação prolongada ,Pó (com esterilização terminal e/ou preparação asséptica)
RAS ,Rasura ,droga vegetal seca e seccionada  de granulometria definida  com diâmetro acima de 0 315 mm  destinada a preparações extemporâneas como infusos ou decoctos ,Rasura
 SAB  ,Sabonete ,forma farmacêutica sólida com forma variável dependendo do molde de obtenção  derivada da ação de uma solução de álcali em gorduras ou óleos de origem animal ou vegetal. Destinado à aplicação na superfície cutânea ,Sabonete
SUP ,Supositório ,forma farmacêutica sólida de vários tamanhos e formatos  adaptada para introdução no orifício retal  vaginal ou uretral do corpo humano  contendo um ou mais princípios ativos dissolvidos ou dispersos numa base adequada. Os supositórios fundem-se  derretem ou dissolvem na temperatura do corpo ,Supositório
OVL  ,Óvulo ,forma farmacêutica sólida de dose única que pode ter vários formatos  mas que é usualmente ovóide. Contém um ou mais princípios ativos dispersos ou dissolvidos em uma base adequada. Adaptado para introdução no orifício vaginal  fundem-se  derretem ou dissolvem na temperatura do corpo ,Óvulo
TABLE ,Tablete ,forma farmacêutica sólida preparada a partir de uma massa feita com solução hidroalcoólica  o(s) princípio(s) ativo(s) e lactose  ou da própria trituração umedecida em solução hidroalcoólica. É moldado em tableteiros e é frágil e quebradiço ,Tablete
EMU ,Emulsão ,forma farmacêutica líquida de um ou mais princípios ativos que consiste de um sistema de duas fases que envolvem pelo menos dois líquidos imiscíveis e na qual um líquido é disperso na forma de pequenas gotas (fase interna ou dispersa) através de outro líquido (fase externa ou contínua). Normalmente é estabilizada através de um ou mais agentes emulsificantes ,Emulsão
EMU AER  ,Emulsão Aerossol  ,emulsão embalada sob pressão  contendo um gás propelente e ingrediente(s) terapeuticamente ativo(s) que são liberados após a ativação de um sistema apropriado de válvulas ,Emulsão aerossol
EMU GOT  ,Emulsão Gotas  ,emulsão destinada à administração na forma de gotas ,Emulsão
EMU INJ  ,Emulsão Injetável  ,emulsão estéril destinada à administração por injeção ,Emulsão parenteral de pequeno volume (com esterilização terminal ou preparação asséptica)
EMU INFUS  ,Emulsão para Infusão  ,emulsão estéril com água como a fase contínua  normalmente isotônica com o sangue e utilizada principalmente para administração em grande volume ,Emulsão parenteral de grande volume (com esterilização terminal ou preparação asséptica)
EMU SPR  ,Emulsão Spray  ,emulsão administrada na forma de líquido finamente dividido por um jato de ar ou vapor ,Emulsão
ESM ,Esmalte ,solução  contendo um ou mais princípios ativos  para aplicação nas unhas. Forma uma película que não sai com água ,Esmalte
ESP  ,Espuma ,forma farmacêutica que consiste de um grande volume de gás disperso em um líquido  geralmente contendo uma ou mais substâncias ativas. É formada pela ação de um propelente  podendo haver também outros excipientes ,Espuma
LIQ ,Líquido ,forma farmacêutica que consiste de uma substância química pura no estado líquido ,Líquido
OLE ,Óleo ,líquido gorduroso solúvel em éter e insolúvel em água ,Óleo
SAB LIQ  ,Sabonete Líquido  ,solução  contendo um ou mais princípios ativos  para aplicação na superfície cutânea ,Sabonete
COLUT ,Colutório ,solução destinada ao enxágue bucal  com ação sobre as gengivas e as mucosas da boca e da garganta. Não deve ser deglutido ,Colutório
COLUT SPR  ,Colutório Spray  ,solução destinada ao enxágue bucal  com ação sobre as gengivas e as mucosas da boca e da garganta. Apresentado na forma de líquido finamente dividido por um jato de ar ou vapor ,Colutório
ELX ,Elixir ,solução hidroalcoólica de sabor agradável e adocicado  contendo princípio(s) ativo(s) dissolvido(s) ,Elixir
SOL ,Solução ,forma farmacêutica líquida límpida e homogênea  que contém um ou mais princípios ativos dissolvidos em um solvente adequado ou numa mistura de solventes miscíveis ,Solução
SOL AER  ,Solução Aerossol  ,solução embalada sob pressão  contendo um gás propelente e ingrediente(s) terapeuticamente ativo(s) que são liberados após a ativação de um sistema apropriado de válvulas ,Solução aerossol
SOL LIB PROL  ,Solução de Liberação Prolongada  ,forma farmacêutica líquida límpida e homogênea  que contém um ou mais princípios ativos dissolvidos em um solvente adequado ou numa mistura de solventes miscíveis. Vide definição de liberação prolongada ,Solução
SOL GOT  ,Solução Gotas  ,solução destinada à administração na forma de gotas ,Solução
SOL INJ  ,Solução Injetável  ,solução estéril destinada à administração por injeção ,Solução parenteral de pequeno volume (com esterilização terminal e/ou preparação asséptica)
SOL DIL  ,Solução para Diluição  ,solução apresentada em uma forma mais concentrada e que deve ser diluída antes da administração ,Solução
SOL DIL INJ  ,Solução para Diluição Injetável  ,solução estéril apresentada em uma forma concentrada e que deve ser diluída a um volume determinado e com um líquido adequado antes da administração ,Solução parenteral de pequeno volume (com esterilização terminal e/ou preparação asséptica)
SOL DIL COLUT  ,Solução para Diluição para Colutório  ,solução apresentada em uma forma concentrada e que deve ser diluída a um volume determinado e com um líquido adequado  destinada ao enxágue bucal com ação sobre as gengivas e as mucosas da boca e da garganta. Não deve ser deglutida ,Solução
SOL DIL INFUS  ,Solução para Diluição para Infusão  ,solução estéril apresentada em uma forma concentrada e que deve ser diluída a um volume determinado e com um líquido adequado antes de ser administrada por infusão. Esta solução é normalmente isotônica com o sangue e utilizada principalmente para administração em grande volume ,Solução parenteral de pequeno ou grande volume (com esterilização terminal e/ou preparação asséptica)
SOL INFUS  ,Solução para Infusão  ,solução estéril que cumpre todos os requisitos para ser administrada por infusão. Esta solução é normalmente isotônica com o sangue e utilizada principalmente para administração em grande volume ,Solução parenteral de grande volume (com esterilização terminal e/ou preparação asséptica)
SOL IRR ,Solução para Irrigação  ,solução estéril utilizada para irrigação da pele e mucosas ,Solução parenteral de grande volume (com esterilização terminal e/ou preparação asséptica)
SOL SPR  ,Solução Spray  ,solução administrada na forma de líquido finamente dividido por um jato de ar ou vapor ,Solução
SUS ,Suspensão ,forma farmacêutica líquida que contém partículas sólidas dispersas em um veículo líquido  no qual as partículas não são solúveis ,Suspensão
SUS AER  ,Suspensão Aerossol  ,suspensão embalada sob pressão  contendo um gás propelente e ingredientes terapeuticamente ativos que são liberados após a ativação de um sistema apropriado de válvulas ,Suspensão aerossol
SUS LIB PROL  ,Suspensão de Liberação Prolongada  ,forma farmacêutica líquida que contém partículas sólidas dispersas em um veículo líquido  no qual as partículas não são solúveis. Vide definição de liberação prolongada ,Suspensão
SUS LIB RETARD  ,Suspensão de Liberação Retardada  ,forma farmacêutica líquida que contém partículas sólidas dispersas em um veículo líquido  no qual as partículas não são solúveis. Vide definição de liberação retardada ,Suspensão
SUS GOT  ,Suspensão Gotas  ,suspensão destinada à administração na forma de gotas ,Suspensão
SUS INJ  ,Suspensão Injetável  ,suspensão estéril destinada à administração por injeção ,Suspensão parenteral de pequeno volume (com esterilização terminal e/ou preparação asséptica)
