503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503401101114417, BELMIRAX, BELMIRAX, NOT FOUND, CXS. C/ 6 COMP., BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503401101114417, BELMIRAX, BELMIRAX, NOT FOUND, CXS. C/ 6 COMP., BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503401101114417, BELMIRAX, BELMIRAX, NOT FOUND, CXS. C/ 6 COMP., BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503401101114417, BELMIRAX, BELMIRAX, NOT FOUND, CXS. C/ 6 COMP., BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503401101114417, BELMIRAX, BELMIRAX, NOT FOUND, CXS. C/ 6 COMP., BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503401101114417, BELMIRAX, BELMIRAX, NOT FOUND, CXS. C/ 6 COMP., BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10MG CX C/20 DRG, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, CX. C/20 DRG, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, FRS. C/20 ML, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10.0 MG COM REV CX 2 BL AL PLAS INC X 10, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, 333.4 MG + 6.67 MG / ML SOL OR CT FR VD CGT X 20 ML, BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50 MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
503401501163415, BETACORTAZOL, BETACORTAZOL, NOT FOUND, BGS. C/30 GRS CREME, BLF
503401201119410, BELSCOPAN, BELSCOPAN, NOT FOUND, 10.0 MG COM REV CX 2 BL AL PLAS INC X 10, BLF
503401301113414, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, 250 MG + 10 MG COM REV CT BL AL PLAS INC X 20, BLF
503401302136418, BELSPAN COMPOSTO, BELSPAN COMPOSTO, NOT FOUND, 333.4 MG + 6.67 MG / ML SOL OR CT FR VD CGT X 20 ML, BLF
503401403137411, BESODIN, BESODIN, NOT FOUND, FRS C/ 15 ML GOTAS, BLF
503401401118418, BESODIN, BESODIN, NOT FOUND, 300 MG CX C/ 200 DRS, BLF
503401402114416, BESODIN, BESODIN, NOT FOUND, CX. C/20 DRGS., BLF
503400901117412, BELFAREN, BELFAREN, NOT FOUND, 50 MG CX C/20 DRGS, BLF
503400902164414, BELFAREN, BELFAREN, NOT FOUND, BGS C/ 60 G, BLF
503406501110411, BELPIDEX, BELPIDEX, NOT FOUND, 5 MG + 60 MG COM REV CT 2 BL AL PLAS INC X 10, BLF
503401102137410, BELMIRAX, BELMIRAX, NOT FOUND, FRS. C/30 ML SUSP., BLF
503400701118415, BELFACTRIM, BELFACTRIM, NOT FOUND, 800 MG CX C/ 10 COMP, BLF
503400801112419, BELFACTRIN, BELFACTRIN, NOT FOUND, CXS. C/20 COMP., BLF
503400802135412, BELFACTRIN, BELFACTRIN, NOT FOUND, FRS. C/90 ML SUSP., BLF
503400302167412, BACINA, BACINA, NOT FOUND, 5 MG + 250 UI/G POM DERM CT BG AL X 10G, BLF
503400301160414, BACINA, BACINA, NOT FOUND, BGS. C/15 GRS POM., BLF
