525105702134114, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525105702134114, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525105701138116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525100902119411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 100, MDQ
525100901112411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 20, MDQ
525101001131418, CLORAMED, CLORAMED, NOT FOUND, 125MG VD. C/ 60ML, MDQ
525101002111410, CLORAMED, CLORAMED, NOT FOUND, 250MG CX. C/ 12 CAPS., MDQ
525105801116114, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 10, MDQ
525105802112112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 20 , MDQ
525105803119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 60, MDQ
525105601117117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, MDQ
525105602113115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 80, MDQ
525105702134114, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525105701138116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525100902119411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 100, MDQ
525100901112411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 20, MDQ
525101001131418, CLORAMED, CLORAMED, NOT FOUND, 125MG VD. C/ 60ML, MDQ
525101002111410, CLORAMED, CLORAMED, NOT FOUND, 250MG CX. C/ 12 CAPS., MDQ
525105801116114, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 10, MDQ
525105802112112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 20 , MDQ
525105803119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 60, MDQ
525105601117117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, MDQ
525105602113115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 80, MDQ
525105702134114, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525105701138116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525100902119411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 100, MDQ
525100901112411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 20, MDQ
525101001131418, CLORAMED, CLORAMED, NOT FOUND, 125MG VD. C/ 60ML, MDQ
525101002111410, CLORAMED, CLORAMED, NOT FOUND, 250MG CX. C/ 12 CAPS., MDQ
525105801116114, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 10, MDQ
525105802112112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 20 , MDQ
525105803119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 60, MDQ
525105601117117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, MDQ
525105602113115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 80, MDQ
525105702134114, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525105701138116, CARBOCISTEÍNA, CARBOCISTEINA, CARBOCISTEINA, 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED, MDQ
525100902119411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 100, MDQ
525100901112411, CEFALINA, CEFALINA, NOT FOUND, 30MG+300MG+30MG COM REV CT BL AL PVC INC X 20, MDQ
525101001131418, CLORAMED, CLORAMED, NOT FOUND, 125MG VD. C/ 60ML, MDQ
525101002111410, CLORAMED, CLORAMED, NOT FOUND, 250MG CX. C/ 12 CAPS., MDQ
525105801116114, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 10, MDQ
525105802112112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 20 , MDQ
525105803119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150MG COM REV CT BL AL PLAS INC X 60, MDQ
525105601117117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, MDQ
525105602113115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 80, MDQ
525101001131418, CLORAMED, CLORAMED, NOT FOUND, 125MG VD. C/ 60ML, MDQ
525101002111410, CLORAMED, CLORAMED, NOT FOUND, 250 MG CX. C/ 12 CAPS., MDQ
525105801116114, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL PLAS INC X 10, MDQ
525105802112112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL PLAS INC X 20, MDQ
525105803119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL PLAS INC X 60, MDQ
525105601117117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, MDQ
525105602113115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 80, MDQ
525101001131418, CLORAMED, CLORAMED, NOT FOUND, 125MG VD. C/ 60ML, MDQ
525101002111410, CLORAMED, CLORAMED, NOT FOUND, 250 MG CX. C/ 12 CAPS., MDQ
525105801116114, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL PLAS INC X 10, MDQ
525105802112112, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL PLAS INC X 20, MDQ
525105803119110, CLORIDRATO DE RANITIDINA, CLORIDRATO RANITIDINA, CLORIDRATO RANITIDINA, 150 MG COM REV CT BL AL PLAS INC X 60, MDQ
525105601117117, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, MDQ
525105602113115, CLORIDRATO DE TETRACICLINA, CLORIDRATO TETRACICLINA, CLORIDRATO TETRACICLINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 80, MDQ
