1542301430066; OPTILAR; OPTILAR; NOT FOUND; 4 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
1542301990223; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 15; GOB
1542301990339; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 28; GOB
1542301990231; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 28; GOB
1542301990347; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 30; GOB
1542301990241; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 30; GOB
1542301990355; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 56; GOB
1542301990258; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 56; GOB
1542301990363; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVC TRANS X 60; GOB
1542301990274; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PVDC TRANS X 60; GOB
1542301990371; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 98 (EMB HOSP); GOB
1542301990266; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 98 (EMB HOSP); GOB
1542301990381; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 150 (EMB HOSP); GOB
1542301990282; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 150 (EMB HOSP); GOB
1542301990398; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 450 (EMB HOSP); GOB
1542301990290; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 450 (EMB HOSP); GOB
1542301990401; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVC TRANS X 490 (EMB HOSP); GOB
1542301990304; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CX BL AL PVDC TRANS X 490 (EMB HOSP); GOB
