1542300270030; FLEXALGIN; FLEXALGIN; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 30; GOB
1542301640052; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 10 ML (EMB HOSP); GOB
1542301640028; FLUOCINOLONA ACETONIDA + SULFATO DE POLIMIXINA B + SULFATO DE NEOMICINA + CLORIDRATO DE LIDOCAINA; FLUOCINOLONA ACETONIDA SULFATO POLIMIXINA B SULFATO NEOMICINA CLORIDRATO LIDOCAINA; NOT FOUND; 0.250 MG/ML + 10.000 UI/ML + 3.5 MG/ML + 20 MG/ML SOL OTO CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542300140013; FLUCANIL; FLUCANIL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1 ; GOB
1542300140021; FLUCANIL; FLUCANIL; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; GOB
1542300140031; FLUCANIL; FLUCANIL; NOT FOUND; 150 MG CAP GEL DURA CT 50 BL AL PLAS INC X 1 (EMB HOSP); GOB
1542302040016; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 14 ; GOB
1542302040024; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 15; GOB
1542302040032; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 28; GOB
1542302040040; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 30; GOB
1542302040059; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 100 (EMB HOSP); GOB
1542302040067; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 500  (EMB HOSP); GOB
1542302040075; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 14 ; GOB
1542302040083; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 15; GOB
1542302040091; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 28; GOB
1542302040105; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 30; GOB
1542302040113; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 100 (EMB HOSP); GOB
1542302040121; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 100 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); GOB
1542302040131; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 14 ; GOB
1542302040148; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 15; GOB
1542302040156; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X  28; GOB
1542302040164; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; GOB
1542302040172; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 100 (EMB HOSP); GOB
1542302040180; FUMARATO DE QUETIAPINA; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); GOB
1542300040019; FELDANAX; FELDANAX; NOT FOUND; 10 MG CAP GEL DURA CT 01 BL X 15; GOB
1542300040035; FELDANAX; FELDANAX; NOT FOUND; 20 MG CAP GEL DURA CT 01 BL AL PLAS INC X 15; GOB
1542300040027; FELDANAX; FELDANAX; NOT FOUND; 10 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 (EMB HOSP); GOB
1542300040043; FELDANAX; FELDANAX; NOT FOUND; 20 MG CAP GEL DURA CT 30 BL AL PLAS INC X 15 ( EMB HOSPITALAR ); GOB
