1542301340016; IBUVIX; IBUVIX; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS GOT X 30 ML; GOB
1542301330071; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301330118; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PEAD X 120 ML + 50 SER DOS (EMB HOSP); GOB
1542301330096; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301330134; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUSP OR CX 50 FR PET AMB X 120 ML + 50 SER DOS (EMB HOSP); GOB
1542301330169; IBUPROFENO; IBUPROFENO; IBUPROFENO; 100 MG/ML SUSP OR GOT CT FR PLAS OPC X 30 ML; GOB
1542301340423; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + COP; GOB
1542301340431; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 COP (EMB HOSP); GOB
1542301340441; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + SER DOS; GOB
1542301340458; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 SER DOS (EMB HOSP); GOB
1542301340466; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP; GOB
1542301340474; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); GOB
1542301340482; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS; GOB
1542301340490; IBUVIX; IBUVIX; NOT FOUND; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 SER DOS (EMB HOSP); GOB
1542301330185; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + COP; GOB
1542301330193; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 COP (EMB HOSP); GOB
1542301330207; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS OPC X 100 ML + SER DOS; GOB
1542301330215; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS OPC X 100 ML + 50 SER DOS (EMB HOSP); GOB
1542301330223; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + COP; GOB
1542301330231; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 COP (EMB HOSP); GOB
1542301330241; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CT FR PLAS AMB X 100 ML + SER DOS; GOB
1542301330258; IBUPROFENO; IBUPROFENO; IBUPROFENO; 20 MG/ML SUS OR CX 50 FR PLAS AMB X 100 ML + 50 SER DOS (EMB HOSP); GOB
1542301340180; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 10; GOB
1542301340229; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 100 (EMB HOSP); GOB
1542301340199; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 20; GOB
1542301340245; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 200 (EMB HOSP); GOB
1542301340237; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 200 (EMB MULT); GOB
1542301340202; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 30; GOB
1542301340253; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
1542301340261; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 10; GOB
1542301340301; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 100 (EMB HOSP); GOB
1542301340296; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 100 (EMB MULT); GOB
1542301340271; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 20; GOB
1542301340326; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 200 (EMB HOSP); GOB
1542301340318; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 200 (EMB MULT); GOB
1542301340288; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 30; GOB
1542301340334; IBUVIX; IBUVIX; NOT FOUND; 300 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
1542301340342; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 10; GOB
1542301340385; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 100 (EMB HOSP); GOB
1542301340377; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 100 (EMB MULT); GOB
1542301340350; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 20; GOB
1542301340407; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 200 (EMB HOSP); GOB
1542301340393; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 200 (EMB MULT); GOB
1542301340369; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 30; GOB
1542301340415; IBUVIX; IBUVIX; NOT FOUND; 400 MG COM CT BL AL PVC INC X 500 (EMB HOSP); GOB
1542301340210; IBUVIX; IBUVIX; NOT FOUND; 200 MG COM CT BL AL PVC INC X 100 (EMB MULT); GOB
1542301340504; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 4; GOB
1542301340512; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 10; GOB
1542301340520; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 20; GOB
1542301340539; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CT BL AL PLAS TRANS X 30; GOB
1542301340547; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CX BL AL PLAS TRANS X 200 (EMB HOSP); GOB
1542301340555; IBUVIX; IBUVIX; NOT FOUND; 600 MG COM REV CX BL AL PLAS TRANS X 500 (EMB HOSP); GOB
