1542300760011; CETADEX; CETADEX; NOT FOUND; 1 MG/G CREM DERM CT BG AL X 10 G ; GOB
1542301400221; CISTEIL; CISTEIL; NOT FOUND; 120 MG/G GRAN SOL CT 16 ENV AL/PAP X 5G; GOB
1542301400231; CISTEIL; CISTEIL; NOT FOUND; 120 MG/G GRAN SOL CT 50 ENV AL/PAP X 5G (EMB MULT); GOB
1542301400043; CISTEIL; CISTEIL; NOT FOUND; 40 MG/ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); GOB
1542301400061; CISTEIL; CISTEIL; NOT FOUND; 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP); GOB
1542301400027; CISTEIL; CISTEIL; NOT FOUND; 40 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP) ; GOB
1542301400019; CISTEIL; CISTEIL; NOT FOUND; 40 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542301400051; CISTEIL; CISTEIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542301400078; CISTEIL; CISTEIL; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542301400035; CISTEIL; CISTEIL; NOT FOUND; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542300380057; CELETIL; CELETIL; NOT FOUND; 0.4MG/ML + 0.05MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542300380073; CELETIL; CELETIL; NOT FOUND; 0.05 MG/ML + 0.4 MG/ML XPE CX 60 FR VD AMB X 120 ML (EMB. HOSP); GOB
1542300380103; CELETIL; CELETIL; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
1542300380111; CELETIL; CELETIL; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300380081; CELETIL; CELETIL; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
1542300380091; CELETIL; CELETIL; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542300380014; CELETIL; CELETIL; NOT FOUND; 2.0 MG + 0.25 MG COM BL AL PLAS INC X 20 ; GOB
1542300380030; CELETIL; CELETIL; NOT FOUND; 2 MG + 0.25 MG COM 25 BL AL PLAS INC X 20; GOB
1542300010020; CAPOX; CAPOX; NOT FOUND; 12.5 MG COM CT 2 BL AL PLAS INC X 15; GOB
1542300010055; CAPOX; CAPOX; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 15; GOB
1542300010081; CAPOX; CAPOX; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 15; GOB
1542300010039; CAPOX; CAPOX; NOT FOUND; 12.5 MG COM CT 50 BL AL PLAS INC X 15 ( EMB HOSPITALAR ); GOB
1542300010063; CAPOX; CAPOX; NOT FOUND; 25 MG COM CX 50 BL AL PLAS INC X 15 ( EMB HOSPITALAR ); GOB
1542300010098; CAPOX; CAPOX; NOT FOUND; 50 MG COM CT 50 BL AL PLAS INC X 15 ( EMB HOSPITALAR ); GOB
1542300060011; CAPOX H; CAPOX H; NOT FOUND; 50/25 MG COMP. CT 01 BL X 16; GOB
1542300060028; CAPOX H; CAPOX H; NOT FOUND; 50 MG + 25 MG COM CT 3 BL AL PLAS INC X 10; GOB
1542300810035; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542300810019; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542300810027; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP); GOB
1542300810043; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CX 60 FR VD AMB X 100 ML + 60 CP MED (EMB HOSP); GOB
1542300810078; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
1542300810061; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CX 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
1542300810051; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR PEAD X 100 ML + CP MED; GOB
1542300810086; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CX 60 FR PEAD X 100 ML + 60 CP MED (EMB HOSP); GOB
1542300610011; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; GOB
1542300610028; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CX 60 BG AL X 30 G (EMB HOSP); GOB
1542300630010; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G ; GOB
1542300680018; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G ; GOB
1542300680026; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CX 60 BG AL X 30 G (EMB HOS); GOB
1542300630029; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CX 60 BG AL X 30 G (EMB HOSP); GOB
1542300700019; CONACORT; CONACORT; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; GOB
1542300700035; CONACORT; CONACORT; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G ; GOB
1542300700027; CONACORT; CONACORT; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CX 60 BG AL X 30 G; GOB
1542300700043; CONACORT; CONACORT; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CX 60 BG AL X 30 G (EMB HOSP); GOB
1542301060013; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G ; GOB
1542301090011; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G ; GOB
1542301090028; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.64 MG/G + 2.5 MG/G CREM CX 60 BG AL X 30 G (EMB HOSP); GOB
1542300110017; CIVERTIM; CIVERTIM; NOT FOUND; 25 MG COM CT 2 BL AL PLAS INC X 15 ; GOB
1542300110033; CIVERTIM; CIVERTIM; NOT FOUND; 75 MG COM CT 2 BL AL PLAS INC X 15 ; GOB
1542300110025; CIVERTIM; CIVERTIM; NOT FOUND; 25 MG COM CT 30 BL AL PLAS INC X 15 (EMB HOSP); GOB
1542300110041; CIVERTIM; CIVERTIM; NOT FOUND; 75 MG COM CT 30 BL AL PLAS INC X 15 (EMB HOSP); GOB
1542302140010; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS TRANS X 1 ; GOB
1542302140029; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS TRANS X 2; GOB
1542302140037; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS TRANS X 4; GOB
1542302140045; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS TRANS X 8; GOB
1542302140053; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS TRANS X 100; GOB
1542302140061; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS TRANS X 500; GOB
1542302140071; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS TRANS X 1 ; GOB
1542302140088; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS TRANS X 2; GOB
1542302140096; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS TRANS X 4; GOB
1542302140101; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS TRANS X 8; GOB
1542302140118; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS TRANS X 100; GOB
1542302140126; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS TRANS X 500; GOB
1542302140134; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS TRANS X 1; GOB
1542302140142; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS TRANS X 2; GOB
1542302140150; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS TRANS X 4; GOB
1542302140169; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS TRANS X 8; GOB
1542301740022; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CX 50 FR VD AMB GOT X 20 ML (EMB HOSP); GOB
1542301740030; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR PET AMB GOT X 20 ML; GOB
1542301740057; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; GOB
1542301740014; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; GOB
1542301740049; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CX 50 FR PET AMB GOT X 20 ML (EMB HOSP); GOB
1542301740065; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 20 ML (EMB HOSP); GOB
1542300670039; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3.0 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542300670012; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6.0 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542300670047; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3.0 MG/ ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300670020; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6.0 MG/ ML XPE CX 60 FR VD AMB X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300670081; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3.0 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300670071; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3.0 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542300670063; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6.0 MG/ML XPE CX 60 FR PEAD X 120 ML + 60 CP MED (EMB HOSP); GOB
1542300670055; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6.0 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542301680011; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GOB
1542301680021; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5 ML (EMB HOSP); GOB
1542301760139; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR PLAS X 100 ML + CP MED; GOB
1542301760058; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR PLAS X 100 ML + CP MED; GOB
1542301760074; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR PLAS X 120 ML + CP MED; GOB
1542301760015; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542301760031; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542301760066; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CX 50 FR PLAS X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301760082; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CX 50 FR PLAS X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301760041; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301760023; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301760155; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR PLAS X 120 ML + CP MED; GOB
1542301760163; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CX 50 FR PLAS X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301760147; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CX 50 FR PLAS X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301760090; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GOB
1542301760120; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301760112; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; GOB
1542301760104; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301450016; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6; GOB
1542301450024; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; GOB
1542301450032; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 300 (EMB HOSP); GOB
1542300310024; CIPRIX; CIPRIX; NOT FOUND; 250 MG COM CT 2 BL X 7; GOB
1542300310059; CIPRIX; CIPRIX; NOT FOUND; 500 MG COM REV CT 02 BL AL PLAS INC X 07; GOB
1542300310040; CIPRIX; CIPRIX; NOT FOUND; 500 MG COM CT BL X 6; GOB
1542300310067; CIPRIX; CIPRIX; NOT FOUND; 500 MG COM REV CT 50 BL AL PLAS INC X 06 (EMB.HOSP); GOB
1542301580017; CIPRIXIN DEXA; CIPRIXIN DEXA; NOT FOUND; 3.5 MG/ML + 1 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
1542301580025; CIPRIXIN DEXA; CIPRIXIN DEXA; NOT FOUND; 3.5 MG/ML + 1 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP); GOB
1542301570021; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5 MG/ML + 1 MG/ML SOL OFT CX 50 FR GOT PLAS OPC X 5 ML (EMB HOSP); GOB
1542301570011; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5 MG/ML + 1 MG/ML SOL OFT CT FR GOT PLAS OPC X 5 ML; GOB
1542301930018; CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA; CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA; NOT FOUND; 0.25 MG/ML +3 MG/ML SOL OFT CT FR GOT PLAS TRANS X 10 ML ; GOB
1542301930026; CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA; CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA; NOT FOUND; 0.25 MG/ML +3 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 10 ML (EMB HOSP); GOB
1542301930034; CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA; CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA; NOT FOUND; 0.25 MG/ML +3 MG/ML SOL OFT CT FR GOT PLAS TRANS X 15 ML; GOB
1542301930042; CLORIDRATO DE NAFAZOLINA+MALEATO DE FENIRAMINA; CLORIDRATO NAFAZOLINA MALEATO FENIRAMINA; NOT FOUND; 0.25 MG/ML +3 MG/ML SOL OFT CX 50 FR GOT PLAS TRANS X 15 ML (EMB HOSP); GOB
1542301790011; COLÍRIO GEOLAB; COLIRIO GEOLAB; NOT FOUND; 0.15 MG + 0.3 MG SOL OFT CT FR PLAS TRANS GOT X 20 ML; GOB
1542301790038; COLÍRIO GEOLAB; COLIRIO GEOLAB; NOT FOUND; 0.15 MG + 0.3 MG SOL OFT CX 100 FR PLAS TRANS GOT X 20 ML (EMB HOSP); GOB
1542301790021; COLÍRIO GEOLAB; COLIRIO GEOLAB; NOT FOUND; 0.15 MG + 0.3 MG SOL OFT CX 50 FR PLAS TRANS GOT X 20 ML (EMB HOSP); GOB
1542301390056; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CT FR PLAS AMB X 120 ML + SER DOS; GOB
1542301390064; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CX 25 FR PLAS AMB X 120 ML + 25 SER DOS (EMB HOSP) ; GOB
1542301390072; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CX 50 FR PLAS AMB X 120 ML + 50 SER DOS (EMB HOSP) ; GOB
1542301390080; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CX 60 FR PLAS AMB X 120 ML + 60 SER DOS (EMB HOSP) ; GOB
1542301390013; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 15 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; GOB
1542301820018; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA BL AL PLAS INC X 20 ; GOB
1542301820026; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA BL AL PLAS INC X 30 ; GOB
1542301820034; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); GOB
1542301820042; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); GOB
1542301820050; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS TRANS X 60; GOB
1542301820069; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS TRANS X 120 (EMB HOSP) ; GOB
1542301820077; CLORIDRATO DE TANSULOSINA; CLORIDRATO TANSULOSINA; CLORIDRATO TANSULOSINA; 0.4 MG CAP GEL DURA LIB PROL CT BL AL PLAS TRANS X 450 (EMB HOSP) ; GOB
1542300360013; CIXIN; CIXIN; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20 ; GOB
1542300360021; CIXIN; CIXIN; NOT FOUND; 0.5 MG COM CT 20 BL AL PLAS INC X 20 (EMB HOSP); GOB
1542302030010; COLCHICINA; COLCHICINA; COLCHICINA; 0.5 MG COM CT BL AL PLAS AMB X 20; GOB
1542302030029; COLCHICINA; COLCHICINA; COLCHICINA; 0.5 MG COM CT BL AL PLAS AMB X 30 ; GOB
1542302030037; COLCHICINA; COLCHICINA; COLCHICINA; 0.5 MG COM CT BL AL PLAS AMB X 60; GOB
1542302030045; COLCHICINA; COLCHICINA; COLCHICINA; 0.5 MG COM CT BL AL PLAS AMB X 420 (EMB HOSP); GOB
1542302020015; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 12; GOB
1542302020023; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS TRANS X 24; GOB
1542302020031; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP); GOB
1542302020041; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 7.5 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP); GOB
1542302020058; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS TRANS X 12; GOB
1542302020066; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS TRANS X 24; GOB
1542302020074; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 30 MG COM CX BL AL PLAS TRANS X 96 (EMB HOSP); GOB
1542302020082; CODYLEX; CODYLEX; NOT FOUND; 500 MG + 30 MG COM CX BL AL PLAS TRANS X 480 (EMB HOSP); GOB
1542301600050; CLORIDRATO DE HIDROXIZINA; CLORIDRATO HIDROXIZINA; NOT FOUND; 2 MG/ML SOL OR CT FR PET AMB X 120 ML; GOB
