1542301160050; BRONTEK; BRONTEK; NOT FOUND; 10 MG/ML XPE CT FR PEAD X 120 ML + CP MED; GOB
1542301720013; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CT FR VD AMB X 100 ML + CP MED; GOB
1542301720188; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CT FR VD AMB X 120 ML + CP MED; GOB
1542301720218; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CX 50 FR PEAD X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301720234; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301720171; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301720196; BROMEXPEC; BROMEXPEC; NOT FOUND; 0.8 MG/ML XPE EXP INF CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301720153; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CT FR PEAD X 120 ML + CP MED; GOB
1542301720110; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CT FR VD AMB  X 120 ML + CP MED; GOB
1542301720099; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CT FR VD AMB X 100 ML + CP MED; GOB
1542301720145; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CX 50 FR PEAD X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301720161; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CX 50 FR PEAD X 120 ML + 50 CP MED (EMB HOSP); GOB
1542301720102; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CX 50 FR VD AMB X 100 ML + 50 CP MED (EMB HOSP); GOB
1542301720129; BROMEXPEC; BROMEXPEC; NOT FOUND; 1.6 MG/ML XPE EXP ADU CX 50 FR VD AMB X 120 ML + 50 CP MED (EMB HOSP); GOB
1542300980011; BEBEX ADE; BEBEX ADE; NOT FOUND; 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CT BG AL X 45 G; GOB
1542300980046; BEBEX ADE; BEBEX ADE; NOT FOUND; 150 MG/G + 5.000 UI/G + 900 UI/G POM DERM CX X 60 BG AL X 45 G; GOB
1542301560016; BEXETON; BEXETON; NOT FOUND; 0.1 MG/ML ELX CT FR VD AMB X 120 ML + CP MED; GOB
1542301590012; BETOGENTA; BETOGENTA; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CT BG AL X 30; GOB
1542301590020; BETOGENTA; BETOGENTA; NOT FOUND; 0.5 MG/G + 1.0 MG/G CREM DERM CX 50 BG AL X 30 G (EMB HOSP); GOB
1542301590063; BETOGENTA; BETOGENTA; NOT FOUND; 0.5 MG/G + 1.0 MG/G POM DERM CX 50 BG AL X 30 G (EMB HOSP); GOB
1542301590055; BETOGENTA; BETOGENTA; NOT FOUND; 0.5 MG/G + 1.0 MG/G POM DERM CT BG AL X 30; GOB
1542300950015; BEBEX N; BEBEX N; NOT FOUND; 200 MG/G + 100000 UI/G POM DERM CT BG AL X 60G; GOB
1542300950023; BEBEX N; BEBEX N; NOT FOUND; 200 MG/G + 100000 UI/G POM DERM CX 60 BG AL X 60G (EMB HOSP); GOB
