529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3 MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3 MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6 MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6 MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
529203001117312, LEXOTAN, LEXOTAN, NOT FOUND, 3 MG COM CX C/ 2 BL X 10, ROC
529203002113310, LEXOTAN, LEXOTAN, NOT FOUND, 3 MG COM CX C/ 3 BL X 10, ROC
529203003111311, LEXOTAN, LEXOTAN, NOT FOUND, 6 MG COM CX C/ 2 BL X 10, ROC
529203004116317, LEXOTAN, LEXOTAN, NOT FOUND, 6 MG COM CX C/ 3 BL X 10, ROC
529203005139310, LEXOTAN, LEXOTAN, NOT FOUND, GOTAS 20ML, ROC
529202901157312, LANEXAT, LANEXAT, NOT FOUND, 0.1 MG/ML SOL INJ IV CT 5 AMP VD INC X 5 ML , ROC
529203201159310, LIQUEMINE, LIQUEMINE, NOT FOUND, 20.000 UI/ML SUBCUT C/25 AMP VD INC X 0.25ML, ROC
