529200804111412, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT 02 BL AL PLAS INC X 10, ROC
529201204118317, COREG, COREG, NOT FOUND, 6.25MG 14 COMP., ROC
529201302152315, CYMEVENE, CYMEVENE, NOT FOUND, 500MG CX C/ 25 FAMP X 10ML, ROC
529200804111412, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT 02 BL AL PLAS INC X 10, ROC
529200805118410, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 02 BL AL PLAS INC X 10, ROC
529200806114419, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 03 BL AL PLAS INC X 10, ROC
529200901117314, CELLCEPT, CELLCEPT, NOT FOUND, 500MG COMP 5 BL X 10, ROC
529201201119312, COREG, COREG, NOT FOUND, 12.50MG 14 COMP., ROC
529201202115310, COREG, COREG, NOT FOUND, 25MG FR. PLAST. 14 COMP., ROC
529201203111319, COREG, COREG, NOT FOUND, 3.125MG 14 COMP., ROC
529201204118317, COREG, COREG, NOT FOUND, 6.25MG 14 COMP., ROC
529201302152315, CYMEVENE, CYMEVENE, NOT FOUND, 500MG CX C/ 25 FAMP X 10ML, ROC
529200804111412, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT 02 BL AL PLAS INC X 10, ROC
529200805118410, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 02 BL AL PLAS INC X 10, ROC
529200806114419, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 03 BL AL PLAS INC X 10, ROC
529200901117314, CELLCEPT, CELLCEPT, NOT FOUND, 500MG COMP 5 BL X 10, ROC
529201201119312, COREG, COREG, NOT FOUND, 12.50MG 14 COMP., ROC
529201202115310, COREG, COREG, NOT FOUND, 25MG FR. PLAST. 14 COMP., ROC
529201203111319, COREG, COREG, NOT FOUND, 3.125MG 14 COMP., ROC
529201204118317, COREG, COREG, NOT FOUND, 6.25MG 14 COMP., ROC
529201302152315, CYMEVENE, CYMEVENE, NOT FOUND, 500MG CX C/ 25 FAMP X 10ML, ROC
529200804111412, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT 02 BL AL PLAS INC X 10, ROC
529200805118410, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 02 BL AL PLAS INC X 10, ROC
529200806114419, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 03 BL AL PLAS INC X 10, ROC
529200901117314, CELLCEPT, CELLCEPT, NOT FOUND, 500MG COMP 5 BL X 10, ROC
529201201119312, COREG, COREG, NOT FOUND, 12.50MG 14 COMP., ROC
529201202115310, COREG, COREG, NOT FOUND, 25MG FR. PLAST. 14 COMP., ROC
529201203111319, COREG, COREG, NOT FOUND, 3.125MG 14 COMP., ROC
529201204118317, COREG, COREG, NOT FOUND, 6.25MG 14 COMP., ROC
529201302152315, CYMEVENE, CYMEVENE, NOT FOUND, 500MG CX C/ 25 FAMP X 10ML, ROC
529200804111412, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT 02 BL AL PLAS INC X 10, ROC
529200805118410, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 02 BL AL PLAS INC X 10, ROC
529200806114419, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 03 BL AL PLAS INC X 10, ROC
529201201119312, COREG, COREG, NOT FOUND, 12.50 MG 14 COMP., ROC
529201202115310, COREG, COREG, NOT FOUND, 25 MG FR. PLAST. 14 COMP., ROC
529201203111319, COREG, COREG, NOT FOUND, 3.125 MG 14 COMP., ROC
529201204118317, COREG, COREG, NOT FOUND, 6.25 MG 14 COMP., ROC
529201302152315, CYMEVENE, CYMEVENE, NOT FOUND, 500MG CX C/ 25 FAMP X 10ML, ROC
529200901117314, CELLCEPT, CELLCEPT, NOT FOUND, 500 MG COMP 5 BL X 10, ROC
529200804111412, CEDUR, CEDUR, NOT FOUND, 200 MG COM REV CT 02 BL AL PLAS INC X 10, ROC
529200805118410, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 02 BL AL PLAS INC X 10, ROC
529200806114419, CEDUR, CEDUR, NOT FOUND, RETARD - 400 MG COM AP CT 03 BL AL PLAS INC X 10, ROC
529201201119312, COREG, COREG, NOT FOUND, 12.50 MG 14 COMP., ROC
529201202115310, COREG, COREG, NOT FOUND, 25 MG FR. PLAST. 14 COMP., ROC
529201203111319, COREG, COREG, NOT FOUND, 3.125 MG 14 COMP., ROC
529201204118317, COREG, COREG, NOT FOUND, 6.25 MG 14 COMP., ROC
529201302152315, CYMEVENE, CYMEVENE, NOT FOUND, 500MG CX C/ 25 FAMP X 10ML, ROC
529200901117314, CELLCEPT, CELLCEPT, NOT FOUND, 500 MG COMP 5 BL X 10, ROC
