78579; DCAL ; DCAL; NOT FOUND; CPR 600+D x 60; U_Q
55845; DIGESTINA ; DIGESTINA; NOT FOUND; AMP. 10 MG 2 ML x 6; U_Q
50854; DIGESTINA ; DIGESTINA; NOT FOUND; CPR 10 MG x 20; U_Q
51041; DIGESTINA ; DIGESTINA; NOT FOUND; GOTAS 4 MG 20 ML x 1 (/ML); U_Q
113405; DK2CAL ; DK2CAL; NOT FOUND; CPR x 60; U_Q
158168; DK2CAL ; DK2CAL; NOT FOUND; SACHE LAR 5 G x 30; U_Q
54174; DOBTAN ; DOBTAN; NOT FOUND; F.AMP 250 MG 20 ML x 1; U_Q
65537; DOLO MOFF ; DOLO MOFF; NOT FOUND; AMP. 0.20 MG 1 ML x 50 (/ML); U_Q
65538; DOLO MOFF ; DOLO MOFF; NOT FOUND; AMP. 1 MG 2 ML x 50 (/ML); U_Q
62292; DOLO MOFF ; DOLO MOFF; NOT FOUND; AMP. 10 MG 1 ML x 50 (/ML); U_Q
62293; DOLO MOFF ; DOLO MOFF; NOT FOUND; CPR 10 MG x 50; U_Q
62294; DOLO MOFF ; DOLO MOFF; NOT FOUND; CPR 30 MG x 50; U_Q
55914; DORLESS ; DORLESS; NOT FOUND; AMP. 100 MG 2 ML x 6; U_Q
55913; DORLESS ; DORLESS; NOT FOUND; AMP. 50 MG 1 ML x 6; U_Q
55915; DORLESS ; DORLESS; NOT FOUND; CAPS 50 MG x 10; U_Q
55916; DORLESS ; DORLESS; NOT FOUND; GOTAS 100 MG 10 ML x 1 (/ML); U_Q
59358; DORMIUM ; DORMIUM; NOT FOUND; AMP. 15 MG 3 ML x 5; U_Q
59357; DORMIUM ; DORMIUM; NOT FOUND; AMP. 5 MG 5 ML x 5; U_Q
63709; DORMIUM ; DORMIUM; NOT FOUND; AMP. 50 MG 10 ML x 5; U_Q
71884; DORMIUM ; DORMIUM; NOT FOUND; CPR 15 MG x 20; U_Q
77462; DORMIUM ; DORMIUM; NOT FOUND; CPR 15 MG x 30; U_Q
59407; DORNOT ; DORNOT; NOT FOUND; AMP. 50 MG 2 ML x 25 (/ML); U_Q
75330; DOXAPROST ; DOXAPROST; NOT FOUND; CPR 2 MG x 30; U_Q
75329; DOXAPROST ; DOXAPROST; NOT FOUND; CPR 4 MG x 30; U_Q
64409; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR. AD 3 MG 120 ML x 1 (/ML); U_Q
80690; DRUSOLOL ; DRUSOLOL; NOT FOUND; COLIRIO 5 ML x 1; U_Q
