63706, CAPOTRAT , CAPOTRAT, NOT FOUND, CPR 25 MG x 30, U_Q
92084, CICLOVULAR NF , CICLOVULAR NF, NOT FOUND, AMP 1 ML x 1, U_Q
60854, CIPRONOM , CIPRONOM, NOT FOUND, COLIRIO 3.50 MG 5 ML x 1 (/ML), U_Q
70333, CLO CLINDAMICIN MG , CLO CLINDAMICIN, CLORIDRATO CLINDAMICINA MONOIDRATADO, CAPS 300 MG x 16, U_Q
65286, CLO CLOB+S DOXI MG , CLO CLOB S DOXI, NOT FOUND, GOTAS 20 ML x 1, U_Q
64400, CLO CLOB+S DOXI MG , CLO CLOB S DOXI, NOT FOUND, XAR. 120 ML x 1, U_Q
64401, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 30, U_Q
64402, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 40, U_Q
47795, CLOMAZEN , CLOMAZEN, NOT FOUND, CREME 1 % 20 G x 1, U_Q
69993, CLOMIPRAN , CLOMIPRAN, NOT FOUND, CPR REVEST 10 MG x 20, U_Q
69992, CLOMIPRAN , CLOMIPRAN, NOT FOUND, CPR REVEST 25 MG x 20, U_Q
67977, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, SOLN ORAL 2.50 MG 20 ML x 1 (/ML), U_Q
80461, CLOR DOPAMINA MG , CLOR DOPAMINA, CLORIDRATO DOPAMINA, AMP. 5 MG 10 ML x 50 (/ML), U_Q
63708, CLOR DOPAMINA MG , CLOR DOPAMINA, CLORIDRATO DOPAMINA, AMP.INFUSION 5 MG 10 ML x 10, U_Q
71562, CLOR PETIDINA MG , CLOR PETIDINA, CLORIDRATO PETIDINA, AMP. 50 MG 2 ML x 25 (/ML), U_Q
64407, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 100 MG 2 ML x 50, U_Q
64406, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 100 MG 2 ML x 6, U_Q
64405, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 50 MG 1 ML x 50, U_Q
64404, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 50 MG 1 ML x 6, U_Q
65532, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, AMP. 50 MG 2 ML x 5, U_Q
64403, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, AMP. 50 MG 2 ML x 50, U_Q
50842, CLORPROMAZ , CLORPROMAZ, NOT FOUND, AMP. 25 MG 5 ML x 50, U_Q
50843, CLORPROMAZ , CLORPROMAZ, NOT FOUND, CPR 100 MG x 100, U_Q
72793, CLOTADONA , CLOTADONA, NOT FOUND, CPR 50 MG x 28, U_Q
69996, CLOTRIMAZOL MG , CLOTRIMAZOL, CLOTRIMAZOL, CREME 10 MG 20 G x 1 (/G), U_Q
61727, CODEX , CODEX, NOT FOUND, CPR 30 MG x 12, U_Q
61726, CODEX , CODEX, NOT FOUND, CPR 7.50 MG x 12, U_Q
67541, COLONAC , COLONAC, NOT FOUND, XAR. 667 MG 120 ML x 1 (/ML), U_Q
2781, CONIDRIN , CONIDRIN, NOT FOUND, GOTAS 10 ML x 1 (LACT), U_Q
61902, CONIDRIN , CONIDRIN, NOT FOUND, SOL NASAL AD 30 ML x 1, U_Q
61903, CONIDRIN , CONIDRIN, NOT FOUND, SOL NASAL PE 20 ML x 1, U_Q
83467, CONIDRIN BABY , CONIDRIN BABY, NOT FOUND, GOTAS NA INF 0.90 % 30 ML x 1, U_Q
73944, CONIDRIN SALINAS , CONIDRIN SALINAS, NOT FOUND, GOTAS NEBU 9 MG 30 ML x 1, U_Q
73943, CONIDRIN SALINAS , CONIDRIN SALINAS, NOT FOUND, SPRAY NASAL 9 MG 50 ML x 1, U_Q
68782, CONSTANTE , CONSTANTE, NOT FOUND, CPR 0.25 MG x 20, U_Q
76441, CONSTANTE , CONSTANTE, NOT FOUND, CPR 0.25 MG x 30, U_Q
68783, CONSTANTE , CONSTANTE, NOT FOUND, CPR 0.50 MG x 20, U_Q
76442, CONSTANTE , CONSTANTE, NOT FOUND, CPR 0.50 MG x 30, U_Q
68784, CONSTANTE , CONSTANTE, NOT FOUND, CPR 1 MG x 20, U_Q
76443, CONSTANTE , CONSTANTE, NOT FOUND, CPR 1 MG x 30, U_Q
63772, CORTISONAL , CORTISONAL, NOT FOUND, CREME 20 G x 1, U_Q
62183, CORTISONAL , CORTISONAL, NOT FOUND, F.AMP SOLV 100 MG x 50, U_Q
62184, CORTISONAL , CORTISONAL, NOT FOUND, F.AMP SOLV 500 MG x 50, U_Q
161206, CRAVOSAN , CRAVOSAN, NOT FOUND, GEL 20 G x 1, U_Q
66817, CRISTALIN , CRISTALIN, NOT FOUND, SOLN OFTAL 15 ML x 1, U_Q
60853, CYLOCORT , CYLOCORT, NOT FOUND, COLIRIO 5 ML x 1, U_Q
78327, CYLOCORT , CYLOCORT, NOT FOUND, POM. OFTAL 3.50 G x 1, U_Q
