511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX C/30 CP, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5MG CX500 CP, HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5MG CX500 CP, HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5MG CX500 CP, HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5MG CX500 CP, HPO
511612602173116, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML, HPO
511612601177118, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CX 10 FR VD INC SPRAY X 50 ML , HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5MG CX500 CP, HPO
511612602173116, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML, HPO
511612601177118, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CX 10 FR VD INC SPRAY X 50 ML , HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5MG CX500 CP, HPO
511612602173116, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML, HPO
511612601177118, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CX 10 FR VD INC SPRAY X 50 ML , HPO
511612602173116, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML, HPO
511612601177118, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CX 10 FR VD INC SPRAY X 50 ML , HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10 MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10 MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20 MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20 MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5 MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5 MG CX500 CP, HPO
511612602173116, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CT FR VD INC SPRAY X 50 ML, HPO
511612601177118, LIDOCAINA  , LIDOCAINA, LIDOCAINA, 100 MG/ML SOL TOP CX 10 FR VD INC SPRAY X 50 ML , HPO
511602702116419, LAPRITEC, LAPRITEC, NOT FOUND, 10 MG CX C/30 CP, HPO
511602701111413, LAPRITEC, LAPRITEC, NOT FOUND, 10 MG CX500 CP, HPO
511602703112417, LAPRITEC, LAPRITEC, NOT FOUND, 20 MG CX C/30 CP, HPO
511602704119415, LAPRITEC, LAPRITEC, NOT FOUND, 20 MG CX500 CPR, HPO
511602706111411, LAPRITEC, LAPRITEC, NOT FOUND, 5 MG COM CX BL AL PLAS AMB X 30, HPO
511602705115413, LAPRITEC, LAPRITEC, NOT FOUND, 5 MG CX500 CP, HPO
