506715803167419; NADERM; NADERM; NOT FOUND; 0.64 MG/G + 20.0 MG/G + 2.5 MG/G POM DERM CT BG AL X 15 G; CT6
506711903159415; NOVABUPI COM VASOCONSTRITOR; NOVABUPI VASOCONSTRITOR; NOT FOUND; 0.75 PCC + 9.1 MCG / ML SOL INJ CX 10 EST FA VD INC X 20 ML; CT6
506712101153413; NUBAIN; NUBAIN; NOT FOUND; 10 MG/ML SOL INJ CX 10 AMP VD AMB X 1 ML; CT6
506715020056003; NARCAN; NARCAN; NOT FOUND; 0.4 MG/ML SOL INJ CX 36 AMP VD TRANS X 1 ML (EMB HOSP); CT6
506709901152411; NARCAN; NARCAN; NOT FOUND; 0.4 MG/ML SOL INJ CX 10 AMP VD INC X 1 ML (EMB HOSP); CT6
506715010055103; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
506710101156416; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CT 1 AMP VD INC X 2 ML; CT6
506710102152414; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML; CT6
506710103159412; NAUSEDRON; NAUSEDRON; NOT FOUND; 2 MG/ML SOL INJ CT 1 AMP VD INC X 4 ML; CT6
506710105151419; NAUSEDRON; NAUSEDRON; NOT FOUND;  2 MG/ML SOL INJ CX 50 AMP VD INC X 4 ML ( EMB HOSP); CT6
506710104112411; NAUSEDRON; NAUSEDRON; NOT FOUND; 8 MG COM REV CT BL AL PLAS X 10; CT6
506710701110417; NEURAL; NEURAL; NOT FOUND; 100 MG COM CX  BL AL PLAS INC X 200 (EMB HOSP); CT6
506710702117415; NEURAL; NEURAL; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; CT6
506710703113413; NEURAL; NEURAL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; CT6
506710704111414; NEURAL; NEURAL; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; CT6
506711101133112; NISTATINA; NISTATINA; NISTATINA; 100.000 UI/ML SUS OR CT FR VD AMB X 50 ML + CGT; CT6
506711102164119; NISTATINA; NISTATINA; NISTATINA; 25000 UI/G CREM VAG CT BG AL X 60 G + 14 APLIC; CT6
506711401161111; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; CT6
506711402168111; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; NITRATO ISOCONAZOL; 10 MG/G CREM VAG CT BG AL X 40 G + 7 APLIC DES; CT6
506711501174118; NITRATO MICONAZOL; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/G LOC CREM CT FR PLAS OPC GOT X 30 G; CT6
506711202118410; NITRAPAN; NITRAPAN; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); CT6
506711601152418; NITROPRUS; NITROPRUS; NOT FOUND; 50MG PO LIOF INJ CT 5 AMP VD AMB + AMP DIL X 2ML+EQUIPO OPC; CT6
