506714010052404, CIS, CIS, NOT FOUND, 2 MG/ML SOL INJ IV CT 5 AMP VD TRANS X 10 ML, CT6
506719104115110, CLOZAPINA, CLOZAPINA, CLOZAPINA, 100 MG COM CX BL AL PLAS TRANS X 90 (EMB HOSP), CT6
506719105111119, CLOZAPINA, CLOZAPINA, CLOZAPINA, 25 MG COM CX BL AL PLAS TRANS X 200 (EMB HOSP), CT6
506719101116116, CLOZAPINA, CLOZAPINA, CLOZAPINA, 25 MG COM CT BL AL PLAS TRANS X 30, CT6
506715020056903, COMPAZ, COMPAZ, NOT FOUND, 5 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP), CT6
506703201116413, COMPAZ, COMPAZ, NOT FOUND, 10 MG COM CX BL AL PLAS INC X 200 (EMB. HOSP.), CT6
506703203119411, COMPAZ, COMPAZ, NOT FOUND, 5 MG COM CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506703202155412, COMPAZ, COMPAZ, NOT FOUND, 5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML, CT6
506714120053903, CODEIN, CODEIN, NOT FOUND, 30 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML, CT6
506703103130411, CODEIN, CODEIN, NOT FOUND, 3 MG/ML SOL OR CT FR VD AMB X 120 ML, CT6
506703102118418, CODEIN, CODEIN, NOT FOUND, 30 MG COM CT BL AL PLAS INC X 30, CT6
506703101154410, CODEIN, CODEIN, NOT FOUND, 30 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML, CT6
506703104110414, CODEIN, CODEIN, NOT FOUND, 60 MG COM CT BL AL PLAS INC X 30, CT6
506702901165117, CLOR.LIDOCAINA, CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, 2% GEL TOP CT BG AL X 30 G + APLIC, CT6
506712090047804, CRISAPINA, CRISAPINA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 14, CT6
506712090048004, CRISAPINA, CRISAPINA, NOT FOUND, 10 MG COM REV CX BL AL/AL X 200 (EMB HOSP), CT6
506712090047904, CRISAPINA, CRISAPINA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 28, CT6
506712090047204, CRISAPINA, CRISAPINA, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 14, CT6
506712090047404, CRISAPINA, CRISAPINA, NOT FOUND, 2.5 MG COM REV CX BL AL/AL X 200 (EMB HOSP), CT6
506712090047304, CRISAPINA, CRISAPINA, NOT FOUND, 2.5 MG COM REV CT BL AL/AL X 28, CT6
506712090047504, CRISAPINA, CRISAPINA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 14 , CT6
506712090047704, CRISAPINA, CRISAPINA, NOT FOUND, 5 MG COM REV CX BL AL/AL X 200 (EMB HOSP), CT6
506712090047604, CRISAPINA, CRISAPINA, NOT FOUND, 5 MG COM REV CT BL AL/AL X 28, CT6
506714060052903, CRISPRED, CRISPRED, NOT FOUND, 5 MG COM CX BL AL PLAS INC X 100 (EMB FRAC) , CT6
506713001111415, CRISPRED, CRISPRED, NOT FOUND, 20 MG COM CX BL AL PLAS INC X 200, CT6
506713002116410, CRISPRED, CRISPRED, NOT FOUND, 5 MG COM CX BL AL PLAS INC X 200 (EMB HOSP), CT6
506702101177110, CETOROLACO TROMETAMOL, CETOROLACO TROMETAMOL, NOT FOUND, 0.5 PCC SOL OFT CT FR PLAS OPC GOT X 5 ML, CT6
