506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717006116116, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717007112114, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717008119112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP) , CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
506713701154419, STREPTOKIN, STREPTOKIN, NOT FOUND, 1.500.000UI PO LIOF-FR AP, CT6
506717201113414, SVIR, SVIR, NOT FOUND, 200 MG CAP GEL MOLE CT FR VD AMB X 180, CT6
506713501171417, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.100ML, CT6
506713502178415, SEVOCRIS, SEVOCRIS, NOT FOUND, -1FR.250ML, CT6
506717001114115, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 10, CT6
506717002110113, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 30, CT6
506717006116116, SINVASTATINA, SINVASTATINA, SINVASTATINA, 10 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), CT6
506717003117111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 30, CT6
506717007112114, SINVASTATINA, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP), CT6
506717004113111, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 10, CT6
506717008119112, SINVASTATINA, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP) , CT6
506717005111110, SINVASTATINA, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS INC X 10, CT6
506713801132115, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED, CT6
506713803135111, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, 0.4 MG/ML XPE CX 50 FR VD AMB X 120 ML + COPO MED (EMB HOSP), CT6
