526303003151410; CRISTACILINA; CRISTACILINA; NOT FOUND; 1.000.000 UI PO SOL INJ CX 50 FA VD INC (EMB HOSP); NVA
526302601150118; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CT FA VD INC + DIL AMP VD INC X 10 ML; NVA
526302602157116; CEFOXITINA SÓDICA; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CX 20 FA VD INC + 20 DIL AMP PLAS INC X 10 ML (EMB HOSP); NVA
526300603156419; CEFTAFOR; CEFTAFOR; NOT FOUND; 1 G PO INJ + SOL DIL CX 50 FA VD INC (EMB HOSP); NVA
526300703150412; CEFTRIONA; CEFTRIONA; NOT FOUND; 1 G PO LIOF INJ CT 50 FA VD INC (EMB HOSP); NVA
526300702154414; CEFTRIONA; CEFTRIONA; NOT FOUND; 500 MG PO LIOF INJ CT 50 FA VD INC (EMB HOSP); NVA
526302801151118; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT FA VD INC X 17 ML (EMB HOSP) ; NVA
526302803152111; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1 G PO P/ SOL INJ CT 10 FA VD INC X 17 ML (EMB HOSP) ; NVA
526312010012506; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 1G PO SOL INJ IV CX 10 FA VD TRANS + 10 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526302802156113; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT FA VD INC X 17 ML (EMB HOSP)  ; NVA
526302804159111; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 10 FA VD INC X 17 ML (EMB HOSP)  ; NVA
526312010012606; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2G PO SOL INJ IV CX 10 FA VD TRANS + 10 BOLS PLAS PVC TRANS SIST FECH COM CONECTOR X 100 ML (EMB HOSP); NVA
526303601154111; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ ML SOL INJ IV CT AMP VD INC X 20 ML (EMB HOSP); NVA
526303602150111; CLORIDRATO DE DOBUTAMINA; CLORIDRATO DOBUTAMINA; CLORIDRATO DOBUTAMINA; 12.5 MG/ ML SOL INJ IV CX 50 AMP VD INC X 20 ML (EMB HOSP); NVA
526305901155111; CLORIDRATO DE GRANISETRONA; CLORIDRATO GRANISETRONA; CLORIDRATO GRANISETRONA; 1 MG/ML SOL INJ IV CX 50 AMP VD INC X 3 ML (EMB HOSP); NVA
526312060013606; CLORIDRATO DE LIDOCAINA; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML SOL INJ CX 25 FA VD TRANS X 20 ML (EMB HOSP); NVA
526312120014306; CLORIDRATO DE NALOXONA; CLORIDRATO NALOXONA; CLORIDRATO NALOXONA; 0.4 MG/ML SOL INJ IM IV SC CX 10 AMP VD TRANS X 1 ML (EMB HOSP) ; NVA
526303401155114; CLORIDRATO DE ONDANSETRONA; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 2 MG/ ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB. HOSP); NVA
526302203155411; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 25 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML (EMB HOSP); NVA
526312120014106; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ IM IV CX 50 AMP VD TRANS X 1 ML (EMB HOSP); NVA
526312120014206; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ IM IV CX 50 AMP VD TRANS X 2 ML (EMB HOSP) ; NVA
526300802159418; CORTICOIDEX; CORTICOIDEX; NOT FOUND; 4 MG / ML SOL INJ CX 50 AMP VD INC X 2.5 ML (EMB HOSP); NVA
