536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
536501507119317, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 40, BAG
536501506112319, KEFLEX, KEFLEX, NOT FOUND, 1 G DRG CT BL AL PLAS INC X 8, BAG
536501505132316, KEFLEX, KEFLEX, NOT FOUND, 1.5 G PO PREP EXTEMP OR CT FR VD AMB (CAPAC 15ML) + CGT + BICO DOS, BAG
536501504136318, KEFLEX, KEFLEX, NOT FOUND, 100 MG/ML SUS OR CT FR VD AMB X 100 ML + BICO ADPT + SER DOS, BAG
536501503131312, KEFLEX, KEFLEX, NOT FOUND, 50 MG/ML SUS OR CT FR VD AMB X 100 ML + COL DOS , BAG
536501502117316, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 40, BAG
536501501110318, KEFLEX, KEFLEX, NOT FOUND, 500 MG DRG CT BL AL PLAS INC X 8, BAG
