1008902220056; CAMPRAL; CAMPRAL; NOT FOUND; 333 MG COM REV EST CART 7 BL AL PLAS INC X 12; M_S
1008900150038; CITONEURIN; CITONEURIN; NOT FOUND; 50 MCG + 200 MG + 100 MG DRG EST CART 2 BL AL PLAS; M_S
1008900150046; CITONEURIN; CITONEURIN; NOT FOUND; 5000 MCG + 100 MG + 100 MG DRG EST CT BL AL PLAS AMB X 20; M_S
1008902970047; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902930010; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 14; M_S
1008902930029; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS X 10; M_S
1008903150019; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 6 ; M_S
1008903150027; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 14; M_S
1008903280044; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT FR PLAS OPC X 30; M_S
1008902750039; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 60; M_S
1008902750020; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902750012; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30 ; M_S
1008902750055; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 60; M_S
1008902750063; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1G COM REV CT BL AL PLAS INC  X 30 ; M_S
1008903170011; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT FR PLAS OPC X 20; M_S
1008903170028; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT FR PLAS OPC X 30; M_S
1008902670019; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV EST FR PLAS OPC X 20; M_S
1008902670061; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV EST FR PLAS OPC X 20; M_S
1008903240034; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 28; M_S
1008903240042; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS INC X 30; M_S
1008902810023; CLORIDRATO DE SOTALOL; CLORIDRATO SOTALOL; CLORIDRATO SOTALOL; 160 MG COM CT FR PLAS OPC X 30; M_S
1008902760026; CLORIDRATO DE TICLOPIDINA; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV EST FR PLAS OPC X 30; M_S
1008903720011; CONCOR HCT; CONCOR HCT; NOT FOUND; 5 MG + 12.5 MG COM REV CT BL AL X 30 ; M_S
1008903720028; CONCOR HCT; CONCOR HCT; NOT FOUND; 10 MG + 25 MG COM REV CT BL AL X 30 ; M_S
1008900100101; CEBION GLICOSE; CEBION GLICOSE; NOT FOUND; 100 MG + 500 MG GRAN CT CART 10 ENV AL POLIET X 10; M_S
1008900100118; CEBION GLICOSE; CEBION GLICOSE; NOT FOUND; 100 MG + 500 MG GRAN CT CART 50 ENV AL POLIET X 10; M_S
1008902790022; CRONODIPIN; CRONODIPIN; NOT FOUND; 30MG COM ABS RETARD EST CART BL AL PLAS INC X 15; M_S
1008902790065; CRONODIPIN; CRONODIPIN; NOT FOUND; 60MG COM ABS RETARD EST CART BL AL PLAS INC X 15; M_S
1008900120016; CESTOX; CESTOX; NOT FOUND; 150 MG COM EST CAT BL AL PVC X 12; M_S
1008900120089; CESTOX; CESTOX; NOT FOUND; 150 MG COM EST CAT BL AL PVC X 12; M_S
1008900720108; CISTICID; CISTICID; NOT FOUND; 500 MG COM EST CART 5 STR X 10; M_S
1008900720086; CISTICID; CISTICID; NOT FOUND; 500 MG COM EST CART FR PLAS OPC X 50 (EMB. HOSP.); M_S
1008903650011; CRINONE; CRINONE; NOT FOUND; 80 MG/G GEL VAG CT 15 ENV AL POLIET X 1 APLIC X 1.125 G; M_S
1008903650021; CRINONE; CRINONE; NOT FOUND; 80 MG/G GEL VAG CT 7 ENV AL POLIET X 1 APLIC X 1.125 G; M_S
1008903380022; COLPOTROFINE; COLPOTROFINE; NOT FOUND; 10 MG/G CREM VAG CT BG AL X 30 G + APLIC ; M_S
1008903380030; COLPOTROFINE; COLPOTROFINE; NOT FOUND; 10 MG CAP GEL MOLE CT BL AL PLAS INC X 20; M_S
