527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 500, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 500, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 500, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 500, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25MG COMP BL 500, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25 MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25 MG COMP BL 500, P7B
527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000 MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
527904201116419, DOXICLIN, DOXICLIN, NOT FOUND, 100 MG DRG CT BL AL PLAS INC X 15, P7B
527905401161114, DICLOFENACO DIETILAMÔNIO, DICLOFENACO DIETILAMONIO, DICLOFENACO DIETILAMONIO, 11.6 MG/G GEL CT BG AL X 60 G, P7B
527905501113111, DICLOFENACO POTÁSSICO, DICLOFENACO POTASSICO, DICLOFENACO POTASSICO, 50 MG COM REV CT BL AL PLAS INC X 20, P7B
527905602114113, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CT BL AL PLAS AMB X 20, P7B
527905601118115, DIGOXINA, DIGOXINA, DIGOXINA, 0.25 MG COM CX BL AL PLAS AMB X 500 (EMB HOSP), P7B
527901501119419, DIGOX, DIGOX, NOT FOUND, 0.25 MG COMP BL 20, P7B
527901502115417, DIGOX, DIGOX, NOT FOUND, 0.25 MG COMP BL 500, P7B
527901201131413, DAKNAX, DAKNAX, NOT FOUND, 20MG/ML FR 30 ML, P7B
527901301111414, DECNAZOL, DECNAZOL, NOT FOUND, 1000 MG COM CT BL AL INC X 2, P7B
527901401165419, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G CREM CT BG AL VER X 30G, P7B
527901402161417, DERMOVAT, DERMOVAT, NOT FOUND, 1 MG/G POM CT BG AL VER X 30G, P7B
