502303301153313, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 3 SER VD INC PREECH DESCART X 5, AZN
502306007116311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306008112311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306009119318, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306010117315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306001118312, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306011113313, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306012111314, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502303801113310, SPLENDIL, SPLENDIL, NOT FOUND, 10 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303802111311, SPLENDIL, SPLENDIL, NOT FOUND, 2.5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303803116317, SPLENDIL, SPLENDIL, NOT FOUND, 5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 20, AZN
502303901177310, SYMBICORT, SYMBICORT, NOT FOUND, 12MCG/INAL+400MCG/INAL PO INAL CT TB PLASC 60 DOSES, AZN
502303902173319, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 100 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303903171311, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 200 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303301153313, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 3 SER VD INC PREECH DESCART X 5, AZN
502303304152318, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, AZN
502303302117310, SELOKEN, SELOKEN, NOT FOUND, 100 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303401115316, SELOPRESS, SELOPRESS, NOT FOUND, 100 MG + 12.5 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303501111312, SELOPRESS ZOK, SELOPRESS ZOK, NOT FOUND, 95 MG + 12.5 MG COMP LIB CONTROLADA CT BL AL PLAS, AZN
502303604113318, SELOZOK, SELOZOK, NOT FOUND, 100 MG COM LIB CONTROL CT BL AL PLAS INC X 30, AZN
502303601114313, SELOZOK, SELOZOK, NOT FOUND, 100 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303605111319, SELOZOK, SELOZOK, NOT FOUND, 25 MG COM LIB CONT CT BL AL PLAS INC X 30 , AZN
502303602110311, SELOZOK, SELOZOK, NOT FOUND, 25MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303606116314, SELOZOK, SELOZOK, NOT FOUND, 50 MG COM LIB CONTROL CT BL AL PLAS INC X 30 , AZN
502303603117311, SELOZOK, SELOZOK, NOT FOUND, 50 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303706110318, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COM REV CT BL PVC OPC AL X 14, AZN
502303701119211, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303707117316, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COM REV CT BL PVC OPC AL X 14, AZN
502303702115218, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303703111216, SEROQUEL, SEROQUEL, NOT FOUND, 25 MG COMP REV CT BL PVC OPC AL X 14, AZN
502303704118214, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 14, AZN
502303705114212, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 28, AZN
502306002114310, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306003110319, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306004117317, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306005113315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306006111316, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306007116311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306008112311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306009119318, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306010117315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306001118312, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306011113313, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306012111314, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502303801113310, SPLENDIL, SPLENDIL, NOT FOUND, 10 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303802111311, SPLENDIL, SPLENDIL, NOT FOUND, 2.5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303803116317, SPLENDIL, SPLENDIL, NOT FOUND, 5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 20, AZN
502303901177310, SYMBICORT, SYMBICORT, NOT FOUND, 12MCG/INAL+400MCG/INAL PO INAL CT TB PLASC 60 DOSES, AZN
502303902173319, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 100 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303903171311, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 200 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303301153313, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 3 SER VD INC PREECH DESCART X 5, AZN
502303304152318, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, AZN
502303302117310, SELOKEN, SELOKEN, NOT FOUND, 100 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303401115316, SELOPRESS, SELOPRESS, NOT FOUND, 100 MG + 12.5 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303501111312, SELOPRESS ZOK, SELOPRESS ZOK, NOT FOUND, 95 MG + 12.5 MG COMP LIB CONTROLADA CT BL AL PLAS, AZN
502303604113318, SELOZOK, SELOZOK, NOT FOUND, 100 MG COM LIB CONTROL CT BL AL PLAS INC X 30, AZN
502303601114313, SELOZOK, SELOZOK, NOT FOUND, 100 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303605111319, SELOZOK, SELOZOK, NOT FOUND, 25 MG COM LIB CONT CT BL AL PLAS INC X 30 , AZN
502303602110311, SELOZOK, SELOZOK, NOT FOUND, 25MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303606116314, SELOZOK, SELOZOK, NOT FOUND, 50 MG COM LIB CONTROL CT BL AL PLAS INC X 30 , AZN
502303603117311, SELOZOK, SELOZOK, NOT FOUND, 50 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303706110318, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COM REV CT BL PVC OPC AL X 14, AZN
502303701119211, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303707117316, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COM REV CT BL PVC OPC AL X 14, AZN
502303702115218, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303703111216, SEROQUEL, SEROQUEL, NOT FOUND, 25 MG COMP REV CT BL PVC OPC AL X 14, AZN
502303704118214, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 14, AZN
502303705114212, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 28, AZN
502306002114310, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306003110319, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306004117317, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306005113315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306006111316, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306007116311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306008112311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306009119318, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306010117315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306001118312, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306011113313, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306012111314, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502303801113310, SPLENDIL, SPLENDIL, NOT FOUND, 10 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303802111311, SPLENDIL, SPLENDIL, NOT FOUND, 2.5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303803116317, SPLENDIL, SPLENDIL, NOT FOUND, 5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 20, AZN
502303901177310, SYMBICORT, SYMBICORT, NOT FOUND, 12MCG/INAL+400MCG/INAL PO INAL CT TB PLASC 60 DOSES, AZN
502303902173319, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 100 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303903171311, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 200 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303301153313, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 3 SER VD INC PREECH DESCART X 5, AZN
502303304152318, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, AZN
502303302117310, SELOKEN, SELOKEN, NOT FOUND, 100 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303401115316, SELOPRESS, SELOPRESS, NOT FOUND, 100 MG + 12.5 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303501111312, SELOPRESS ZOK, SELOPRESS ZOK, NOT FOUND, 95 MG + 12.5 MG COMP LIB CONTROLADA CT BL AL PLAS, AZN
502303604113318, SELOZOK, SELOZOK, NOT FOUND, 100 MG COM LIB CONTROL CT BL AL PLAS INC X 30, AZN
502303601114313, SELOZOK, SELOZOK, NOT FOUND, 100 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303605111319, SELOZOK, SELOZOK, NOT FOUND, 25 MG COM LIB CONT CT BL AL PLAS INC X 30 , AZN
502303602110311, SELOZOK, SELOZOK, NOT FOUND, 25MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303606116314, SELOZOK, SELOZOK, NOT FOUND, 50 MG COM LIB CONTROL CT BL AL PLAS INC X 30 , AZN
502303603117311, SELOZOK, SELOZOK, NOT FOUND, 50 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303706110318, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COM REV CT BL PVC OPC AL X 14, AZN
502303701119211, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303707117316, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COM REV CT BL PVC OPC AL X 14, AZN
502303702115218, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303703111216, SEROQUEL, SEROQUEL, NOT FOUND, 25 MG COMP REV CT BL PVC OPC AL X 14, AZN
502303704118214, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 14, AZN
502303705114212, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 28, AZN
502306002114310, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306003110319, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306004117317, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306005113315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306006111316, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306007116311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306008112311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306009119318, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306010117315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306001118312, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306011113313, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306012111314, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502303801113310, SPLENDIL, SPLENDIL, NOT FOUND, 10 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303802111311, SPLENDIL, SPLENDIL, NOT FOUND, 2.5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303803116317, SPLENDIL, SPLENDIL, NOT FOUND, 5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 20, AZN
502303901177310, SYMBICORT, SYMBICORT, NOT FOUND, 12MCG/INAL+400MCG/INAL PO INAL CT TB PLASC 60 DOSES, AZN
502303902173319, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 100 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303903171311, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 200 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303301153313, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 3 SER VD INC PREECH DESCART X 5, AZN
502303304152318, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, AZN
502303302117310, SELOKEN, SELOKEN, NOT FOUND, 100 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303401115316, SELOPRESS, SELOPRESS, NOT FOUND, 100 MG + 12.5 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303501111312, SELOPRESS ZOK, SELOPRESS ZOK, NOT FOUND, 95 MG + 12.5 MG COMP LIB CONTROLADA CT BL AL PLAS, AZN
502303604113318, SELOZOK, SELOZOK, NOT FOUND, 100 MG COM LIB CONTROL CT BL AL PLAS INC X 30, AZN
502303601114313, SELOZOK, SELOZOK, NOT FOUND, 100 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303605111319, SELOZOK, SELOZOK, NOT FOUND, 25 MG COM LIB CONT CT BL AL PLAS INC X 30 , AZN
502303602110311, SELOZOK, SELOZOK, NOT FOUND, 25MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303606116314, SELOZOK, SELOZOK, NOT FOUND, 50 MG COM LIB CONTROL CT BL AL PLAS INC X 30 , AZN
502303603117311, SELOZOK, SELOZOK, NOT FOUND, 50 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303706110318, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COM REV CT BL PVC OPC AL X 14, AZN
502303701119211, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303707117316, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COM REV CT BL PVC OPC AL X 14, AZN
502303702115218, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303703111216, SEROQUEL, SEROQUEL, NOT FOUND, 25 MG COMP REV CT BL PVC OPC AL X 14, AZN
502303704118214, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 14, AZN
502303705114212, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 28, AZN
502306002114310, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306003110319, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306004117317, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306005113315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306006111316, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306007116311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306008112311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306009119318, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306010117315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306001118312, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306011113313, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306012111314, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 50 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502303801113310, SPLENDIL, SPLENDIL, NOT FOUND, 10 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303802111311, SPLENDIL, SPLENDIL, NOT FOUND, 2.5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 10, AZN
502303803116317, SPLENDIL, SPLENDIL, NOT FOUND, 5 MG COMP LIB PROLONG CT 2 BL AL PLAS INC X 20, AZN
502303901177310, SYMBICORT, SYMBICORT, NOT FOUND, 12MCG/INAL+400MCG/INAL PO INAL CT TB PLASC 60 DOSES, AZN
502303902173319, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 100 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303903171311, SYMBICORT, SYMBICORT, NOT FOUND, 6 MCG / INAL + 200 MCG / INAL PO INAL CT TB PLAS 6, AZN
502303301153313, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 3 SER VD INC PREECH DESCART X 5, AZN
502303304152318, SELOKEN, SELOKEN, NOT FOUND, 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, AZN
502303302117310, SELOKEN, SELOKEN, NOT FOUND, 100 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303401115316, SELOPRESS, SELOPRESS, NOT FOUND, 100 MG + 12.5 MG COMP CT 2 BL AL PLAS INC X 10, AZN
502303501111312, SELOPRESS ZOK, SELOPRESS ZOK, NOT FOUND, 95 MG + 12.5 MG COMP LIB CONTROLADA CT BL AL PLAS, AZN
502303604113318, SELOZOK, SELOZOK, NOT FOUND, 100 MG COM LIB CONTROL CT BL AL PLAS INC X 30, AZN
502303601114313, SELOZOK, SELOZOK, NOT FOUND, 100 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303605111319, SELOZOK, SELOZOK, NOT FOUND, 25 MG COM LIB CONT CT BL AL PLAS INC X 30 , AZN
502303602110311, SELOZOK, SELOZOK, NOT FOUND, 25MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303606116314, SELOZOK, SELOZOK, NOT FOUND, 50 MG COM LIB CONTROL CT BL AL PLAS INC X 30 , AZN
502303603117311, SELOZOK, SELOZOK, NOT FOUND, 50 MG COMP LIB CONTROL CT 2 BL AL PLAST INC X 10, AZN
502303706110318, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COM REV CT BL PVC OPC AL X 14, AZN
502303701119211, SEROQUEL, SEROQUEL, NOT FOUND, 100 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303707117316, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COM REV CT BL PVC OPC AL X 14, AZN
502303702115218, SEROQUEL, SEROQUEL, NOT FOUND, 200 MG COMP REV CT 2 BL PVC OPC AL X 14, AZN
502303703111216, SEROQUEL, SEROQUEL, NOT FOUND, 25 MG COMP REV CT BL PVC OPC AL X 14, AZN
502303704118214, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 14, AZN
502303705114212, SEROQUEL, SEROQUEL, NOT FOUND, 300 MG COM REV CT BL PVC OPC AL X 28, AZN
502306002114310, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306003110319, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306004117317, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 200 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306005113315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306006111316, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306007116311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 300 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
502306008112311, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 10, AZN
502306009119318, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 30, AZN
502306010117315, SEROQUEL XRO, SEROQUEL XRO, NOT FOUND, 400 MG COM REV LIB PROL CT BL PVC OPC AL X 60, AZN
