1267500710022; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NQA
1267500570018; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL X 10; NQA
1267500570026; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL X 10; NQA
1267500200032; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT 10 BL AL PLAS INC X 2; NQA
1267500200059; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT 100 BL AL PLAS INC X 2 (EMB HOSP); NQA
1267500200040; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT 50 BL AL PLAS INC X 2 (EMB HOSP); NQA
1267500200016; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT 1 BL AL PLAS INC X 2; NQA
1267500200024; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; NQA
1267501770029; ARACOR A; ARACOR A; NOT FOUND; 80 MG + 5 MG COM REV CT BL AL/AL X 30; NQA
1267501770045; ARACOR A; ARACOR A; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL/AL X 10 ; NQA
1267501770053; ARACOR A; ARACOR A; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL/AL X 30; NQA
1267501770126; ARACOR A; ARACOR A; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL/AL X 60; NQA
1267501770150; ARACOR A; ARACOR A; NOT FOUND; 320 MG + 10 MG COM REV CT BL AL/AL X 60; NQA
1267501670016; AGAMIR; AGAMIR; NOT FOUND; 0.125 MG COM CT BL AL AL X 30 ; NQA
1267501670091; AGAMIR; AGAMIR; NOT FOUND; 0.25 MG COM CT BL AL AL X 30 ; NQA
1267501670131; AGAMIR; AGAMIR; NOT FOUND; 1 MG COM CT BL AL AL X 30; NQA
1267501530052; ASTIG; ASTIG; NOT FOUND; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
1267501530230; ASTIG; ASTIG; NOT FOUND; 6 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
1267501530176; ASTIG; ASTIG; NOT FOUND; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
1267501530117; ASTIG; ASTIG; NOT FOUND; 3 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
1267501500048; ARACOR HCT; ARACOR HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
1267501500080; ARACOR HCT; ARACOR HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; NQA
1267501500021; ARACOR HCT; ARACOR HCT; NOT FOUND; 80 MG +12.5 MG COM REV CT BL AL AL X 30; NQA
1267501500064; ARACOR HCT; ARACOR HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; NQA
1267501500102; ARACOR HCT; ARACOR HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
