1267501750028; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; CANDESARTANA CILEXETILA; 8 MG COM CT BL AL PLAS OPC X 30; NQA
1267501600239; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 15; NQA
1267501600255; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 30; NQA
1267500220017; CEFACLOR; CEFACLOR; CEFACLOR; 250MG CAP GEL DURA CT BL AL PLAS INC X 10; NQA
1267500220025; CEFACLOR; CEFACLOR; CEFACLOR; 500MG CAP GEL DURA CT BL AL PLAS INC X 10; NQA
1267501140017; CEFACLOR MONOIDRATADO; CEFACLOR MONOIDRATADO; CEFACLOR MONOIDRATADO; 50MG/ML SUS OR CT FR VD AMB X 80ML + SER DOSAD; NQA
1267501140076; CEFACLOR MONOIDRATADO; CEFACLOR MONOIDRATADO; CEFACLOR MONOIDRATADO; 75MG/ML SUS OR CT FR VD AMB X 80ML + SER DOSAD; NQA
1267500230047; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT 1 STR AL X 4; NQA
1267500230020; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT 1 STR AL X 8; NQA
1267500230039; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT 2 STR AL X 4; NQA
1267500230012; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT 5 STR AL X 4; NQA
1267500240018; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 8; NQA
1267500240034; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 20; NQA
1267500240026; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; NQA
1267500240093; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 100 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500240069; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 100 BL AL PLAS INC X 8 (EMB HOSP); NQA
1267500240077; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 20 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500240042; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 4 BL AL PLAS INC X 10; NQA
1267500240085; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 50 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500240050; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT 50 BL AL PLAS INC X 8 (EMB HOSP); NQA
1267500250013; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR AL X 10; NQA
1267500250021; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT STR AL X 30; NQA
1267500970040; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G; NQA
1267501050042; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G; NQA
1267500700019; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG + 0.5 MG + 2.5 MG CREM DERM CT BG AL X 30 G; NQA
1267500870011; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G; NQA
1267500620015; CINARIZINA; CINARIZINA; CINARIZINA; 25 MG COM CT BL AL PLAS INC X 10; NQA
1267500620023; CINARIZINA; CINARIZINA; CINARIZINA; 25 MG COM CT BL AL PLAS INC X 30 ; NQA
1267500620041; CINARIZINA; CINARIZINA; CINARIZINA; 75 MG COM CT BL AL PLAS INC X 30 ; NQA
1267500260019; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG 1 BL X 10; NQA
1267500260027; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14; NQA
1267500260035; CITALOPRAM; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT 2 BL AL PLAS INC X 14; NQA
1267500270049; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250 MG COM REV CT 1 BL AL PLAS INC X 4; NQA
1267500270030; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250 MG COM REV CT 2 BL AL PLAS INC X 4; NQA
1267500270022; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250 MG COM REV CT 3 BL AL PLAS INC X 4; NQA
1267500270014; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 250 MG COM REV CT 5 BL AL PLAS INC X 4; NQA
1267500270057; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT 1 BL AL PLAS INC X 10; NQA
1267500270065; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT 1 BL AL PLAS INC X 14; NQA
1267500270073; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT 2 BL AL PLAS INC X 10; NQA
1267501730019; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 20; NQA
1267501730027; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS OPC X 30; NQA
1267500810027; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NQA
1267500810043; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NQA
1267500280028; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT 2 BL AL PLAS INC X 10; NQA
1267500280011; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25MG COM REV CT BL AL PLAS INC X 10; NQA
1267500280044; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT 2 BL AL PLAS INC X 10; NQA
1267500280036; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75MG COM REV CT BL AL PLAS INC X 10; NQA
1267501300049; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB PROL CT BL AL AL X 30; NQA
1267501300057; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB PROL CT BL AL AL X 60; NQA
1267501200044; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; NQA
1267501200087; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 10; NQA
1267501200060; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; NQA
1267500150027; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT 2 BL AL PLAS OPC X 7; NQA
1267500150019; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 6; NQA
1267500150051; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; NQA
1267500150043; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 6 ; NQA
1267501100066; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 30 MG COM CT BL AL PLAS OPC X 50; NQA
1267501100181; CLORIDRATO DE DILTIAZEM; CLORIDRATO DILTIAZEM; CLORIDRATO DILTIAZEM; 60 MG COM CT BL AL PLAS OPC X 50; NQA
1267501700020; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 15; NQA
1267501700039; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 30 MG CAP GEL LIB RETARD CT BL AL AL X 30; NQA
1267501700071; CLORIDRATO DE DULOXETINA; CLORIDRATO DULOXETINA; CLORIDRATO DULOXETINA; 60 MG CAP GEL LIB RETARD CT BL AL AL X 30; NQA
1267500520010; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 120 MG COM REV CT BL AL PLAS OPC X 10 ; NQA
1267500520029; CLORIDRATO DE FEXOFENADINA; CLORIDRATO FEXOFENADINA; CLORIDRATO FEXOFENADINA; 180 MG COM REV CT BL AL PLAS OPC X 10 ; NQA
1267500290015; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; CAP GEL DURA CT 1 BL AL PLAS INC X 10; NQA
1267500290066; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT 1 BL AL PLAS INC X 7; NQA
1267500290058; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT 10 BL AL PLAS INC X 10 (EMB HOSP); NQA
1267500290023; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT 2 BL AL PLAS INC X 7; NQA
1267500290031; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT 4 BL AL PLAS INC X 7; NQA
1267500290041; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; CAP GEL DURA CT 7 BL AL PLAS INC X 10; NQA
1267500290074; CLORIDRATO DE FLUOXETINA; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 30; NQA
1267500490057; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 10; NQA
1267500490022; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; NQA
1267500490049; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; NQA
1267500490065; CLORIDRATO DE METFORMINA; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS TRANS X 60; NQA
1267501470068; CLORIDRATO DE MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; 400 MG COM REV CT BL AL AL X 07; NQA
1267501470041; CLORIDRATO DE MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; CLORIDRATO MOXIFLOXACINO; 400 MG COM REV CT BL AL AL X 05; NQA
1267500980021; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML; NQA
1267500980046; CLORIDRATO DE NAFAZOLINA; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML ; NQA
1267501290027; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5 MG COM REV CT BL AL PLAS OPC X 4; NQA
1267501290043; CLORIDRATO DE NARATRIPTANA; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5 MG COM REV CT BL AL PLAS OPC X 10; NQA
1267500300029; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT 2 BL AL PLAS INC X 10; NQA
1267500300037; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT 3 BL AL PLAS INC X 10; NQA
1267500300010; CLORIDRATO DE PAROXETINA; CLORIDRATO PAROXETINA; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 10; NQA
1267501270093; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 15; NQA
1267501270166; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 45 MG COM CT FR PLAS OPC X 15; NQA
1267501270026; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 15 MG COM CT FR PLAS OPC X 15; NQA
1267501270115; CLORIDRATO DE PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; CLORIDRATO PIOGLITAZONA; 30 MG COM CT FR PLAS OPC X 30; NQA
1267501160018; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 10; NQA
1267501160026; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20; NQA
1267501160050; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT STR AL/AL X 10; NQA
1267501160069; CLORIDRATO DE RANITIDINA; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 300 MG COM REV CT STR AL/AL X 20; NQA
1267500320070; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT 100 BL AL PLAS OPC X 10; NQA
1267500320038; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 20; NQA
1267500320046; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 28; NQA
1267500320054; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 30; NQA
1267500320062; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT 50 BL AL PLAS OPC X 10 (EMB HOSP); NQA
1267500270021; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 10; NQA
1267500320011; CLORIDRATO DE SERTRALINA; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT BL AL PLAS OPC X 5; NQA
1267501110037; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
1267501110088; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
1267500630010; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT EST 6 AMP VD INC X 1 ML; NQA
1267500630029; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG/ML SOL INJ CT EST 6 AMP VD INC X 2 ML; NQA
1267500610011; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 100 MG/ML SOL OR CT FR VD AMB CGT X 10 ML; NQA
1267501150012; CLORIDRATO DE TRAMADOL; CLORIDRATO TRAMADOL; CLORIDRATO TRAMADOL; 50 MG CAP GEL DURA CT BL AL PLAS OPC X 10; NQA
