1006800290032; CIBALENA A; CIBALENA A; NOT FOUND; 200 MG + 150 MG + 50 MG COM BD PAP INV PLAS X 4 BL AL PLAS INC X 4; NVR
1006808980011; CODATEN; CODATEN; NOT FOUND; 50 MG  + 50 MG COM REV CT BL AL PLAS INC X 10; NVR
1006800380023; CATAFLAM; CATAFLAM; NOT FOUND; 25 MG/ML SOL INJ CT 3 AMP VD INC X 3 ML; NVR
1006800380015; CATAFLAM; CATAFLAM; NOT FOUND; 75 MG SOL INJ CT 50 AMP VD INC X 3 ML; NVR
1006800380171; CATAFLAM; CATAFLAM; NOT FOUND; 1.8 MG/ML SUS OR CT FR VD AMB X 120 ML (SABOR MORANGO); NVR
1006800380147; CATAFLAM; CATAFLAM; NOT FOUND; 44.94 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; NVR
1006800380198; CATAFLAM; CATAFLAM; NOT FOUND; 11.6 MG / G SOL TOP FILME POLIET TB AL AER X 85 ML; NVR
1006800380181; CATAFLAM; CATAFLAM; NOT FOUND; 11.6 MG/G GEL CT TB PLAS X 90 G EMULGEL; NVR
1006800380074; CATAFLAM; CATAFLAM; NOT FOUND; 12.5 MG SUP RET CT STR X 5; NVR
1006800380041; CATAFLAM; CATAFLAM; NOT FOUND; 75.0 MG SUP RET CT STR X 5; NVR
1006800380376; CATAFLAM; CATAFLAM; NOT FOUND; 50 MG DRG CT BL AL PVC/PE/PVDC X 20; NVR
1006800380260; CATAFLAM; CATAFLAM; NOT FOUND; 12.5 MG COM REV CT 48 BL AL PLAS INC X 4 (EMB HOSP); NVR
1006800380368; CATAFLAM; CATAFLAM; NOT FOUND; 50 MG DRG CT BL AL/PVC/PE/PVDC X 10; NVR
1006800950016; COMTAN; COMTAN; NOT FOUND; 200 MG COM REV CT FR PLAS OPC X 30; NVR
1006809590055; CERTICAN; CERTICAN; NOT FOUND; 0.10 MG COM DISP CT BL AL/AL X 60; NVR
1006809590063; CERTICAN; CERTICAN; NOT FOUND; 0.25 MG COM DISP CT BL AL/AL X 60; NVR
1006809590020; CERTICAN; CERTICAN; NOT FOUND; 0.50 MG COM CT BL AL/AL X 60; NVR
1006809590039; CERTICAN; CERTICAN; NOT FOUND; 0.75 MG COM CT BL AL/AL X 60; NVR
1006809590047; CERTICAN; CERTICAN; NOT FOUND; 1.00 MG COM CT BL AL/AL X 60; NVR
1006800330093; CALCIUM SANDOZ; CALCIUM SANDOZ; NOT FOUND; 103.95 MG/ML + 242.55 MG/ML XPE CT FR VD AMB X 200 ML; NVR
1006811160011; CERUMIN; CERUMIN; NOT FOUND; 0.4MG/ML + 140MG/ML SOL OTO CT FR PLAS OPC GOT X 8 ML; NVR
