1006800090122; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 10 MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.0 ML + SIST APLIC; NVR
1006800200076; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 25 MG CAP GEL MOLE CT BL AL/AL X 50; NVR
1006800200084; SANDIMMUN NEORAL; SANDIMMUN NEORAL; NOT FOUND; 50 MG CAP GEL MOLE CT BL AL/AL X 50; NVR
1006800070016; SANTUSSAL; SANTUSSAL; NOT FOUND; 0.1 MG + 2.5 MG + 20 MG / ML XPE CT FR VD AMB X 120 ML; NVR
1006808760021; SLOW - K; SLOW K; NOT FOUND; 600 MG DRG CT FR PLAS OPC X 20; NVR
1006808870127; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 500 MG COM REV CT 14 BL PVC/PVDC/ALU X 6 + 6; NVR
1006808870119; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 500 MG COM REV CT 8 BL PVC/PVDC/ALU X 6 + 6; NVR
1006808870151; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 850 MG COM REV CT 8 BL PVC/PVDC/ALU X 6 + 6; NVR
1006808870161; STARFORM; STARFORM; NOT FOUND; 120 MG COM REV + 850 MG COM REV CT 14 BL PVC/PVDC/ALU X 6 + 6; NVR
1006800550018; SIRDALUD; SIRDALUD; NOT FOUND; 2 MG COM CT 1 BL AL PLAS INC X 12; NVR
1006800550042; SIRDALUD; SIRDALUD; NOT FOUND; 2 MG COM CT 1 BL AL PLAS INC X 20; NVR
1006800550107; SIRDALUD; SIRDALUD; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30  ; NVR
1006801530029; STARLIX; STARLIX; NOT FOUND; 120 MG COM REV CT BL PVC/PVDC/AL X 24; NVR
1006801530053; STARLIX; STARLIX; NOT FOUND; 120 MG COM REV CT BL PVC/PVDC/AL X 48; NVR
1006801530088; STARLIX; STARLIX; NOT FOUND; 120 MG COM REV CT BL PVC/PVDC/AL X 84; NVR
1006800340013; SYNTOCINON; SYNTOCINON; NOT FOUND; 5 UI/ML SOL INJ CT 50 AMP VD INC X 1 ML (REST HOSP); NVR
1006800340021; SYNTOCINON; SYNTOCINON; NOT FOUND; 40 UI/ML SOL NAS CT FR PLAS OPC SPR X 5 ML; NVR
1006800340031; SYNTOCINON; SYNTOCINON; NOT FOUND; 40 UI/ML SOL NAS CT FR VD AMB SPR X 5 ML; NVR
1006800090017; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NVR
1006800090025; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NVR
1006800090033; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 0.5 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NVR
1006800090051; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 10 MG SUS INJ CT FA VD INC + 2 AMP DIL X 2 ML+ SIST APLIC; NVR
1006800090068; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 20 MG SUS INJ CT FA VD INC + 2 AMP DIL X 2 ML+ SIST APLIC; NVR
1006800090076; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 30 MG SUS INJ CT FA VD INC + 2 AMP DIL X 2 ML+ SIST APLIC; NVR
1006800090092; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 10MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5ML + SIST APLIC; NVR
1006800090106; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 20MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5ML + SIST APLIC; NVR
1006800090114; SANDOSTATIN; SANDOSTATIN; NOT FOUND; 30MG PO P/ SUS INJ CT FA VD INC + 1 SER DIL X 2.5ML + SIST APLIC; NVR
1006800690014; SANDOMIGRAN; SANDOMIGRAN; NOT FOUND; 0.5 MG DRG CT 2 BL AL PLAS INC X 10; NVR
1006801480013; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 1 G LIOF INJ + DIL 33 ML; NVR
1006801480048; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 12 G PO LIOF INJ + DIL X 200 ML + CONJ INFUSAO; NVR
1006801480021; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 3 G LIOF INJ + DIL 100 ML; NVR
1006801480031; SANDOGLOBULINA; SANDOGLOBULINA; NOT FOUND; 6 G LIOF INJ + DIL 200 ML; NVR
