514501201116310, HALDOL, HALDOL, NOT FOUND, 1 MG - COMP - BL - 20 COMP, J_C
514501201116310, HALDOL, HALDOL, NOT FOUND, 1 MG - COMP - BL - 20 COMP, J_C
514501206134317, HALDOL, HALDOL, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML, J_C
514501203119317, HALDOL, HALDOL, NOT FOUND, 5 MG - COMP - BL - 20 COMP, J_C
514501205154314, HALDOL, HALDOL, NOT FOUND, 5MG - INJ - AMP - 5 AMP DE 1 ML, J_C
514501302151316, HALDOL DECA, HALDOL DECA, NOT FOUND, 50MG - INJ - AMP - 5 AMP DE 1 ML, J_C
514501401158319, HYPNOMIDATE, HYPNOMIDATE, NOT FOUND, 2MG - INJ - AMP - 5 AMP DE 10 ML, J_C
514501302151316, HALDOL DECA, HALDOL DECA, NOT FOUND, 50MG - INJ - AMP - 5 AMP DE 1 ML, J_C
514501401158319, HYPNOMIDATE, HYPNOMIDATE, NOT FOUND, 2MG - INJ - AMP - 5 AMP DE 10 ML, J_C
514501201116310, HALDOL, HALDOL, NOT FOUND, 1 MG - COMP - BL - 20 COMP, J_C
514501206134317, HALDOL, HALDOL, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML, J_C
514501203119317, HALDOL, HALDOL, NOT FOUND, 5 MG - COMP - BL - 20 COMP, J_C
514501205154314, HALDOL, HALDOL, NOT FOUND, 5MG - INJ - AMP - 5 AMP DE 1 ML, J_C
514501302151316, HALDOL DECA, HALDOL DECA, NOT FOUND, 50MG - INJ - AMP - 5 AMP DE 1 ML, J_C
514501401158319, HYPNOMIDATE, HYPNOMIDATE, NOT FOUND, 2MG - INJ - AMP - 5 AMP DE 10 ML, J_C
514501201116310, HALDOL, HALDOL, NOT FOUND, 1 MG - COMP - BL - 20 COMP, J_C
514501206134317, HALDOL, HALDOL, NOT FOUND, 2 MG/ML SOL OR CT FR PLAS OPC GOT X 30 ML, J_C
514501203119317, HALDOL, HALDOL, NOT FOUND, 5 MG - COMP - BL - 20 COMP, J_C
514501205154314, HALDOL, HALDOL, NOT FOUND, 5MG - INJ - AMP - 5 AMP DE 1 ML, J_C
