513401101154413; CEZOLIN; CEZOLIN; NOT FOUND; 1 G PO SOL INJ CT FA VD INC; I_B
513406107150119; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 01 FR VD INC; I_B
513406108157117; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 01 FA VD INC + 9 MG/ML SOL INJ IV 01 BOLS PLAS PVC SIST FECH X 100 ML; I_B
513406109153115; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 10 FA VD INC + 9 MG/ML SOL INJ IV 10 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
513406110151112; CLORIDRATO DE CEFEPIMA; CLORIDRATO CEFEPIMA; CLORIDRATO CEFEPIMA; 2 G PO P/ SOL INJ CT 50 FA VD INC + 9 MG/ML SOL INJ IV 50 BOLS PLAS PVC SIST FECH X 100 ML (EMB HOSP); I_B
513403501151418; CLORTAMINA; CLORTAMINA; NOT FOUND; 50 MG/ML SOL INJ CX 05 FA VD INC X 10 ML(REST HOSP); I_B
513404101155112; CLORIDRATO DE IRINOTECANA; CLORIDRATO IRINOTECANA; NOT FOUND; 20 MG/ML SOL INJ IV CT FA VD AMB X 5 ML; I_B
513401301153410; CUTENOX; CUTENOX; NOT FOUND; 20 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.2 ML; I_B
513413040020604; CUTENOX; CUTENOX; NOT FOUND; 20 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.2 ML + SIST SEGURANCA; I_B
513401302151411; CUTENOX; CUTENOX; NOT FOUND; 40 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.4 ML; I_B
513413040020704; CUTENOX; CUTENOX; NOT FOUND; 40 MG SOL INJ CT 10 SER VD INC PREENCHIDA X 0.4 ML + SIST SEGURANCA; I_B
513401303156417; CUTENOX; CUTENOX; NOT FOUND; 60 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.6 ML; I_B
513413040020804; CUTENOX; CUTENOX; NOT FOUND; 60 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.6 ML + SIST SEGURANCA; I_B
513401304152415; CUTENOX; CUTENOX; NOT FOUND; 80 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.8 ML; I_B
513413040020904; CUTENOX; CUTENOX; NOT FOUND; 80 MG SOL INJ CT 2 SER VD INC PREENCHIDA X 0.8 ML + SIST SEGURANCA; I_B
