508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 56 FLAC PLAS X 4 ML, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 56 FLAC PLAS X 4 ML, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 56 FLAC PLAS X 4 ML, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 56 FLAC PLAS X 4 ML, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 56 FLAC PLAS X 4 ML, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL NEBUL CT 56 FLAC PLAS X 4 ML, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL INAL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL INAL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL INAL CT 56 FLAC PLAS X 4 ML, CHS
508503501120317, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L + ESPACADOR JET ( 200 DOSES), CHS
508503502127315, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + ESPACADOR JET ( 200 DOSES), CHS
508503503123313, BUDIAIR, BUDIAIR, NOT FOUND, 200 MCG/DOSE SOL AER CT TB AL X 11.2 G + BOCAL EM L ( 200 DOSES), CHS
508500701110418, BAMIFIX, BAMIFIX, NOT FOUND, 300 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500702117416, BAMIFIX, BAMIFIX, NOT FOUND, 600 MG DRG CT 2 BL AL PLAST INC X 10, CHS
508500801131417, BRONQUIDEX, BRONQUIDEX, NOT FOUND, XPE CT FR VD AMB X 150 ML, CHS
508500901179314, BUTOVENT PULVINAL, BUTOVENT PULVINAL, NOT FOUND, 200 MCG/DOSE PO INAL CT DISP INAL CT X 100 DOSES, CHS
508503901137314, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL INAL CT 16 FLAC PLAS X 4 ML, CHS
508503902133312, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL INAL CT 28 FLAC PLAS X 4 ML, CHS
508503903131313, BRAMITOB, BRAMITOB, NOT FOUND, 75 MG/ML SOL INAL CT 56 FLAC PLAS X 4 ML, CHS
