528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
528904901159418, PENCIL, PENCIL, NOT FOUND, 400 CX 50 FR/AMP, PDO
528905001151419, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 1.200.000 UI, PDO
528905002158417, PENCIL B, PENCIL B, NOT FOUND, CX 50 FR/AMP 600.000 UI, PDO
528905102152410, PENCIL P, PENCIL P, NOT FOUND, CX 25 FR/AMP 10.000.000 UI, PDO
528905101156412, PENCIL P, PENCIL P, NOT FOUND, CX 50 FR/AMP 1.000.000 UI, PDO
528906703133419, PROFALEXINA, PROFALEXINA, NOT FOUND, 250MG VD 60ML SUSP ORAL, PDO
528906101151419, PRODOXACILINA, PRODOXACILINA, NOT FOUND, CX 50 FR/AMP, PDO
528906801151411, PROFENICOL, PROFENICOL, NOT FOUND, 1G CX 50 FR/AMP, PDO
