67366; DALAP ; DALAP; NOT FOUND; GEL. 0.10 % 30 G x 1; A4H
64092; DERMOMAX ; DERMOMAX; NOT FOUND; CREME DERMAT 40 MG 5 G x 1 (/G); A4H
123456; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; A4H
127836; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR 0.50 MG 100 ML x 1 (/ML); A4H
30072; DESOBESI-M ; DESOBESI M; NOT FOUND; CAPS 25 MG x 20; A4H
3143; DESOBESI-M ; DESOBESI M; NOT FOUND; CAPS 25 MG x 30; A4H
30074; DEXTROVITASE B12 ; DEXTROVITASE B12; NOT FOUND; A.IV 20 ML x 1; A4H
92338; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 16 MG x 30; A4H
92346; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 24 MG x 30; A4H
94293; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 8 MG x 30; A4H
93518; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; A4H
93519; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; A4H
93520; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; A4H
59211; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); A4H
59210; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; A4H
59212; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 20; A4H
59213; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; A4H
64260; DICLOR.CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR REVEST 10 MG x 12; A4H
71670; DIGEPLUS NF ; DIGEPLUS NF; NOT FOUND; CAPS x 30; A4H
56286; DINATON ; DINATON; NOT FOUND; CPR REVEST 80 MG x 20; A4H
56287; DINATON ; DINATON; NOT FOUND; CPR REVEST 80 MG x 60; A4H
61850; DIOSMIN ; DIOSMIN; NOT FOUND; CPR REVEST 500 MG x 30; A4H
61851; DIOSMIN ; DIOSMIN; NOT FOUND; CPR REVEST 500 MG x 60; A4H
93780; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU ABAC 5 G x 15; A4H
93781; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU ABAC 5 G x 30; A4H
77057; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU L/LI 5 G x 15; A4H
77058; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU L/LI 5 G x 30; A4H
57082; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); A4H
57083; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); A4H
65534; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; SOLN ORAL 50 MG 100 ML x 1 (/M; A4H
48787; DISGREN ; DISGREN; NOT FOUND; CAPS 300 MG x 20; A4H
103036; DONILA ; DONILA; NOT FOUND; CPR REVEST 10 MG x 30; A4H
103037; DONILA ; DONILA; NOT FOUND; CPR REVEST 5 MG x 30; A4H
79616; DORALIV ; DORALIV; NOT FOUND; GEL ORAL 100 MG 150 ML x 1 (/5ML); A4H
83733; DORALIV ; DORALIV; NOT FOUND; GOTAS 100 MG 20 ML x 1 (/ML); A4H
73227; DORALIV ; DORALIV; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); A4H
137392; DORENE ; DORENE; NOT FOUND; CAPS GEL 150 MG x 30; A4H
141238; DORENE ; DORENE; NOT FOUND; CAPS GEL 75 MG x 15; A4H
137394; DORENE ; DORENE; NOT FOUND; CAPS GEL 75 MG x 30; A4H
28810; DORILAX ; DORILAX; NOT FOUND; CPR x 100; A4H
3528; DORILAX ; DORILAX; NOT FOUND; CPR x 12; A4H
114401; DOSE D ; DOSE D; NOT FOUND; GOTAS MA VER 10 ML x 1; A4H
114402; DOSE D ; DOSE D; NOT FOUND; GOTAS MA VER 20 ML x 1; A4H
130990; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR 3 MG 120 ML x 1 (/ML); A4H
50333; DUALID S ; DUALID S; NOT FOUND; CAPS RETARD 75 MG x 20; A4H
74585; DUALID S ; DUALID S; NOT FOUND; CAPS GEL 75 MG x 30; A4H
84771; DUALID S ; DUALID S; NOT FOUND; CPR RETARD 75 MG x 30; A4H
62916; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.A.KIT S/SE 10 MG 2 ML x 1; A4H
74785; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.AMP 8 MG 1 ML x 1 (/2MG); A4H
28846; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.AMP KIT 10 MG 2 ML x 1; A4H
