77086, CALSUPRE D , CALSUPRE D, NOT FOUND, CAPS x 60, TTB
85266, CIT SILDENAFILA MG , CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, TTB
53374, CLAMIBEN , CLAMIBEN, NOT FOUND, CPR 5 MG x 30, TTB
57050, CLINDAMIN C , CLINDAMIN C, NOT FOUND, CAPS 300 MG x 16, TTB
68648, CLO CLINDAMICIN MG , CLO CLINDAMICIN, CLORIDRATO CLINDAMICINA MONOIDRATADO, CAPS 300 MG x 16, TTB
80840, CLO DOR+MAL TIM MG , CLO DOR MAL TIM, NOT FOUND, SOLN OFTAL 5 ML x 1, TTB
56136, CLO LINCOMICINA MG , CLO LINCOMICINA, CLORIDRATO LINCOMICINA, AMP. 600 MG 2 ML x 1, TTB
132066, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 15 MG x 60, TTB
132069, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 30 MG x 60, TTB
112394, CLO PIOGLITAZO MG , CLO PIOGLITAZO, CLORIDRATO PIOGLITAZONA, CPR 45 MG x 60, TTB
137872, CLO PROMETAZINA MG , CLO PROMETAZINA, CLORIDRATO PROMETAZINA, CPR REVEST 25 MG x 20, TTB
147799, CLO PROMETAZINA MG , CLO PROMETAZINA, CLORIDRATO PROMETAZINA, CPR REVEST 25 MG x 200, TTB
70040, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 100, TTB
61932, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 30, TTB
61244, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 40 MG x 40, TTB
61332, CLO PROPRANOLOL MG , CLO PROPRANOLOL, CLORIDRATO PROPRANOLOL, CPR 80 MG x 30, TTB
77087, CLO SIBUTRAMINA MG , CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, TTB
85485, CLO TERBINAFINA MG , CLO TERBINAFINA, CLORIDRATO TERBINAFINA, CREME 10 MG 20 G x 1 (/G), TTB
77090, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 20, TTB
77091, CLO TICLOPIDINA MG , CLO TICLOPIDINA, CLORIDRATO TICLOPIDINA, CPR REVEST 250 MG x 30, TTB
70044, CLO VANCOMICINA MG , CLO VANCOMICINA, CLORIDRATO VANCOMICINA, F.IV LIOF 500 MG x 1, TTB
75200, CLO VANCOMICINA MG , CLO VANCOMICINA, CLORIDRATO VANCOMICINA, F.IV LIOF 500 MG x 50, TTB
70038, CLOCEF , CLOCEF, NOT FOUND, F.AMP 1 G x 1, TTB
76748, CLOCEF , CLOCEF, NOT FOUND, F.AMP 1 G x 50, TTB
76747, CLOCEF , CLOCEF, NOT FOUND, F.AMP 2 G x 50, TTB
81184, CLONAZEPAM MG , CLONAZEPAM, CLONAZEPAM, GOTAS 2.50 MG 20 ML x 1 (/ML), TTB
53098, CLONESINA , CLONESINA, NOT FOUND, CPR 0.15 MG x 30, TTB
64272, CLOR DOPAMINA MG , CLOR DOPAMINA, CLORIDRATO DOPAMINA, AMP. 5 MG 10 ML x 10 (/ML), TTB
73814, CLOR DOPAMINA MG , CLOR DOPAMINA, CLORIDRATO DOPAMINA, AMP. 5 MG 10 ML x 50 (/ML), TTB
73417, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 50 MG 1 ML x 60 (/ML), TTB
73418, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, AMP. 50 MG 2 ML x 60 (/ML), TTB
73385, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS 50 MG x 10, TTB
73677, CLOR TRAMADOL MG , CLOR TRAMADOL, CLORIDRATO TRAMADOL, CAPS 50 MG x 50, TTB
75409, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. AD 30 MG 120 ML x 50 (/5ML), TTB
57059, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. AD 6 MG 120 ML x 1 (/ML), TTB
75408, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. PED. 15 MG 120 ML x 50 (/5M, TTB
57058, CLOR. AMBROXOL MG , CLOR AMBROXOL, CLORIDRATO AMBROXOL, XAR. PED. 3 MG 120 ML x 1 (/ML), TTB
77092, CLOR. LIDOCAINA MG , CLOR LIDOCAINA, CLORIDRATO LIDOCAINA, F.AMP 20 MG 20 ML x 50 (/ML), TTB
60791, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 150, TTB
60790, CLOR. VERAPAMIL MG , CLOR VERAPAMIL, CLORIDRATO VERAPAMIL, CPR REVEST 80 MG x 30, TTB
73879, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 100, TTB
73878, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 20, TTB
135647, CLOR.AMITRIPTIL.MG , CLOR AMITRIPTIL, CLORIDRATO AMITRIPTILINA, CPR REVEST 25 MG x 30, TTB
132732, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 14, TTB
135643, CLOR.CIPROFLOXA.MG , CLOR CIPROFLOXA, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, CPR REVEST 500 MG x 7, TTB
131979, CLOR.DONEPEZILA MG , CLOR DONEPEZILA, CLORIDRATO DONEPEZILA, CPR REVEST 5 MG x 60, TTB
71510, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, TTB
73059, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 70, TTB
95232, CLOR.FLUOXETINA MG , CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, SOLN ORAL 20 MG 20 ML x 1 (/ML), TTB
147800, CLOR.MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 30, TTB
140539, CLOR.MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 500, TTB
147801, CLOR.MEMANTINA MG , CLOR MEMANTINA, CLORIDRATO MEMANTINA, CPR REVEST 10 MG x 60, TTB
78940, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR 500 MG x 30, TTB
82234, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR 500 MG x 60, TTB
73383, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR 850 MG x 30, TTB
73669, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR 850 MG x 50, TTB
73384, CLOR.METFORMINA MG , CLOR METFORMINA, CLORIDRATO METFORMINA, CPR 850 MG x 60, TTB
56134, CLOR.METOCLOP.MG , CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, AMP. 10 MG 2 ML x 100, TTB
73466, CLOR.METOCLOP.MG , CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, AMP. 5 MG 2 ML x 120 (/ML), TTB
56135, CLOR.METOCLOP.MG , CLOR METOCLOP, CLORIDRATO METOCLOPRAMIDA MONOIDRATADO, GOTAS 4 MG 10 ML x 1 (/ML), TTB
68414, CLOR.NAFAZOLINA MG , CLOR NAFAZOLINA, CLORIDRATO NAFAZOLINA, SOLN NASAL 0.50 MG 30 ML x 1 (, TTB
68124, CLOR.OXIMETAZOL.MG , CLOR OXIMETAZOL, CLORIDRATO OXIMETAZOLINA, SOLN NASAL 0.25 MG 20 ML x 1 (, TTB
68121, CLOR.OXIMETAZOL.MG , CLOR OXIMETAZOL, CLORIDRATO OXIMETAZOLINA, SOLN NASAL 0.50 MG 10 ML x 1 (, TTB
68123, CLOR.OXIMETAZOL.MG , CLOR OXIMETAZOL, CLORIDRATO OXIMETAZOLINA, SOLN NASAL 0.50 MG 30 ML x 1 (, TTB
93702, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 20, TTB
80467, CLOR.PAROXETINA MG , CLOR PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, CPR REVEST 20 MG x 30, TTB
74216, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, AMP. 25 MG 2 ML x 120 (/ML), TTB
70043, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, AMP. 50 MG 2 ML x 100, TTB
64276, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, AMP. 50 MG 2 ML x 5, TTB
64273, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 10, TTB
70042, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 100, TTB
64274, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 150 MG x 20, TTB
64275, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 300 MG x 10, TTB
75390, CLOR.RANITIDINA MG , CLOR RANITIDINA, CLORIDRATO RANITIDINA, CPR REVEST 300 MG x 20, TTB
85647, CLOR.TETRACICLI.MG , CLOR TETRACICLI, CLORIDRATO TETRACICLINA, CAPS 500 MG x 8, TTB
52186, CLORDOX , CLORDOX, NOT FOUND, DRAG 100 MG x 15, TTB
58996, CLOTREN , CLOTREN, NOT FOUND, CREME 10 MG 50 G x 1 (/G), TTB
85866, CLOTRIMAZOL MG , CLOTRIMAZOL, CLOTRIMAZOL, CREME DERMAT 10 MG 20 G x 1 (/G), TTB
68415, CLOTRIMAZOL MG , CLOTRIMAZOL, CLOTRIMAZOL, CREME DERMAT 10 MG 50 G x 1 (/G), TTB
123859, COLAGENO H FOLLIUM , COLAGENO H FOLLIUM, NOT FOUND, SACHE 10 G x 30, TTB
52189, COLIRIO TEUTO , COLIRIO TEUTO, NOT FOUND, COLIRIO 20 ML x 1, TTB
109739, COLPATRIN , COLPATRIN, NOT FOUND, CR VAG 10APL 50 G x 1, TTB
32171, COLPATRIN , COLPATRIN, NOT FOUND, CREME 40 G x 1, TTB
76208, COLPATRIN , COLPATRIN, NOT FOUND, CREME 50 G x 1, TTB
52187, CO-PRESSOTEC , CO PRESSOTEC, NOT FOUND, CPR 10 MG x 30, TTB
52188, CO-PRESSOTEC , CO PRESSOTEC, NOT FOUND, CPR 20 MG x 30, TTB
66349, CORDIL , CORDIL, NOT FOUND, CPR 60 MG x 50, TTB
66350, CORDIL , CORDIL, NOT FOUND, CPR REVES.AP 90 MG x 20, TTB
90042, CVIT , CVIT, NOT FOUND, CAPS 45 MG x 60, TTB
