525305101134112; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NQA
525307903114111; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 20 ; NQA
525307906113114; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1 MG COM CT BL AL PLAS INC X 30; NQA
525307904110118; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2 MG COM CT BL AL PLAS INC X 30; NQA
525300204113117; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT  STR  X 18; NQA
525300201114112; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG + 125 MG COM REV CT  STR  X 6; NQA
525312050035206; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS TRANS X 15; NQA
525300310134114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 50 MG/ML PO P/ SUS OR CT FR PLAS OPC X 150 ML  ; NQA
525300303111112; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NQA
525300302115114; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 10; NQA
525307601118112; ATENOLOL; ATENOLOL; ATENOLOL; 100 MG COM CT BL AL PLAS INC X 30; NQA
525307603110119; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; NQA
525307602114110; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; NQA
525309501110116; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL AL X 30; NQA
525309502117114; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 10 MG COM REV CT BL AL AL X 60; NQA
525309503113112; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL AL X 30; NQA
525309504111113; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL AL X 60; NQA
525309505116119; ATORVASTATINA CÁLCICA; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL AL X 30; NQA
525304703130117; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML  ; NQA
525304705117118; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL X 10; NQA
525300405119112; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; NQA
525314040041804; ARACOR A; ARACOR A; NOT FOUND; 320 MG + 10 MG COM REV CT BL AL/AL X 60; NQA
525314040041404; ARACOR A; ARACOR A; NOT FOUND; 80 MG + 5 MG COM REV CT BL AL/AL X 30; NQA
525314040041704; ARACOR A; ARACOR A; NOT FOUND; 320 MG + 5 MG COM REV CT BL AL/AL X 60; NQA
525314040041504; ARACOR A; ARACOR A; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL/AL X 10 ; NQA
525314040041604; ARACOR A; ARACOR A; NOT FOUND; 160 MG + 5 MG COM REV CT BL AL/AL X 30; NQA
525314050042204; AGAMIR; AGAMIR; NOT FOUND; 0.125 MG COM CT BL AL AL X 30 ; NQA
525314050042304; AGAMIR; AGAMIR; NOT FOUND; 0.25 MG COM CT BL AL AL X 30 ; NQA
525314050042404; AGAMIR; AGAMIR; NOT FOUND; 1 MG COM CT BL AL AL X 30; NQA
525312070036203; ASTIG; ASTIG; NOT FOUND; 1.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
525312070036503; ASTIG; ASTIG; NOT FOUND; 3 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
525312070036403; ASTIG; ASTIG; NOT FOUND; 4.5 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
525312070036303; ASTIG; ASTIG; NOT FOUND; 6 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
525314070043603; ARACOR HCT; ARACOR HCT; NOT FOUND; 320 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
525312060035604; ARACOR HCT; ARACOR HCT; NOT FOUND; 80 MG +12.5 MG COM REV CT BL AL AL X 30; NQA
525312060035404; ARACOR HCT; ARACOR HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; NQA
525312060035504; ARACOR HCT; ARACOR HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; NQA
525312060035704; ARACOR HCT; ARACOR HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; NQA
525308401163112; ÁCIDO FUSÍDICO + VALERATO DE BETAMETASONA; ACIDO FUSIDICO VALERATO BETAMETASONA; NOT FOUND; 20 MG/G + 1.0 MG/G CREM DERM CT BG AL X 15 G; NQA
