536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536202701118117, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL PLAS INC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
536201501115116, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PVC X 30, ZYD
536202701118117, CLONAZEPAM, CLONAZEPAM, CLONAZEPAM, 2 MG COM CT BL PLAS INC X 30, ZYD
536200901111111, CLORIDRATO DE CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO, CLORIDRATO CIPROFLOXACINO MONOIDRATADO, 500 MG COM REV CT BL AL PLAS OPC X 14, ZYD
536200201118111, CLORIDRATO DE FLUOXETINA, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PVC X 30, ZYD
536200301112115, CLORIDRATO DE PAROXETINA, CLORIDRATO PAROXETINA, CLORIDRATO PAROXETINA HEMI-HIDRATADO, 20 MG COM REV CT BL AL PVC X 30, ZYD
536201401110112, CLORIDRATO DE SERTRALINA, CLORIDRATO SERTRALINA, CLORIDRATO SERTRALINA, 50 MG COM REV CT BL AL PLAS INC X 30, ZYD
