519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519031901177417, BENZOAX, BENZOAX, NOT FOUND, 250 MG/ML EMU TOP CT FR PLAS OPC X 100 ML, N_Q
519031902173415, BENZOAX, BENZOAX, NOT FOUND, 6.0 G SAB CT PAP PARAF X 60 G   , N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519031901177417, BENZOAX, BENZOAX, NOT FOUND, 250 MG/ML EMU TOP CT FR PLAS OPC X 100 ML, N_Q
519031902173415, BENZOAX, BENZOAX, NOT FOUND, 6.0 G SAB CT PAP PARAF X 60 G   , N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519031901177417, BENZOAX, BENZOAX, NOT FOUND, 250 MG/ML EMU TOP CT FR PLAS OPC X 100 ML, N_Q
519031902173415, BENZOAX, BENZOAX, NOT FOUND, 6.0 G SAB CT PAP PARAF X 60 G   , N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, CREME 1MG/G (BG AL C/30GR), N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, POMADA 1MG/G (BG AL C/30GR), N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519031901177417, BENZOAX, BENZOAX, NOT FOUND, 250 MG/ML EMU TOP CT FR PLAS OPC X 100 ML, N_Q
519031902173415, BENZOAX, BENZOAX, NOT FOUND, 6.0 G SAB CT PAP PARAF X 60 G, N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
519001801131413, BRONDYNEO, BRONDYNEO, NOT FOUND, 25MG/5ML XPE INF (VD C/120ML), N_Q
519001802138411, BRONDYNEO, BRONDYNEO, NOT FOUND, 50MG/5ML XPE AD (VD C/120ML), N_Q
519031901177417, BENZOAX, BENZOAX, NOT FOUND, 250 MG/ML EMU TOP CT FR PLAS OPC X 100 ML, N_Q
519031902173415, BENZOAX, BENZOAX, NOT FOUND, 6.0 G SAB CT PAP PARAF X 60 G, N_Q
519021701132110, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, BENZOILMETRONIDAZOL, 40 MG/ML SUS OR CT FR VD AMB X 80 ML, N_Q
519023402116111, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 10 MG COM CT BL AL PLAS AMB X 30, N_Q
519023404119116, BESILATO DE ANLODIPINO, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
519023501173111, BROMETO DE IPRATRÓPIO, BROMETO IPRATROPIO, BROMETO IPRATROPIO, 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML, N_Q
519001401133419, BROMIFEN, BROMIFEN, NOT FOUND, 5MG/ML SOL OR CX 50 FR VD AMB X 20 ML + CTG EMB HOSP, N_Q
519029201139111, BROMOPRIDA, BROMOPRIDA, BROMOPRIDA, 4 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, N_Q
519029602151414, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ ML + 2 MG/ML SUS INJ CT 50 AMP VD INC X 1ML (EMB HOSP), N_Q
519029601153413, BECLONATO, BECLONATO, NOT FOUND, 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1ML + SERINGA, N_Q
519027301136118, BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA MALEATO DEXCLORFENIRAMINA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED, N_Q
519001002166410, BACTRONEO, BACTRONEO, NOT FOUND, 20 MG/G POM DERM CT BG AL X 15 G, N_Q
519027101161410, BABYNEO, BABYNEO, NOT FOUND, 100.000 UI/G + 200 MG/G POM DERM BG AL X 60 G , N_Q
519024501118410, BIOMINA, BIOMINA, NOT FOUND, COMP. REV FR PLAS OPC X 30, N_Q
519001101164416, BETSONA, BETSONA, NOT FOUND, 1 MG/G CREM DERM CT BG AL X 30 G, N_Q
519001102160414, BETSONA, BETSONA, NOT FOUND, 1 MG/G POM DERM CT BG AL X 30 G, N_Q
