519021601111111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1 G COM CT BL AL PLAST INC X 2, N_Q
519022701111413, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 14, N_Q
519022702116419, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CX 25 BL AL PLAS INC X 20 (EMB HOSP), N_Q
519029401111113, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20 , N_Q
519022101139112, SULFAMETAZOL + TRIMETOPRIMA, SULFAMETAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED X 10 ML, N_Q
519021101135119, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 60 ML + CP MED X 10 ML, N_Q
519015601156110, SULFATO DE GENTAMICINA, SULFATO GENTAMICINA, SULFATO GENTAMICINA, INJ 80MG/2ML (CX C/1 AMP C/2ML), N_Q
519015701134119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, LIQ 2MG (VD C/120ML), N_Q
519021601111111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1 G COM CT BL AL PLAST INC X 2, N_Q
519015401165418, SENSIDERME, SENSIDERME, NOT FOUND, POM 2MG/G (BISN C/30GR), N_Q
519022701111413, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 14, N_Q
519022702116419, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CX 25 BL AL PLAS INC X 20 (EMB HOSP), N_Q
519029401111113, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20 , N_Q
519022101139112, SULFAMETAZOL + TRIMETOPRIMA, SULFAMETAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED X 10 ML, N_Q
519021101135119, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 60 ML + CP MED X 10 ML, N_Q
519015601156110, SULFATO DE GENTAMICINA, SULFATO GENTAMICINA, SULFATO GENTAMICINA, INJ 80MG/2ML (CX C/1 AMP C/2ML), N_Q
519015701134119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, LIQ 2MG (VD C/120ML), N_Q
519022701111413, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 14, N_Q
519022702116419, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CX 25 BL AL PLAS INC X 20 (EMB HOSP), N_Q
519015401165418, SENSIDERME, SENSIDERME, NOT FOUND, 2 MG/G POM DERM CT BG AL X 30 G, N_Q
519021601111111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1 G COM CT BL AL PLAST INC X 2, N_Q
519029401111113, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20 , N_Q
519022101139112, SULFAMETAZOL + TRIMETOPRIMA, SULFAMETAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED X 10 ML, N_Q
519021101135119, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 60 ML + CP MED X 10 ML, N_Q
519015601156110, SULFATO DE GENTAMICINA, SULFATO GENTAMICINA, SULFATO GENTAMICINA, INJ 80MG/2ML (CX C/1 AMP C/2ML), N_Q
519015701134119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, LIQ 2MG (VD C/120ML), N_Q
519022701111413, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CT 2 BL AL PLAS INC X 14, N_Q
519022702116419, SERTRALIN, SERTRALIN, NOT FOUND, 50 MG COM REV CX 25 BL AL PLAS INC X 20 (EMB HOSP), N_Q
519015401165418, SENSIDERME, SENSIDERME, NOT FOUND, 2 MG/G POM DERM CT BG AL X 30 G, N_Q
519021601111111, SECNIDAZOL, SECNIDAZOL, SECNIDAZOL, 1 G COM CT BL AL PLAST INC X 2, N_Q
519029401111113, SIMETICONA, SIMETICONA, SIMETICONA, 40 MG COM CT BL AL PLAS INC X 20 , N_Q
519022101139112, SULFAMETAZOL + TRIMETOPRIMA, SULFAMETAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED X 10 ML, N_Q
519021101135119, SULFAMETOXAZOL + TRIMETOPRIMA, SULFAMETOXAZOL TRIMETOPRIMA, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 60 ML + CP MED X 10 ML, N_Q
519015601156110, SULFATO DE GENTAMICINA, SULFATO GENTAMICINA, SULFATO GENTAMICINA, INJ 80MG/2ML (CX C/1 AMP C/2ML), N_Q
519015701134119, SULFATO DE SALBUTAMOL, SULFATO SALBUTAMOL, SULFATO SALBUTAMOL, LIQ 2MG (VD C/120ML), N_Q
