538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538802302131119, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED, LG6
538802303111111, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2 MG COM CT BL AL PLAS OPC X 20, LG6
538802301133118, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 2.8 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML, LG6
538815701135111, MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA, MALEATO DEXCLORFENIRAMINA BETAMETASONA, NOT FOUND, 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538815902114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, LG6
538815903110118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, LG6
538815901118111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL / AL X 30, LG6
538811301116417, MELOXIGRAN, MELOXIGRAN, NOT FOUND, 15 MG COM CT BL AL PLAS OPC X 10, LG6
538816002117110, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PLAS OPC X 10, LG6
538816001110112, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT BL AL PLAS OPC X 10, LG6
538810001119110, MESALAZINA, MESALAZINA, MESALAZINA, 800 MG COM REV CT BL AL PLAS LEIT X 30, LG6
