538820102139114, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED, LG6
538805601111114, ATORVASTATINA CÁLCICA, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 80 MG COM REV CT BL AL/AL X 30, LG6
538811401110410, AZITROGRAN, AZITROGRAN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEITOSO X 3, LG6
538800501178410, ASMALIV, ASMALIV, NOT FOUND, 0.25 MG/ML SOL INAL CT FR VD AMB CGT X 20 ML , LG6
538806302118417, AH-ZUL, AH ZUL, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 4, LG6
538806301111419, AH-ZUL, AH ZUL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 2, LG6
538806303114415, AH-ZUL, AH ZUL, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 4, LG6
538806304110413, AH-ZUL, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 1, LG6
538806305117411, AH-ZUL, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 12, LG6
538806306113411, AH-ZUL, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 2, LG6
538806307111410, AH-ZUL, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 4, LG6
538806308116416, AH-ZUL, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 8, LG6
538807402167116, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G POM DERM CT BG AL X 30 G, LG6
538807401160118, ACETONIDA DE TRIANCINOLONA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA, ACETONIDA TRIANCINOLONA SULFATO NEOMICINA GRAMICIDINA NISTATINA, NOT FOUND, 1 MG/G + 2.5 MG/G + 0.25 MG/G + 100.000 UI/G CREM DERM CT BG AL X 30 G, LG6
538818902131418, ALERGALIV, ALERGALIV, NOT FOUND, 1 MG/ML XPE FR VD AMB X 100 ML + DOSADOR, LG6
538818903111410, ALERGALIV, ALERGALIV, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 12, LG6
538818901119414, ALERGALIV, ALERGALIV, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 15, LG6
538818904118419, ALERGALIV, ALERGALIV, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 6, LG6
538816601134411, ALERGALIV D, ALERGALIV D, NOT FOUND, 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP DOS, LG6
538820601161115, ACETONIDA DE TRIANCINOLONA, ACETONIDA TRIANCINOLONA, NOT FOUND, 1 MG/G POM BUCAL CT BG AL X 10 G, LG6
538804601169114, ÁCIDO FUSÍDICO + VALERATO DE BETAMETASONA, ACIDO FUSIDICO VALERATO BETAMETASONA, NOT FOUND, 20 MG/G + 1 MG/G CREM DERM CT BG AL X 15 G , LG6
538814201112112, ÁCIDO MEFENÂMICO, ACIDO MEFENAMICO, ACIDO MEFENAMICO, 500 MG COM CT BL AL PLAS OPC X 24, LG6
538805701116118, ÁCIDO TRANEXÂMICO, ACIDO TRANEXAMICO, ACIDO TRANEXAMICO, 250 MG COM CT BL AL PLAS OPC X 12, LG6
