538811101168413; DEXADERMIL; DEXADERMIL; NOT FOUND; 1MG/G CREM DERM CT BG AL X 10 G; LG6
538815101162116; DESONIDA; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; LG6
538820402116111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 4 MG COM CT BL AL PLAS OPC X 10; LG6
538820401111114; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.75 MG COM CT BL AL PLAS OPC X 20; LG6
538808201114110; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; LG6
538812040040706; DIAZEPAM; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 30; LG6
538808202110119; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 20; LG6
538812040040606; DIAZEPAM; DIAZEPAM; DIAZEPAM; 5 MG COM CT BL AL PLAS INC X 30; LG6
538808503110411; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 10; LG6
538808502114411; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 14; LG6
538813601117113; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS OPC X 14; LG6
538808501118413; DRYLTAC; DRYLTAC; NOT FOUND; 140 MG CAP GEL DURA CT BL AL PLAS BRANCO LEITOSO X 20; LG6
538813602113111; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; DICLOFENACO COLESTIRAMINA; 140 MG CAP GEL DURA CT BL AL PLAS OPC X 20; LG6
538820701131110; DICLOFENACO RESINATO; DICLOFENACO RESINATO; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; LG6
538821301178411; DICLOAIR; DICLOAIR; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; LG6
538800702114118; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM  REV DESINT LENTA BL AL PLAS INC X 10 ; LG6
538800701118111; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 100 MG COM  REV DESINT LENTA BL AL PLAS INC X 20; LG6
538800703110116; DICLOFENACO SÓDICO; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; LG6
538814050048906; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.125 MG COM CT BL AL AL X 30 ; LG6
538814050049006; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 0.25 MG COM CT BL AL AL X 30  ; LG6
538814050049106; DICLORIDRATO DE PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; 1 MG COM CT BL AL AL X 30 ; LG6
538815201116116; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; LG6
538802101134110; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML + CP MED ; LG6
538802102114113; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB HOSP); LG6
538802103137117; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; LG6
538802104133115; DIPIRONA SÓDICA; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; LG6
538809801166111; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G POM DERM CT BG AL X 30 G; LG6
538809802162118; DIPROPIONATO DE BETAMETASONA + SULFATO DE GENTAMICINA; DIPROPIONATO BETAMETASONA SULFATO GENTAMICINA; NOT FOUND; 0.5 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G; LG6
538805302114111; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 30; LG6
538805401112419; DOMPGRAN; DOMPGRAN; NOT FOUND; 10 MG COM CT BL AL PLAS OPC X 30; LG6
538805301118113; DOMPERIDONA; DOMPERIDONA; DOMPERIDONA; 10 MG COM CT BL AL PLAS OPC X 60; LG6
538821201114118; DROSPIRENONA + ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG+ 0.03MG COM REV CT BL AL PLAS OPC X 21; LG6
538813070046606; DROSPIRENONA+ETINILESTRADIOL; DROSPIRENONA ETINILESTRADIOL; NOT FOUND; 3 MG+ 0.03MG COM REV CT 3 BL AL PLAS OPC X 21  ; LG6
538811201162417; DERMOSTATIN; DERMOSTATIN; NOT FOUND; 100.000 UI / G + 200 MG / G POM DERM CT BG AL X 60 G; LG6
