529900101113114; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG COM REV CT STR AL X 12; RBY
529913006114119; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; RBY
529900702117114; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL/AL X 10; RBY
529900707119115; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL/AL X 14; RBY
529900708115113; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM REV CT STR AL/AL X 20; RBY
529900703131110; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML ; RBY
529900705132114; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED; RBY
529900706139112; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 50 MG/ML PO SUS OR CT FR PLAS TRANS X 70 ML + CP MED; RBY
529900704111113; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL/AL X 10; RBY
529900709111111; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL/AL X 14; RBY
529900710111111; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM REV CT STR AL/AL X 20; RBY
529900801115111; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 2; RBY
529900802111118; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; RBY
529912060039006; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS TRANS X 5; RBY
529912060039106; AZITROMICINA; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS TRANS X 9; RBY
529912701110411; ALTIVA; ALTIVA; NOT FOUND; 120MG COM REV CT BL AL PLAS OPC X 10 ; RBY
529912702117411; ALTIVA; ALTIVA; NOT FOUND; 180MG COM REV CT BL AL PLAS OPC X 10; RBY
