500102505138116; AMOXICILINA; AMOXICILINA; AMOXICILINA; 100 MG/ ML PO P/ SUS OR CT FR VD AMB X 150 ML + COL MED; AOB
500113030013206; ATENOLOL; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 60; AOB
500103205111113; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 14 ; AOB
500103206118111; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 28; AOB
500113030013306; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 30; AOB
500113030013406; ATENOLOL; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS INC X 60; AOB
500112030012306; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 10 ; AOB
500113070014806; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 100 (EMB HOSP); AOB
500112030012406; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 20; AOB
500113070014906; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 200 (EMB HOSP); AOB
500113070015006; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 250 MG COM CT BL AL/AL X 500 (EMB HOSP); AOB
500112030012506; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 10 ; AOB
500113070015106; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 100 (EMB HOSP); AOB
500112030012606; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 20; AOB
500113070015206; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 200 (EMB HOSP); AOB
500113070015306; AXETILCEFUROXIMA; AXETILCEFUROXIMA; AXETILCEFUROXIMA; 500 MG COM CT BL AL/AL X 500 (EMB HOSP); AOB
500102902153413; AUROTAZ-P; AUROTAZ P; NOT FOUND; 2G + 0.25G PO LIOF P/ SOL INJ  IV CT FA VD INC X 30ML; AOB
500102901157415; AUROTAZ-P; AUROTAZ P; NOT FOUND; 4G + 0.5G PO LIOF P/ SOL INJ IV CT FA VD INC X 40ML; AOB
