507731401130410; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; EMS
507726501114119; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 20 ; EMS
507726505111114; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC); EMS
531604501139115; BETAMETASONA; BETAMETASONA; BETAMETASONA; 0.5 MG/ML SOL OR CT FR VD AMB X 15 ML; EMS
531604502119118; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0MG COM CT BL AL PLAS BCO LEIT X 10 ; EMS
507726502110117; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS OPC X 10  ; EMS
507726506116111; BETAMETASONA; BETAMETASONA; BETAMETASONA; 2.0 MG COM CT BL AL PLAS BCO LEIT X 90 (EMB FRAC); EMS
507726801118111; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BRANCO X 20 ; EMS
507726802114118; BEZAFIBRATO; BEZAFIBRATO; BEZAFIBRATO; 200 MG COM REV CT BL AL PLAS BCO X 60 (EMB FRAC); EMS
531613090070306; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML; EMS
507740201173115; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X  3 ML; EMS
531613120072406; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
507740202171116; BIMATOPROSTA; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
507744601117118; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 14; EMS
507744602113116; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL/AL X 28; EMS
531600501118417; BROMOPIRIN; BROMOPIRIN; NOT FOUND; 1.05 MG + 25 MG CAP GEL DURA CT 2 BL AL PLAS INC X 10; EMS
507725205139112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB0 GOT X 20 ML; EMS
507725201011111; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; EMS
507725203111113; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; EMS
507725204116119; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; EMS
507725202113112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; EMS
507739601171116; BROMETO DE IPRATRÓPRIO; BROMETO IPRATROPRIO; NOT FOUND; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; EMS
541812080003506; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 30; EMS
541812080003606; BROMETO DE PINAVÉRIO; BROMETO PINAVERIO; BROMETO PINAVERIO; 100 MG COM REV CT BL AL PLAS OPC X 60; EMS
507740801111110; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 14; EMS
507740802118119; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 28; EMS
507740803114117; BROMIDRATO DE CITALOPRAM; BROMIDRATO CITALOPRAM; BROMIDRATO CITALOPRAM; 20 MG COM REV CT BL AL PLAS OPC X 30; EMS
531610401132113; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML  XPE CT FR VD AMB X 120 ML + CP MED ; EMS
507725102135114; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.25 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
531610402139111; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML  XPE CT FR VD AMB X 120 ML + CP MED ; EMS
507725103131112; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 0.5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
531610403135111; BROMIDRATO DE FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EMS
507725101074111; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; BROMIDRATO FENOTEROL; 5 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; EMS
507733101134115; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 1MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; EMS
507733103110116; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; EMS
507733102130113; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4 MG/ML SOL OR CT FR VD CGT X 20 ML; EMS
531606501136112; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; EMS
507726301131117; BUTILBROMETO DE ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; BUTILBROMETO ESCOPOLAMINA; 10 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; EMS
507736201131112; BROMETO DE N- BUTIL ESCOPOLAMINA + DIPIRONA SÓDICA; BROMETO N BUTIL ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD CGT X 20 ML; EMS
531618801131111; BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA; BUTILBROMETO ESCOPOLAMINA DIPIRONA SODICA; NOT FOUND; 6.67 MG/ML + 333.4 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EMS
507703701151418; BIOPREVENT; BIOPREVENT; NOT FOUND; 1G INJ 50 FR/AMP S/ DIL; EMS
507741801131411; BISURAN; BISURAN; NOT FOUND; 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; EMS
507741802138411; BISURAN; BISURAN; NOT FOUND; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
531627501119415; BUPIUM; BUPIUM; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 10; EMS
531627502115413; BUPIUM; BUPIUM; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 30; EMS
531627503111411; BUPIUM; BUPIUM; NOT FOUND; 150 MG COM REV LIB PROL CT BL AL AL X 60; EMS
507742902111414; BENZIFLEX; BENZIFLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 15; EMS
507742901113413; BENZIFLEX; BENZIFLEX; NOT FOUND; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
541813110006203; BENZIFLEX; BENZIFLEX; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 15; EMS
541813110006303; BENZIFLEX; BENZIFLEX; NOT FOUND; 5MG COM REV CT BL AL PLAS OPC X 30; EMS
531626601111418; BONECAL D; BONECAL D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 30; EMS
531626602116413; BONECAL D; BONECAL D; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 60; EMS
507746501179411; BIOFLADEX; BIOFLADEX; NOT FOUND; 11.6 MG/G SOL AER DERM FILME PLAS CIL AL X 85 ML; EMS
531612060066804; BRASART HCT; BRASART HCT; NOT FOUND; 80 MG + 12.5 COM REV CT BL AL AL X 30; EMS
531612060066904; BRASART HCT; BRASART HCT; NOT FOUND; 160 MG + 12.5 MG COM REV CT BL AL AL X 30; EMS
531612060067104; BRASART HCT; BRASART HCT; NOT FOUND; 320 MG + 25 MG COM REV CT BL AL AL X 30; EMS
531612060067004; BRASART HCT; BRASART HCT; NOT FOUND; 160 MG + 25 MG COM REV CT BL AL AL X 30; EMS
541815020010103; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.100 G+0.150 G/G GEL CT BG AL X 60 G; EMS
541815020010203; BALSAMO BENGUE; BALSAMO BENGUE; NOT FOUND; 0.250 G+0.250 G/G POM DERM CT BG AL X 60 G; EMS
531623502110419; BRASART; BRASART; NOT FOUND; 160 MG COM REV CT BL AL AL X 30; EMS
531623503117417; BRASART; BRASART; NOT FOUND; 320 MG COM REV CT BL AL AL X 30; EMS
531623501114410; BRASART; BRASART; NOT FOUND; 80 MG COM REV CT BL AL AL X 30; EMS
