531616001160119; CLOTRIMAZOL + ACETATO DE DEXAMETASONA; CLOTRIMAZOL ACETATO DEXAMETASONA; NOT FOUND; 10MG/G + 0.4MG/G CREM DERM CT BG AL X 40G; EMS
531610603134117; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; EMS
507704101131120; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; EMS
531610601131110; CARBOCISTEÍNA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; EMS
507704103132116; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB X 20 ML  ; EMS
507736301118411; C CALCIO; C CALCIO; NOT FOUND; 1.0 G + 0.625 G + 400 UI + 0.002 G COM EFEV CT TB PLAS X 10; EMS
541814060008203; CARDBET; CARDBET; NOT FOUND; 3.125 MG COM CT BL AL/AL X 30; EMS
541814060008303; CARDBET; CARDBET; NOT FOUND; 6.25 MG COM CT BL AL/AL X 30; EMS
541814060008403; CARDBET; CARDBET; NOT FOUND; 12.5 MG COM CT BL AL/AL X 30; EMS
541814060008503; CARDBET; CARDBET; NOT FOUND; 25 MG COM CT BL AL/AL X 30; EMS
541812070001906; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 15; EMS
531608201113415; CARVEDILAT; CARVEDILAT; NOT FOUND; 12.5 MG COM CT BL AL PLAS INC X 30; EMS
541812070002006; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL AL X 30; EMS
541812070002106; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 15; EMS
531608202111416; CARVEDILAT; CARVEDILAT; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 30; EMS
541812070002206; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 30; EMS
541812070002306; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL AL X 60; EMS
541812070001506; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 15; EMS
531608203116411; CARVEDILAT; CARVEDILAT; NOT FOUND; 3.125 MG COM CT BL AL PLAS INC X 30; EMS
541812070001606; CARVEDILOL; CARVEDILOL; CARVEDILOL; 3.125 MG COM CT BL AL AL X 30; EMS
541812070001706; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 15; EMS
531608204112411; CARVEDILAT; CARVEDILAT; NOT FOUND; 6.25 MG COM CT BL AL PLAS INC X 30; EMS
541812070001806; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL AL X 30; EMS
507704302135115; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
507704304111116; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10 ; EMS
507704305118114; CEFACLOR; CEFACLOR; CEFACLOR; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30 (EMB FRAC); EMS
507704303131113; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
531616801132111; CEFACLOR; CEFACLOR; CEFACLOR; 50 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
531600804110412; CECLOR BD; CECLOR BD; NOT FOUND; 500 MG COM REV AP CT BL AL PVDC X 10; EMS
531616802139118; CEFACLOR; CEFACLOR; CEFACLOR; 75 MG/ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOSAD; EMS
531600802118319; CECLOR BD; CECLOR BD; NOT FOUND; 750 MG COM REV AP CT BL AL PVDC X 10; EMS
531600803114317; CECLOR BD; CECLOR BD; NOT FOUND; 750 MG COM REV AP CT  BL AL PVDC X 14; EMS
531600707131419; CECLOR; CECLOR; NOT FOUND; 250 MG/5ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOS; EMS
531600701133312; CECLOR; CECLOR; NOT FOUND; 250 MG/5ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOS+COLHER DOS; EMS
531600704116311; CECLOR; CECLOR; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC X 10; EMS
531600706135410; CECLOR; CECLOR; NOT FOUND; 375 MG/5ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOS; EMS
531600703136319; CECLOR; CECLOR; NOT FOUND; 375 MG/5ML SUS OR CT FR VD AMB X 80 ML + SER PLAS DOS+COLHER DOS; EMS
507704403136117; CEFADROXIL; CEFADROXIL; NOT FOUND; SUSP 500MG/5ML 100ML; EMS
507704402131111; CEFADROXIL; CEFADROXIL; NOT FOUND; SUSP 250MG/5ML FR C/ 100ML; EMS
507733901114119; CEFADROXILA; CEFADROXILA; CEFADROXILA; 500 MG X 60 CAPS (EMB FRAC); EMS
507704401117115; CEFADROXIL; CEFADROXIL; NOT FOUND; 500 MG 1 BL X 8 CAPS; EMS
531610801114112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G COM REV CT BL AL PLAS LEIT X 8; EMS
507704503130412; CEFAGRAN; CEFAGRAN; NOT FOUND; SUSP 250MG FR PO 100ML; EMS
531615601113113; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; CEFALEXINA MONOIDRATADA; 500 MG COM REV CT BL AL PLAS LEIT X 8 ; EMS
507704501111410; CEFAGRAN; CEFAGRAN; NOT FOUND; 500 MG COM REV CT BL AL PLAST INC X 8; EMS
507704605111115; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G COM REV CT BL AL PLAS INC X 45 (EMB FRAC); EMS
507704604115117; CEFALEXINA; CEFALEXINA; CEFALEXINA; 1 G COM REV CT BL AL PLAS INC X 8   ; EMS
507704603135114; CEFALEXINA; CEFALEXINA; CEFALEXINA; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + CP MED; EMS
507704601116112; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; EMS
507704606118113; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EMS
507704602112110; CEFALEXINA; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL  AL PLAS INC X 8 ; EMS
507704902159414; CEFATRIL; CEFATRIL; NOT FOUND; 1 G PO INJ CT 50 FA VD INC + 50 DIL X 10 ML; EMS
507705201154112; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 1G IM C/ 1 FR/DIL INJ; EMS
507705203157119; CEFTRIAXONA SOD; CEFTRIAXONA SOD; CEFTRIAXONA SODICA; 500MG IM C/ 1 FR/DIL INJ; EMS
531626701157411; CEFTRIAX; CEFTRIAX; NOT FOUND; 0.25 G SOL INJ IM CT FA + 1 AMP DIL X 2 ML; EMS
531626702153418; CEFTRIAX; CEFTRIAX; NOT FOUND; 0.5 G SOL INJ IM CT1 FA + AMP DIL X 2 ML; EMS
531626703151419; CEFTRIAX; CEFTRIAX; NOT FOUND; 1 G SOL INJ IM CT 1 FA + 1 AMP DIL X 3.5 ML; EMS
507705904171118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G SHAMP CT FR PLAS OPC X 100 ML; EMS
507705903167117; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G; EMS
507705901113117; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 10 ; EMS
507705902111118; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS INC X 30; EMS
507705905119111; CETOCONAZOL; CETOCONAZOL; CETOCONAZOL; 200 MG COM CT BL AL PLAS OPC X 60 (EMB FRAC); EMS
507705801161111; CETOC.+DIPROP. BETA.; CETOC DIPROP BETA; NOT FOUND; CREME BISN 30G; EMS
507705802166115; CETOC.+DIPROP. BETA.; CETOC DIPROP BETA; NOT FOUND; POMADA BISN 30G; EMS
507737501161112; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 10 G ; EMS
531613902167119; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA; CETOCONAZOL DIPROPIONATO BETAMETASONA; NOT FOUND; 20 MG/G + 0.5 MG/G CREM DERM  CT BG AL X 30G; EMS
531620901162418; CORTIFUNGIN; CORTIFUNGIN; NOT FOUND; 20MG/G +0.5MG/G POM DERM CT BG AL X 30 G  ; EMS
531620902169416; CORTIFUNGIN; CORTIFUNGIN; NOT FOUND; 20MG/G +0.5MG/G CREM DERM CT BG AL X 30 G  ; EMS
507735201160114; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 10 G ; EMS
507735202167112; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 10 G ; EMS
531615202162110; CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20MG + 0.5MG + 2.5MG POM DERM CT BG AL X 30G; EMS
531611002169119; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; EMS
507706002163111; CETOPROFENO; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; EMS
507706001116118; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG CAP GEL DURA CT BL AL PLAS INC X 24 ; EMS
507706005111110; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG CAP GEL DURA CT BL AL PLAS INC X 60 (EMB FRAC); EMS
531611001154118; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); EMS
507706004158113; CETOPROFENO; CETOPROFENO; CETOPROFENO; 50 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML (EMB HOSP); EMS
507734101138410; CALCINOL COMPLEXO; CALCINOL COMPLEXO; NOT FOUND; SUSP 240 ML; EMS
531600901159412; CEDOZELIN; CEDOZELIN; NOT FOUND; SOL INJ 3 AMP A VD AMB X 5 ML + 3 AMP B VD AMB X 10 ML(1000); EMS
507739801170113; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; CICLOPIROX OLAMINA; 10 MG/ML SOL TOP CT FR GOT PLAS TRANS X 15 ML; EMS
531611101116110; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 100 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50 ; EMS
531611102112119; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 25 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50 ; EMS
531611103119117; CICLOSPORINA; CICLOSPORINA; CICLOSPORINA; 50 MG CAP GEL MOLE C/ MCEMU CT BL AL/AL X 50 ; EMS
507742702110112; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 1; EMS
507742703117110; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 2; EMS
507742704113119; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 100 MG COM REV CT BL AL PLAS OPC X 4; EMS
507742710113117; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 1; EMS
507742705111111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 2; EMS
507742711111118; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 25 MG COM REV CT BL AL PLAS OPC X 4; EMS
507742706116115; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 1; EMS
507742707112113; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 12; EMS
507742708119111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 2; EMS
507742709115111; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 4; EMS
507742701114114; CITRATO DE SILDENAFILA; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS OPC X 8; EMS
541814100008906; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS LEIT X 10; EMS
507706403176115; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 25 MG/ML GRAN SUS OR CT FR PLAS OPC X 60 ML+FR PLAS DIL X 31 ML+SER PLAS; EMS
507706404172113; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 50 MG/ML GRAN SUS OR CT FR PLAS OPC X 60 ML+FR PLAS DIL X 31 ML+SER PLAS; EMS
507706401114112; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 10; EMS
507706402110110; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 14; EMS
507706405111118; CLARITROMICINA; CLARITROMICINA; CLARITROMICINA; 500 MG COM REV CT BL AL PLAS LEIT X 30 (EMB FRAC); EMS
507730802115112; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2 MG COM CT BL AL PLAS LEIT X 30; EMS
507730801135111; CLONAZEPAM; CLONAZEPAM; CLONAZEPAM; 2.5 MG/ML SOL OR CT FR VD AMB CGT X 20 ML; EMS
507708901114411; CYSTEX; CYSTEX; NOT FOUND; 15MG+250MG+20MG+15MG DRG CT BL AL PLAS INC X 24; EMS
531615701134112; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
507706801139120; CLOR. AMBROXOL; CLOR AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
531615702130110; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
507706802135129; CLOR. AMBROXOL; CLOR AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; EMS
507729001112111; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEITOSO X 30; EMS
531605201112112; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEITOSO X 30; EMS
507729002119111; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEITOSO X 30; EMS
507729003115118; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 2.5 MG + 25 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
531605202119110; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEITOSO X 30; EMS
507729004111116; CLORIDRATO DE AMILORIDA + HIDROCLOROTIAZIDA; CLORIDRATO AMILORIDA HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 50 MG COM CT BL AL PLAS LEIT X 90 (EMB FRAC); EMS
507738801118113; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 25 MG COM REV CT BL AL PLAS OPC X 30 ; EMS
507738802114111; CLORIDRATO DE AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; CLORIDRATO AMITRIPTILINA; 75 MG COM REV CT BL AL PLAS OPC X 30; EMS
507706901176117; CLORIDRATO DE AZELASTINA; CLORIDRATO AZELASTINA; CLORIDRATO AZELASTINA; 1 MG/ML SOL NAS CT FR PLAS AMB SPRAY X 10 ML; EMS
531618301171112; CLORIDRATO DE AZELASTINA; CLORIDRATO AZELASTINA; CLORIDRATO AZELASTINA; 1 MG/ML SOL NAS CT FR PLAS AMB SPRAY X 10 ML ; EMS
531613401176115; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML ; EMS
507731601172117; CLORIDRATO DE BETAXOLOL; CLORIDRATO BETAXOLOL; CLORIDRATO BETAXOLOL; 5 MG/ML SOL OFT CT FR PLAS TRANS GOT X 5 ML; EMS
531619901138114; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML  + CP MED; EMS
507737101139111; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 0.8 MG/ML XPE CT FR VD AMB X 120 ML  + CP MED; EMS
531614010073006; CLORIDRATO DE BROMEXINA; CLORIDRATO BROMEXINA; CLORIDRATO BROMEXINA; 1.6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; EMS
507746202112119; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 30; EMS
507746201116110; CLORIDRATO DE BUPROPIONA; CLORIDRATO BUPROPIONA; CLORIDRATO BUPROPIONA; 150 MG COM REV LIB LENT CT BL AL AL X 60; EMS
507740701117117; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 10; EMS
507740702113115; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 15; EMS
507740703111116; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 10 MG COM REV CT BL AL PLAS OPC X 30; EMS
531613100070606; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5MG COM REV CT BL AL PLAS OPC X  15; EMS
531613100070706; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5MG COM REV CT BL AL PLAS OPC X 30; EMS
507740704116111; CLORIDRATO DE CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; CLORIDRATO CICLOBENZAPRINA; 5 MG COM REV CT BL AL PLAS OPC X 30; EMS
531611401160115; CLORIDRATO DE CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO; NOT FOUND; 3.5 MG / G POM OFT CT BG AL X 3.5 G ; EMS
507706304119415; CIPROCILIN; CIPROCILIN; NOT FOUND; 500 MG COM REV CT 2 BL AL PVDC LEITOSO X 7; EMS
507706303112417; CIPROCILIN; CIPROCILIN; NOT FOUND; 500 MG COM REV CT 1 BL AL PVDC LEITOSO X 6; EMS
507707002116111; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 250 MG1 BL X 6; EMS
507707001111114; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 250 MG COM REV CT BL AL PLAS OPC X 14; EMS
507707006170119; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
507707005166118; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 3.5 MG/G POM OFT CT BG AL X 3.5G; EMS
507707007118110; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 10; EMS
507707003112118; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 500 MG1BL X 6; EMS
507707004119116; CLOR. CIPROFLOXACIN0; CLOR CIPROFLOXACIN0; NOT FOUND; 500 MG COM REV CT BL AL PLAS OPC X 14; EMS
507738501173119; CLORIDRATO DE CIPROFLOXACINO + DEXAMETASONA; CLORIDRATO CIPROFLOXACINO DEXAMETASONA; NOT FOUND; 3.5 MG + 1 MG SOL OFT CT FR PLAS OPC GOT X 5 ML; EMS
531618401115117; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 16; EMS
507735702119117; CLORIDRATO DE CLINDAMICINA; CLORIDRATO CLINDAMICINA; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS LEIT X 16; EMS
