1055302600021; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR FR VD AMB X 50 ML; ABT
1055303370060; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
1055303370052; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT BL AL/AL X 20 (MINIMICROESFERAS); ABT
1055303370095; CREON; CREON; NOT FOUND; 400 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
1008201450098; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT FR PLAS OPC X 100 (MINIMICROESFERAS); ABT
1008201450081; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT FR PLAS OPC X 30 (MINIMICROESFERAS); ABT
1008201450111; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT FR PLAS OPC X 30 (MINIMICROESFERAS); ABT
1008201450144; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
1008201450152; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT BL AL/AL X 50 (MINIMICROESFERAS); ABT
1008201450187; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
1008201450195; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT BL AL/AL X 50 (MINIMICROESFERAS); ABT
