72691; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; PZ8
74502; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 400 MG x 20; PZ8
74503; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 400 MG x 40; PZ8
76746; CLEANBAC ; CLEANBAC; NOT FOUND; POM. 2 MG 50 G x 1 (/G); PZ8
63075; CLEANBAC ; CLEANBAC; NOT FOUND; POM. 2 MG 500 G x 24 (/G); PZ8
64858; CLO CLOB+S DOXI MG ; CLO CLOB S DOXI; NOT FOUND; XAR. 120 ML x 1; PZ8
73280; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 20; PZ8
89962; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 270; PZ8
165447; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 30; PZ8
73281; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 600; PZ8
73282; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 80 MG x 20; PZ8
76078; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 14; PZ8
76080; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 140; PZ8
76079; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; PZ8
76077; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 7; PZ8
64637; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CREME 10 MG 20 G x 1 (/G); PZ8
64638; CLO TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; SOLN TOP. 10 MG 30 ML x 1 (/G); PZ8
68813; CLO TETR+ANFO B MG ; CLO TETR ANFO B; NOT FOUND; CR.VAG.10APL 45 G x 1; PZ8
96426; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; SOL ORAL. 2.50 MG 20 ML x 1 (/ML); PZ8
62348; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; GOTAS 7.50 MG 50 ML x 1 (/ML); PZ8
62347; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 6 MG 100 ML x 50 (/ML); PZ8
62345; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 6 MG 120 ML x 1 (/ML); PZ8
70296; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 6 MG 120 ML x 50 (/ML); PZ8
62344; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 3 MG 100 ML x 50 (/ML); PZ8
62343; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 3 MG 120 ML x 1 (/ML); PZ8
70297; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 3 MG 120 ML x 50 (/ML); PZ8
64855; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 0.80 MG 120 ML x 1 (/ML); PZ8
64856; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 1.60 MG 120 ML x 1 (/ML); PZ8
69995; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 1.60 MG 120 ML x 50 (/ML); PZ8
74539; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 30; PZ8
75077; CLOR. VERAPAMIL MG ; CLOR VERAPAMIL; CLORIDRATO VERAPAMIL; CPR REVEST 80 MG x 800; PZ8
72328; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; PZ8
72698; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 300; PZ8
72327; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 6; PZ8
72330; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; PZ8
95774; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 140; PZ8
72699; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 300; PZ8
72329; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 6; PZ8
85433; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; PZ8
94141; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 320; PZ8
85432; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 400; PZ8
73882; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; PZ8
94142; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 320; PZ8
74784; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 400; PZ8
63076; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; GOTAS 4 MG 10 ML x 1 (/ML); PZ8
73546; CLOR.NAFAZOLINA MG ; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; PZ8
76075; CLOR.OXIMETAZOL.MG ; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOLN NASAL 0.25 MG 20 ML x 1 (; PZ8
72704; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 100; PZ8
72703; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 12; PZ8
84662; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 140; PZ8
73467; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 300; PZ8
62341; CLORETO POTASIO MG ; CLORETO POTASIO; NOT FOUND; SOLN ORAL 60 MG 100 ML x 1 (/M; PZ8
63077; CLORETO POTASIO MG ; CLORETO POTASIO; NOT FOUND; SOLN ORAL 60 MG 150 ML x 1 (/M; PZ8
65973; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME DERMAT 40 G x 1; PZ8
76375; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 20 MG 35 G x 1 (/G); PZ8
76374; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG.3 APL 20 MG 20 G x 1 (/G); PZ8
65611; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CREME DERMAT 10 MG 20 G x 1 (/G); PZ8
