520730201119416; MATERSUPRE; MATERSUPRE; NOT FOUND; COM REV CT FR PLAS OPC X 30; TTB
520714003111115; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT 3 ENV AL X 10 ; TTB
520714006110111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; TTB
520714004118113; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT 3 ENV AL X 10 ; TTB
520714007117118; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30; TTB
520727201170111; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML; TTB
520727202177118; MALEATO DE TIMOLOL; MALEATO TIMOLOL; MALEATO TIMOLOL; 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP); TTB
520714204117110; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 300 (EMB HOSP); TTB
520714201118116; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 100 MG COM CT BL AL PLAS INC X 6; TTB
520714202130111; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + CP MED; TTB
520714203137118; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 100 FR VD AMB X 30 ML + 100 CP MED (EMB HOSP); TTB
520714602112410; MEVAMOX; MEVAMOX; NOT FOUND; 15 MG COM CT BL AL PLAS INC X 10; TTB
520730301113118; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PVDC INC X 10; TTB
520713010086506; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS PVDC 250/120 TRANS X 10; TTB
520713010086903; MEVAMOX; MEVAMOX; NOT FOUND; 7.5 MG COM CT BL AL PLAS PVDC 250/120 TRANS X 10; TTB
520731201112118; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; TTB
520714501162110; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT 50 BG AL X 50 G (EMB HOSP); TTB
520714502169119; METRONIDAZOL; METRONIDAZOL; METRONIDAZOL; 100 MG/G GEL VAG CT BG AL X 50 G; TTB
520714901160417; MICOZEN; MICOZEN; NOT FOUND; 20 MG/G CREM VAG CT BG AL X 80 G + APLIC GINEC; TTB
520714903163413; MICOZEN; MICOZEN; NOT FOUND; 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP); TTB
520714902175418; MICOZEN; MICOZEN; NOT FOUND; 2 PCC LOC CT FR PLAS OPC X 30 ML; TTB
520714100093006; MONTELUCASTE DE SODIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 10 MG COM REV CT BL AL/AL X 10; TTB
520714100093106; MONTELUCASTE DE SODIO; MONTELUCASTE SODIO; MONTELUCASTE SODIO; 10 MG COM REV CT BL AL/AL X 30; TTB
520722601111411; MARFARIM; MARFARIM; NOT FOUND; 5 MG COM CT BL AL PVDC LEIT X 10; TTB
