511800207154413, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 50 MG/ ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800207154413, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 50 MG/ ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800206158415, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 84 MG/ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800201156414, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/100 AMPS. 10ML 10%, HYP
511800202152412, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/100 AMPS. 10ML 8.4%, HYP
511800203159410, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/35 FRS. 250ML 5%, HYP
511800207154413, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 50 MG/ ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800206158415, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 84 MG/ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800201156414, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/100 AMPS. 10ML 10%, HYP
511800202152412, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/100 AMPS. 10ML 8.4%, HYP
511800203159410, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/35 FRS. 250ML 5%, HYP
511800207154413, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 50 MG/ ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800206158415, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, 84 MG/ML SOL INJ IV CX 35 FR PLAS TRANS SIST FECH X 250 ML, HYP
511800201156414, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/100 AMPS. 10ML 10%, HYP
511800202152412, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/100 AMPS. 10ML 8.4%, HYP
511800203159410, BICARBONATO DE SÓDIO, BICARBONATO SODIO, BICARBONATO SODIO, CX. C/35 FRS. 250ML 5%, HYP
