520904002159314, MANITOL, MANITOL, MANITOL, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905902153418, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 500 MG/ML SOL INJ CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP), BME
520904002159314, MANITOL, MANITOL, MANITOL, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905901157411, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 10 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520905902153418, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 500 MG/ML SOL INJ CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP), BME
520904002159314, MANITOL, MANITOL, MANITOL, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905901157411, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 10 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520905902153418, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 500 MG/ML SOL INJ CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP), BME
520904002159314, MANITOL, MANITOL, MANITOL, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905901157411, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 10 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520905902153418, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, 5 MG/ML SOL INJ CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP) , BME
520904002159314, MANITOL, MANITOL, MANITOL, 200 MG/ML SOL INJ IV CX 30 FA PLAS INC SIST FECH X 250 ML, BME
520905901157411, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 10 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520905902153418, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONAC, METRONAC, NOT FOUND, 5 MG/ML SOL INJ CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP) , BME
520905902153418, METRONACK, METRONACK, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520905901157411, METRONACK, METRONACK, NOT FOUND, 5 MG/ML SOL INJ IV CX 10 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONACK, METRONACK, NOT FOUND, 5 MG/ML SOL INJ IV CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP), BME
520905902153418, METRONACK, METRONACK, NOT FOUND, 5 MG/ML SOL INJ CX 30 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520905901157411, METRONACK, METRONACK, NOT FOUND, 5 MG/ML SOL INJ IV CX 10 ECOFLAC PLUS (AMP PEBD) SIST FECH X 300 ML (EMB HOSP), BME
520904102153318, METRONACK, METRONACK, NOT FOUND, 5 MG/ML SOL INJ IV CX 50 MINIFLAC (AMP PLAS PEBD) SIST FECH X 100 ML (EMB HOSP), BME
