520900101152315, ACETATO POTASSIO, ACETATO POTASSIO, ACETATO POTASSIO, AMP 10 ML, BME
520900101152315, ACETATO POTASSIO, ACETATO POTASSIO, ACETATO POTASSIO, AMP 10 ML, BME
520900201157319, ACETATO SODIO, ACETATO SODIO, ACETATO SODIO TRI-HIDRATADO, AMP 10 ML, BME
520900301151312, ACETATO ZINCO, ACETATO ZINCO, ACETATO ZINCO, AMP 2 ML, BME
520900502157318, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX AMP PLAS PEBD ECOFLAC PLUS X 1000 ML, BME
520900503153316, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX AMP PLAS PEBD ECOFLAC PLUS X 250 ML, BME
520900501150311, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX AMP PLAS PEBD ECOFLAC PLUS X 500 ML, BME
520900601155313, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX AMP PLAS PEBD MINIFLAC X 100 ML, BME
520900602151311, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 50 ML, BME
520900701151311, AMINOP.L10A, AMINOP L10A, NOT FOUND, FR 1000 ML, BME
520900703152313, AMINOP.L10A, AMINOP L10A, NOT FOUND, FR 500 ML, BME
520900101152315, ACETATO POTASSIO, ACETATO POTASSIO, ACETATO POTASSIO, AMP 10 ML, BME
520900201157319, ACETATO SODIO, ACETATO SODIO, ACETATO SODIO TRI-HIDRATADO, AMP 10 ML, BME
520900301151312, ACETATO ZINCO, ACETATO ZINCO, ACETATO ZINCO, AMP 2 ML, BME
520900502157318, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX AMP PLAS PEBD ECOFLAC PLUS X 1000 ML, BME
520900503153316, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX AMP PLAS PEBD ECOFLAC PLUS X 250 ML, BME
520900501150311, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX AMP PLAS PEBD ECOFLAC PLUS X 500 ML, BME
520900601155313, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX AMP PLAS PEBD MINIFLAC X 100 ML, BME
520900602151311, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 50 ML, BME
520900701151311, AMINOP.L10A, AMINOP L10A, NOT FOUND, FR 1000 ML, BME
520900703152313, AMINOP.L10A, AMINOP L10A, NOT FOUND, FR 500 ML, BME
520900101152315, ACETATO POTASSIO, ACETATO POTASSIO, ACETATO POTASSIO, AMP 10 ML, BME
520900201157319, ACETATO SODIO, ACETATO SODIO, ACETATO SODIO TRI-HIDRATADO, AMP 10 ML, BME
520900301151312, ACETATO ZINCO, ACETATO ZINCO, ACETATO ZINCO, AMP 2 ML, BME
520900502157318, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX FA PLAS INC SIS FECH X 1000 ML, BME
520900503153316, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 250 ML, BME
520900501150311, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 500 ML, BME
520900601155313, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 100 ML, BME
520900602151311, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 50 ML, BME
520900701151311, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX 6 FA VD INC X 1000 ML, BME
520900703152313, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX FA VD INC X 500ML, BME
520900502157318, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX FA PLAS INC SIS FECH X 1000 ML, BME
520900503153316, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 250 ML, BME
520900501150311, ÁGUA PARA INJEÇÃO ECOFLAC PLUS, AGUA PARA INJECAO ECOFLAC PLUS, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 500 ML, BME
520900601155313, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 100 ML, BME
520900602151311, ÁGUA PARA INJEÇÃO MINIFLAC, AGUA PARA INJECAO MINIFLAC, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 50 ML, BME
520900701151311, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX 6 FA VD INC X 1000 ML, BME
520900703152313, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX FA VD INC X 500ML, BME
520900502157318, 'ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIS FECH X 1000 ML, BME
520900601155313, ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 100 ML, BME
520900503153316, 'ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 250 ML, BME
520900602151311, ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 50 ML, BME
520900701151311, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX 6 FA VD INC X 1000 ML, BME
520900703152313, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX FA VD INC X 500ML, BME
520900502157318, 'ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIS FECH X 1000 ML, BME
520900601155313, ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 100 ML, BME
520900503153316, 'ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 250 ML, BME
520900602151311, ÁGUA PARA INJEÇÃO B. BRAUN, AGUA PARA INJECAO B BRAUN, NOT FOUND, SOL INJ CX FA PLAS INC SIST FECH X 50 ML, BME
520900701151311, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX 6 FA VD INC X 1000 ML, BME
520900703152313, AMINOPLASMAL L 10 A, AMINOPLASMAL L 10 A, NOT FOUND, 100 MG/ML SOL INJ IV CX FA VD INC X 500ML, BME
