1190900140027; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - PEDIATRICO; NO_ACR
1211002810089; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
1211002810097; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 12; NO_ACR
1211002810100; TANTRIX; TANTRIX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
1211002810119; TANTRIX; TANTRIX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 2; NO_ACR
1211002810127; TANTRIX; TANTRIX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
1508200220015; TAMOPLEX; TAMOPLEX; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
1508200220031; TAMOPLEX; TAMOPLEX; NOT FOUND; 20 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
9516182166655; TONICO FERRUGINOSO; TONICO FERRUGINOSO; NOT FOUND; 2 PCC SOL OR CT FR VD AMB X 250ML; NO_ACR
1010700750072; TIMENTIN; TIMENTIN; NOT FOUND; 3.0 G + 0.1 G PO ESTERIL P/ SOL INJ CT 10 FA VD INC; NO_ACR
1010700750020; TIMENTIN; TIMENTIN; NOT FOUND; 3.1G INJ 1 FA + DIL 13ML; NO_ACR
1057700010014; TOSSILERG; TOSSILERG; NOT FOUND; FR 100 ML; NO_ACR
1057700270018; TRICOLPLEX; TRICOLPLEX; NOT FOUND; (0.125 G+25.000 UI+0.00125 G)/G GEL CT BG PLAS X 40 G; NO_ACR
1009200450017; TIMEOLATE; TIMEOLATE; NOT FOUND; 30 ML; NO_ACR
1002901550010; TRYPTANOL; TRYPTANOL; NOT FOUND; 25 MG COM REV CT  BL AL PLAS INC X 20; NO_ACR
1002901550029; TRYPTANOL; TRYPTANOL; NOT FOUND; 75 MG COM REV CT  BL AL PLAS INC  X 20; NO_ACR
1106500040015; TRYPTANOL; TRYPTANOL; NOT FOUND; 25 MG. COM.CT. C/2 BL X 10; NO_ACR
1106500040029; TRYPTANOL; TRYPTANOL; NOT FOUND; 75 MG. COM.CT. C/2 BL X 10; NO_ACR
1055001560010; TRISOMATOL; TRISOMATOL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS AMB X 10; NO_ACR
1055001560029; TRISOMATOL; TRISOMATOL; NOT FOUND; 25 MG COM CT 20 BL AL PLAS AMB X 10; NO_ACR
1055001560037; TRISOMATOL; TRISOMATOL; NOT FOUND; 75 MG COM CT 2 BL AL PLAS AMB X 10; NO_ACR
1055001560045; TRISOMATOL; TRISOMATOL; NOT FOUND; 75 MG COM CT 20 BL AL PLAS AMB X 10; NO_ACR
1010700880033; TAGAMET; TAGAMET; NOT FOUND; 300MG INJ 6 AMP 2ML; NO_ACR
1010701630038; TAGAMET; TAGAMET; NOT FOUND; 200 MG COM REV CT 2 BL AL PLAS INC X 20; NO_ACR
1010701630011; TAGAMET; TAGAMET; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
1010701630054; TAGAMET; TAGAMET; NOT FOUND; 400 MG COM REV CT 2 BL AL PLAS INC X 8; NO_ACR
1010700880092; TAGAMET; TAGAMET; NOT FOUND; 800MG COMP REV BL 8; NO_ACR
1002900270014; TRUSOPT; TRUSOPT; NOT FOUND; 20 MG/ML SOL OFT CT FR PLAS TRANS X 5 ML; NO_ACR
1045400280044; TONATON; TONATON; NOT FOUND; DRAGEAS - CAIXA COM 30; NO_ACR
1064601930063; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 50 FA VD AMB X 5 ML; NO_ACR
1064601930020; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD AMB X 2 ML; NO_ACR
1064601930039; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 50 FA VD AMB X 2 ML; NO_ACR
1064601930047; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML; NO_ACR
1064601930055; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD AMB X 5 ML; NO_ACR
1064601930012; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML; NO_ACR
1017100420057; TOLVON; TOLVON; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1123633650057; TYLENOL SINUS; TYLENOL SINUS; NOT FOUND; 500 MG + 30 MG COM REV CT BL PVC AL/PAPEL/POLIESTER X 24; NO_ACR
1008100730044; TAZEPIN; TAZEPIN; NOT FOUND; 50 MG CX C/ 5 AMP DE 2 ML; NO_ACR
1008100730052; TAZEPIN; TAZEPIN; NOT FOUND; 150 MG CX C/ 20 COMPRIMIDOS; NO_ACR
1008100730079; TAZEPIN; TAZEPIN; NOT FOUND; 300 MG CX C/ 8 COMPRIMIDOS; NO_ACR
1468200110020; TEKADIN; TEKADIN; NOT FOUND; 150 MG COM REV CT ENV AL X 20; NO_ACR
1468200110063; TEKADIN; TEKADIN; NOT FOUND; 300 MG COM REV CT ENV AL X 10; NO_ACR
1468200110101; TEKADIN; TEKADIN; NOT FOUND; 150 MG COM REV CT STR AL X 500 (EMB HOSP); NO_ACR
1468200110195; TEKADIN; TEKADIN; NOT FOUND; 300 MG COM REV CT STR AL X 500 (EMB HOSP); NO_ACR
1468200110276; TEKADIN; TEKADIN; NOT FOUND; 150 MG COM REV CT STR AL X 1000 (EMB HOSP) ; NO_ACR
1468200110284; TEKADIN; TEKADIN; NOT FOUND; 300 MG COM REV CT STR AL X 1000 (EMB HOSP) ; NO_ACR
1121301690027; TOLREST; TOLREST; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1121301690051; TOLREST; TOLREST; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1121301690043; TOLREST; TOLREST; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
1121301690035; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1121301690280; TOLREST; TOLREST; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1121301690140; TOLREST; TOLREST; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1121301690302; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 21; NO_ACR
1121303710033; TOLREST; TOLREST; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 28 ; NO_ACR
1121301690094; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1121301690078; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
1121301600028; TACRINAL; TACRINAL; NOT FOUND; 10 MG CAP CT 3 BL AL PLAST INC X 10; NO_ACR
1121301600052; TACRINAL; TACRINAL; NOT FOUND; 20 MG CAP CT 3 BL AL PLAST INC X 10; NO_ACR
1121301600087; TACRINAL; TACRINAL; NOT FOUND; 30 MG CAP CT 3 BL AL PLAST INC X 10; NO_ACR
1121301600117; TACRINAL; TACRINAL; NOT FOUND; 40 MG CAP CT 3 BL AL PLAST INC X 10; NO_ACR
1099800110019; TETRAGEL; TETRAGEL; NOT FOUND; 250MG CAPS. CX. C/ 50 BL X 10 CAPS.; NO_ACR
1099800110027; TETRAGEL; TETRAGEL; NOT FOUND; 500MG CAPS. CX. C/ 50 BL X 10 CAPS.; NO_ACR
1057700520030; TETRACINA; TETRACINA; NOT FOUND; 500 MG CAP GEL DURA CT STR X 100 ; NO_ACR
1057700520049; TETRACINA; TETRACINA; NOT FOUND; 500 MG CAP GEL DURA CT STR X 8; NO_ACR
3200060028; TETRACICLINA; TETRACICLINA; TETRACICLINA; CX.C/100 CAPS.; NO_ACR
1211700720034; TRICANGINE-A; TRICANGINE A; NOT FOUND; CREM VAG BG X 85 G + 15 APLIC DESC; NO_ACR
1211700720028; TRICANGINE-A; TRICANGINE A; NOT FOUND; OVL 3 STR X 5 + APLIC DESC; NO_ACR
1008100630036; THIAMINOSE; THIAMINOSE; NOT FOUND; SOL INJ CX 100 AMP X 10 ML; NO_ACR
1008100630010; THIAMINOSE; THIAMINOSE; NOT FOUND; SOL INJ CX 5 AMP X 10 ML; NO_ACR
1008100630028; THIAMINOSE; THIAMINOSE; NOT FOUND; SOL INJ CX 5 AMP X 20 ML; NO_ACR
1043400190013; TESTONUS; TESTONUS; NOT FOUND; COMP FR C/ 20; NO_ACR
1376400700012; TIPLAT; TIPLAT; NOT FOUND; 250 MG COM VER CX 1 BL X 20; NO_ACR
1007700240010; TERATOKHUMA; TERATOKHUMA; NOT FOUND; SOLUCAO 10 ML; NO_ACR
1211700280069; TRANSPULMIN; TRANSPULMIN; NOT FOUND; XPE FR PET X 150 ML + CP MED; NO_ACR
1211702010018; TRANSPULMIN; TRANSPULMIN; NOT FOUND; 6.667MG/ML XPE INF FR PLAS INC X 150ML + CP MED PP 15ML; NO_ACR
1211700280010; TRANSPULMIN; TRANSPULMIN; NOT FOUND; AEROSOL TB X 82 G; NO_ACR
1211700280037; TRANSPULMIN; TRANSPULMIN; NOT FOUND; BALSAMO BG X 20 G; NO_ACR
1211700280190; TRANSPULMIN; TRANSPULMIN; NOT FOUND; UNG 12 PT X 20 G; NO_ACR
1211700280158; TRANSPULMIN; TRANSPULMIN; NOT FOUND; UNG 50 SACH X 2 G; NO_ACR
1211700280045; TRANSPULMIN; TRANSPULMIN; NOT FOUND; SUP STR X 5; NO_ACR
1068901520017; TRIALGEX; TRIALGEX; NOT FOUND; 0.0444 ML/ G + 44 MG/ G + 20 MG/ G POM DERM CT BG AL X 20 G; NO_ACR
1090600750011; TRATALERG; TRATALERG; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 10; NO_ACR
1121303570010; TOBRAMICINA + DEXAMETASONA; TOBRAMICINA DEXAMETASONA; NOT FOUND; 0.3 PCC + 0.1 PCC SUS OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
1468200140027; TEKAFLEX; TEKAFLEX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
1517000120016; TERMOSIL - SOL.DIPIRONA A 50% 2ML; TERMOSIL SOL DIPIRONA A 50 2ML; NOT FOUND; CAIXA COM 100 UND; NO_ACR
1010702640010; TYKERB; TYKERB; NOT FOUND; 250 MG COM REV CT BL AL/AL X 70 (EMB HOSP); NO_ACR
1010702640029; TYKERB; TYKERB; NOT FOUND; 250 MG COM REV FR PLAS OPC X 70 (EMB HOSP); NO_ACR
1010703000015; TIVICAY; TIVICAY; NOT FOUND; 50MG COM REV FR PLAS OPAC X 30; NO_ACR
1010701450013; TIORFAN; TIORFAN; NOT FOUND; 100MG CAPS BL 9; NO_ACR
1257600210016; TRUVADA; TRUVADA; NOT FOUND; 200 MG + 300 MG COM REV FR PLAS OPC X 30; NO_ACR
1057600510011; TALCO ALIVIO; TALCO ALIVIO; NOT FOUND; TALQUEIRA C/ 100 G; NO_ACR
1081700620011; TRICLOSAN + ENXOFRE + ÓXIDO DE ZINCO; TRICLOSAN ENXOFRE OXIDO ZINCO; NOT FOUND; SAB CT FILM POLIPRO X 1 90G; NO_ACR
1026600490016; TALCOPE; TALCOPE; NOT FOUND; PO CT FR PLAS OPC X 100 G; NO_ACR
1274800250011; TROMAXIL; TROMAXIL; NOT FOUND; 1000 MG PO INJ CT 10 FA VD INC (EMB HOSP); NO_ACR
1211002280012; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG + 0.125 MG DRG CT BL AL PLAS INC X 28  ; NO_ACR
1211002280039; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG DRG X 14/1 MG + 0.250 MG DRG X 14 CT BL AL PLAS INC X 28; NO_ACR
1211002280055; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG + 0.125 MG DRG CT ENV BL AL PLAS INC X 28; NO_ACR
1211002280063; TOTELLE; TOTELLE; NOT FOUND; 1.0 MG DRG + 1.0 MG + 0.250 MG DRG CT ENV BL AL PLAS INC X 28; NO_ACR
1211000250020; TRINORDIOL; TRINORDIOL; NOT FOUND; (0.05MG + 0.03MG) DRG MARROM + (0.075MG + 0.04MG) DRG BRANCA + (0.125MG  + 0.03MG) DRG OCRE CT BL AL PLAS INC X 21; NO_ACR
1002000540015; TRIQUILAR; TRIQUILAR; NOT FOUND; 0.05 MG + 0.03 MG (DRAGEA A) + 0.075 MG + 0.04 MG(DRAGEA B) + 0.125 MG + 0.03 MG (DRAGEA C) CT BL AL PLAS INC CALEND X 21; NO_ACR
1002000540015; TRIQUILAR; TRIQUILAR; NOT FOUND; 0.05 MG + 0.03 MG (DRAGEA A) + 0.075 MG + 0.04 MG(DRAGEA B) + 0.125 MG + 0.03 MG (DRAGEA C) CT BL AL PLAS INC CALEND X 21; NO_ACR
1123633350010; TRINOVUM; TRINOVUM; NOT FOUND; 0.500 MG - COMP - BL - 21 COMP; NO_ACR
1126000610025; TRANDOR; TRANDOR; NOT FOUND; TRANDOR 200 MG - 1 CX. COM 10 COMPS.; NO_ACR
1011601600011; TARGUS LAT; TARGUS LAT; NOT FOUND; 40MG (0.3MG/CM2) ADES TRANS CT 2 SACH X 5 + BANDAG; NO_ACR
1010702480013; TELZIR; TELZIR; NOT FOUND; 700 MG COM REV FR PLAS OPC X 60; NO_ACR
1010702480021; TELZIR; TELZIR; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC X 225 ML + SER DOS; NO_ACR
1123633320022; TYLEX; TYLEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 12; NO_ACR
1123633320014; TYLEX; TYLEX; NOT FOUND; 500 MG + 7.5 MG COM CT BL AL PLAS INC X 12; NO_ACR
1123633320154; TYLEX; TYLEX; NOT FOUND; 500 MG + 30 MG COM CT BL AL PLAS INC X 24; NO_ACR
1123633320162; TYLEX; TYLEX; NOT FOUND; 500 MG + 30 MG COM CT  BL AL PLAS INC X 36; NO_ACR
1211700650013; TEOREMIN; TEOREMIN; NOT FOUND; CAP 2 BL X 9; NO_ACR
1011600360020; TROMBOFOB; TROMBOFOB; NOT FOUND; 200 UI /G GEL CT BG AL X 40G; NO_ACR
1011600360046; TROMBOFOB; TROMBOFOB; NOT FOUND; 50 UI / G + 2.067 MG/G POM DERM CT BG AL X 40; NO_ACR
1058200030016; TIRAZIA; TIRAZIA; NOT FOUND; 62 MG/ML CX FR VD AMB X 100 ML; NO_ACR
1015101110042; TETANOGAMMA; TETANOGAMMA; NOT FOUND; 250 UI/ML SOL INJ CT AMP VD INC X 1ML; NO_ACR
1015101110085; TETANOGAMMA; TETANOGAMMA; NOT FOUND; 250 UI/ML SOL INJ CT SER PREENC VD TRANS X 1 ML; NO_ACR
1015101110093; TETANOGAMMA; TETANOGAMMA; NOT FOUND; 250 UI/ML SOL INJ CT SER PREENC VD TRANS X 2 ML; NO_ACR
1047600320010; TAYUCAROBA; TAYUCAROBA; NOT FOUND; LIQ VD 200 ML; NO_ACR
isento; TINTURA DE IODO; TINTURA IODO; NOT FOUND; FRASCO DE PLASTICO COM 50ML; NO_ACR
isento; TINTURA DE IODO; TINTURA IODO; NOT FOUND; FRASCO DE PLASTICO COM 95ML; NO_ACR
ISENTO; TINTURA DE IODO; TINTURA IODO; NOT FOUND; VD C/30ML; NO_ACR
ISENTO; TINTURA DE IODO; TINTURA IODO; NOT FOUND; 1000ML.LIQ.FR.12 UN; NO_ACR
ISENTO; TINTURA DE IODO; TINTURA IODO; NOT FOUND; 30ML.LIQ. VD. 12 UN; NO_ACR
1206000010001; TINT DE IODO; TINT IODO; NOT FOUND; 20MG/ML SOL TOP CT FR VD AMB X 30ML TAMPA COM APLICADOR; NO_ACR
1206000010001; TINT DE IODO; TINT IODO; NOT FOUND; 20MG/ML SOL TOP CT FR VD AMB X 30ML TAMPA SEM APLICADOR; NO_ACR
1027001060039; TRACOZON; TRACOZON; NOT FOUND; 100 MG CX C/ 15 CAP; NO_ACR
1039404430059; TRANAZOL; TRANAZOL; NOT FOUND; 100 MG CAPS GEL MICROG CT 3 BL AL PLAST INC X 5; NO_ACR
1039404430016; TRANAZOL; TRANAZOL; NOT FOUND; 100 MG CAPS GEL MICROG CT BL AL PLAST INC X 4; NO_ACR
1861000020018; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 5 ; NO_ACR
1861000020026; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 10 ; NO_ACR
1861000020034; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 20; NO_ACR
1861000020042; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 25; NO_ACR
1861000020050; TOPERMA; TOPERMA; NOT FOUND; 5% EMPL CT ENV PE/AL X 30; NO_ACR
1002900320089; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.5% SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
1002900320119; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.25% SOL OFT CT FR PLAS OPC GOT OCUMETRO X 5 ML; NO_ACR
1002900320070; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.25% SOL OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
1002900320127; TIMOPTOL; TIMOPTOL; NOT FOUND; 0.5% SOL OFT CT FR PLAS OPC GOT OCUMETRO X 5 ML; NO_ACR
1057000180010; TOTAL-EX; TOTAL EX; NOT FOUND; CAIXA 6 COMP; NO_ACR
1235200090020; TRICOMIN (PIRANTRIX); TRICOMIN PIRANTRIX; NOT FOUND; 250 MG COMP CX C/ 20; NO_ACR
1211700940077; TIMASEN SR; TIMASEN SR; NOT FOUND; 50 MG CAP BL X 10; NO_ACR
