1055001100036; EXAVIR; EXAVIR; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1068901170083; ENTEROFIGON; ENTEROFIGON; NOT FOUND; FLACONETES 0.002G SOL ORAL CX 12 X 3 X 10ML; NO_ACR
1068900140053; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10)MG/ML SOL OR CX 60 FLAC X 10 ML ; NO_ACR
1068900140037; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10)MG/ML SOL OR CT FR VD AMB X 150 ML; NO_ACR
1068900140148; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10) MG/ ML SOL OR CX 60 FLAC X 10 ML; NO_ACR
1068900140156; ENTEROFIGON; ENTEROFIGON; NOT FOUND; 2MG + 10MG + 1OMG + 50MG + 1MG + 0.09ML SOL OR CX 24 FLAC X 10ML - SABOR ABACAXI.; NO_ACR
1228300150022; ESTOMAZIL; ESTOMAZIL; NOT FOUND; 50 ENV X 5 G; NO_ACR
1781700390010; ESTOMAZIL; ESTOMAZIL; NOT FOUND; (462 + 90 + 438) MG/G PO EFERV CT 50 ENV AL POLIET X 5 G (LARANJA); NO_ACR
1781700390037; ESTOMAZIL; ESTOMAZIL; NOT FOUND; 462 MG/G + 90 MG/G + 438 MG/G PO EFERV CT 50 ENV AL PE X 5 G (MORANGO); NO_ACR
1781700390029; ESTOMAZIL; ESTOMAZIL; NOT FOUND; 462 MG/G + 90 MG/G + 438 MG/G PO EFERV CT 50 ENV AL PE X 5 G (ABACAXI); NO_ACR
1017100960049; ESMERON; ESMERON; NOT FOUND; 10 MG/ML SOL INJ CT 12 FA VD INC X 2.5 ML; NO_ACR
1376401410018; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 07 ; NO_ACR
1376401410026; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 14; NO_ACR
1376401410034; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 28; NO_ACR
1376401410042; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 56; NO_ACR
1376401410050; ENABLEX; ENABLEX; NOT FOUND; 7.5 MG COM REV LIB PROL CT BL AL/AL X 98; NO_ACR
1376401410069; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 07; NO_ACR
1376401410077; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 14; NO_ACR
1376401410085; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 28; NO_ACR
1376401410093; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 56; NO_ACR
1376401410107; ENABLEX; ENABLEX; NOT FOUND; 15 MG COM REV LIB PROL CT BL AL/AL X 98; NO_ACR
1018320110018; ESCOPOLAMINA; ESCOPOLAMINA; ESCOPOLAMINA; CX. C/50 AMPOLAS X 1 ML; NO_ACR
1781700930031; ENGOV; ENGOV; NOT FOUND; 15 MG + 150 MG +150 MG + 50 MG COM DISP ENV AL POLIET X 150; NO_ACR
1228300370057; ENGOV; ENGOV; NOT FOUND; 25 ENV X 06 COMP; NO_ACR
1228300370022; ENGOV; ENGOV; NOT FOUND; 25 ENV X 04 COMP; NO_ACR
SI/NC; ENJOY; ENJOY; NOT FOUND; COMP CX C/ 100; NO_ACR
1092201160010; ENJOY; ENJOY; NOT FOUND; 150 MG + 150 MG+ 15 MG + 50 MG COM CT STR AL X 200; NO_ACR
1781700930074; ENGOV; ENGOV; NOT FOUND; 15 MG + 150 MG +150 MG + 50 MG COM CT ENV AL POLIET X 24; NO_ACR
1055000260018; EXELMIN; EXELMIN; NOT FOUND; 5 MG/ML + 13.33 MG/ML SUS OR CT FR VD AMB X 30 ML; NO_ACR
1055000260026; EXELMIN; EXELMIN; NOT FOUND; 75 MG + 200 MG COM CT BL AL PLAS INC X 6; NO_ACR
1010702750010; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST LAM AL/PAP X 8; NO_ACR
1010702750053; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST CT PLAS LAM AL/PAP X 96 ; NO_ACR
1010702750126; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST CX 6 FR PLAS X 48; NO_ACR
1010702750101; ENO TABS FRUTAS SORTIDAS; ENO TABS FRUTAS SORTIDAS; NOT FOUND; 750 MG COM MAST FR PLAS X 48; NO_ACR
1781700940010; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - ABACAXI; NO_ACR
1781700940045; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - FRAMBOESA; NO_ACR
1781700940071; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - LIMAO; NO_ACR
1781700940134; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - MENTA; NO_ACR
1781700940101; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 20 - TANGERINA; NO_ACR
1781700940037; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - ABACAXI; NO_ACR
1781700940061; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - FRAMBOESA; NO_ACR
1781700940096; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - LIMAO; NO_ACR
1781700940150; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - MENTA; NO_ACR
1781700940126; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 250 (EMB MULT) - TANGERINA; NO_ACR
1781700940029; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - ABACAXI; NO_ACR
1781700940053; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - FRAMBOESA; NO_ACR
1781700940088; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - LIMAO; NO_ACR
1781700940142; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - MENTA; NO_ACR
1781700940118; ESTOMAZIL PASTILHAS; ESTOMAZIL PASTILHAS; NOT FOUND; 230 MG + 185 MG + 185 MG COM MAST CT BL AL PLAS INC X 40 - TANGERINA; NO_ACR
1039404710019; ESSEN; ESSEN; NOT FOUND; CAPS GEL CT STR X 16; NO_ACR
1155700330010; ENERGICLIN; ENERGICLIN; NOT FOUND; (400 + 150 + 1.5 + 1.7 + 2 + 6 + 65 + 10 + 20 + 60) MG COM REV CT ENV AL POLIET X 30 ; NO_ACR
1294000210011; ENERGIFLEX; ENERGIFLEX; NOT FOUND; COM REV CT FR PLAS OPC X 30; NO_ACR
1039400930049; EXIT; EXIT; NOT FOUND; 200 MG + 12.50 MG SOL OR CT FR PLAST OPC GOT X 30; NO_ACR
1039400930065; EXIT; EXIT; NOT FOUND; 400 MG + 25 MG COMP REV CT 2 BL AL PLAST INC X 10; NO_ACR
1068900140161; ENTEROFIGON; ENTEROFIGON; NOT FOUND; (50 + 10)MG/ML SOL OR CT FR VD AMB X 150 ML (ABACAXI); NO_ACR
1057700650010; EXPECTIL; EXPECTIL; NOT FOUND; 2.4 MG/ML + 24 MG/ML + 10 MG/ML + 3 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
1211001060078; ERANZ; ERANZ; NOT FOUND; 10MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1211001060061; ERANZ; ERANZ; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 28 ; NO_ACR
1211001060094; ERANZ; ERANZ; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
1045400090015; EUFERMEN; EUFERMEN; NOT FOUND; CAPSULAS - CAIXA COM 2 BLISTERS X 10; NO_ACR
1039400370051; EUFOR; EUFOR; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1039400370043; EUFOR; EUFOR; NOT FOUND; 20 MG COMP REV CT BL AL PLAST INC X 14 (PORT. 344/; NO_ACR
1468200250019; EMTAZ; EMTAZ; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC X 10 ML  ; NO_ACR
1468200250027; EMTAZ; EMTAZ; NOT FOUND; 1G PO LIOF INJ CT FA VD INC X 50 ML ; NO_ACR
1547100070012; EMTAZ; EMTAZ; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC X 10 ML; NO_ACR
1547100070020; EMTAZ; EMTAZ; NOT FOUND; 1G PO LIOF INJ CT FA VD INC X 50 ML; NO_ACR
1092201720016; ENTEROCLER; ENTEROCLER; NOT FOUND; 262 MG/15 ML CT FR VD AMB X 150 ML; NO_ACR
SI/NC; ENTEROCLER; ENTEROCLER; NOT FOUND; 2 MG COMP CX C/ 10; NO_ACR
SI/NC; ENTEROCLER; ENTEROCLER; NOT FOUND; 2 MG COMP CX C/ 180; NO_ACR
1039401020097; EUCIL; EUCIL; NOT FOUND; 5 MG/ML SOL INJ CT 3 AMP VD AMB X 2 ML; NO_ACR
1039401020070; EUCIL; EUCIL; NOT FOUND; 5 MG/ML SOL INJ CX 100 AMP VD AMB X 2 ML; NO_ACR
1039401020046; EUCIL; EUCIL; NOT FOUND; 1 MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
1039401020040; EUCIL; EUCIL; NOT FOUND; 10 MG/ML SOL OR AD CT FR VD AMB X 10 ML + CGT; NO_ACR
1039401020067; EUCIL; EUCIL; NOT FOUND; 4 MG/ML SOL OR PED CT FR VD AMB X 10 ML + CGT; NO_ACR
1039401020113; EUCIL; EUCIL; NOT FOUND; 10 MG SUP RET AD CT BL PLAS X 5; NO_ACR
1039401020130; EUCIL; EUCIL; NOT FOUND; 5 MG SUP RET PED CT BL PLAS  X 5; NO_ACR
1039401020016; EUCIL; EUCIL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; NO_ACR
1028500300046; EMETROL; EMETROL; NOT FOUND; 10MG ADU. CX. FR. GTS. 10ML; NO_ACR
SI/NC; EMETROL; EMETROL; NOT FOUND; 4MG INF. CX. FR. GTS. 10ML; NO_ACR
1028500300020; EMETROL; EMETROL; NOT FOUND; CX. STRIP C/ 20 COMP.; NO_ACR
1126001830010; EFFIENT; EFFIENT; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; NO_ACR
1126001830037; EFFIENT; EFFIENT; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NO_ACR
1126001830045; EFFIENT; EFFIENT; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
1045401780010; EFFIENT; EFFIENT; NOT FOUND; 5 MG COM REV CT BL AL/AL X 14; NO_ACR
1045401780037; EFFIENT; EFFIENT; NOT FOUND; 10 MG COM REV CT BL AL/AL X 14; NO_ACR
1045401780045; EFFIENT; EFFIENT; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
1126000700016; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1126000700024; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT 2 BL AL PLAS INC X 14 ; NO_ACR
1126000700040; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
1126000700059; EVISTA; EVISTA; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1039402020015; ELEPRIL; ELEPRIL; NOT FOUND; 5 MG COMP REV CT BL AL PLAST AMB X 20 (PORT. 344/9; NO_ACR
1081700170010; EXTRATO HEPÁTICO VITAMINADO; EXTRATO HEPATICO VITAMINADO; NOT FOUND; SOL ORAL FR PLAS OPC CT X 30ML; NO_ACR
1211000740032; EFEXOR; EFEXOR; NOT FOUND; CARTUCHO COM 2 BLISTER COM 15 COMPRIMIDOS DE 50 MG; NO_ACR
1211000740067; EFEXOR; EFEXOR; NOT FOUND; CARTUCHO COM 2 BLISTERS COM 14 COMPRIMIDOS DE 37.5; NO_ACR
1211000740083; EFEXOR; EFEXOR; NOT FOUND; CARTUCHO COM 2 BLISTERS COM 14 COMPRIMIDOS DE 75 M; NO_ACR
1211000740059; EFEXOR; EFEXOR; NOT FOUND; CARTUCHO COM BLISTER COM 14 COMPRIMIDOS DE 37.5 MG; NO_ACR
1211000740075; EFEXOR; EFEXOR; NOT FOUND; CARTUCHO COM BLISTER COM 14 COMPRIMIDOS DE 75 MG; NO_ACR
1211000740105; EFEXOR XR; EFEXOR XR; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAST INC X 14; NO_ACR
1211000740091; EFEXOR XR; EFEXOR XR; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAST INC X 14; NO_ACR
1211000740172; EFEXOR XR; EFEXOR XR; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL PLAST INC X 7; NO_ACR
1211000740180; EFEXOR XR; EFEXOR XR; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL PLAST INC X 14; NO_ACR
1211000740164; EFEXOR XR; EFEXOR XR; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAST INC X 7; NO_ACR
1211000740156; EFEXOR XR; EFEXOR XR; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAST INC X 7; NO_ACR
1211000740245; EFEXOR XR; EFEXOR XR; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1211000740229; EFEXOR XR; EFEXOR XR; NOT FOUND; 37.5 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1211000740237; EFEXOR XR; EFEXOR XR; NOT FOUND; 75 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1057700710020; EUCALIPTAN; EUCALIPTAN; NOT FOUND; CX 100 AMP; NO_ACR
1039401880037; ELUM; ELUM; NOT FOUND; 1 MG COM CT BL AL PLAST INC X 20 (PORT. 344/98 - L. B1); NO_ACR
1039401880045; ELUM; ELUM; NOT FOUND; 2 MG COM CT BL AL PLAST INC X 20 (PORT. 344/98 - L. B1); NO_ACR
1781700430012; ELUM; ELUM; NOT FOUND; 1 MG COM CT BL AL PLAST INC X 20 (PORT. 344/98 - L. B1); NO_ACR
1781700430020; ELUM; ELUM; NOT FOUND; 2 MG COM CT BL AL PLAST INC X 20 (PORT. 344/98 - L. B1); NO_ACR
1039400320021; ENZICOBA; ENZICOBA; NOT FOUND; 1 MG COM MAST CT 2 BL AL PLAS AMB X 20; NO_ACR
1039400320011; ENZICOBA; ENZICOBA; NOT FOUND; 1 MG COM MAST CT BL AL PLAS AMB X 12 ; NO_ACR
1039400320038; ENZICOBA; ENZICOBA; NOT FOUND; 5 MG COM MAST CT BL AL PLAS AMB X 20   ; NO_ACR
1010700700369; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 200 ML-LARANJA; NO_ACR
1010700700253; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 200 ML-MORANGO; NO_ACR
1010700700342; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 200 ML-REGULAR; NO_ACR
1010700700377; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 400 ML-LARANJA; NO_ACR
1010700700245; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 400 ML-MORANGO; NO_ACR
1010700700350; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; SOL FR X 400 ML-REGULAR; NO_ACR
1010700700083; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; LIQ FR 170ML-LARANJA; NO_ACR
1010700700091; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; LIQ FR 390ML-LARANJA; NO_ACR
1010700700105; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; LIQ FR 170ML-MORANGO; NO_ACR
1010700700113; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; LIQ FR 390ML-MORANGO; NO_ACR
1010700700075; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; LIQ FR 170ML-REGULAR; NO_ACR
1010700700067; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; LIQ FR 390ML-REGULAR; NO_ACR
1010700700385; EMULSÃO SCOTT; EMULSAO SCOTT; NOT FOUND; EMU OR CX FR PLAS OPC X 200 ML CEREJA EXPORT; NO_ACR
1051100020002; ESSENCIA MINERVA; ESSENCIA MINERVA; NOT FOUND; FRASCOS COM 30 ML; NO_ACR
1781700090017; ESCABIN; ESCABIN; NOT FOUND; 0.2 MG/ML LOC CT FR PLAS OPC X 100 ML; NO_ACR
1781700090041; ESCABIN; ESCABIN; NOT FOUND; 0.2 MG/ML SHAMP CT FR PLAS OPC X 100 ML; NO_ACR
1228300930011; ESCABIN; ESCABIN; NOT FOUND; 0.02 G LOC CT FR PLAS OPC X 100 ML; NO_ACR
1228300930036; ESCABIN; ESCABIN; NOT FOUND; 0.03 G SAB CT UND SACO PLAS X 70 G; NO_ACR
1228300930028; ESCABIN; ESCABIN; NOT FOUND; 20 MG SHAMP CT FR PLAS OPC X 100 ML; NO_ACR
1155700510027; ESCABRON; ESCABRON; NOT FOUND; 0.20 MG/ML LOC CT FR PLAS OPC X 100 ML; NO_ACR
1155700510019; ESCABRON; ESCABRON; NOT FOUND; 0.3 MG/G SAB CT FILME POLIP X 60 G; NO_ACR
1155700510043; ESCABRON; ESCABRON; NOT FOUND; 0.20 MG/ML XAMP CT FR PLAS OPC X 100 ML; NO_ACR
1155700510035; ESCABRON; ESCABRON; NOT FOUND; 0.083 MG/G CREM DERM CT BG AL X 60 G; NO_ACR
1171700320041; ENTEROFTAL; ENTEROFTAL; NOT FOUND; 75 MG / ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
1171700320017; ENTEROFTAL; ENTEROFTAL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; NO_ACR
1028500350027; ESPASMACID; ESPASMACID; NOT FOUND; CX. FR. VD. SUSP. 250ML; NO_ACR
1028500350019; ESPASMACID; ESPASMACID; NOT FOUND; CX. STRIP C/ 30 COMP.; NO_ACR
124250003003; ERD DIPIRONA SÓDICA; ERD DIPIRONA SODICA; NOT FOUND; 500MG/ML. SOL OR CT FR PLAS OPC GOT X 20ML; NO_ACR
124250003002; ERD DIPIRONA SÓDICA; ERD DIPIRONA SODICA; NOT FOUND; 500MG/ML. SOL OR CR FR PLAS OPS GOT X 10ML; NO_ACR
124250003001; ERD DIPIRONA SÓDICA; ERD DIPIRONA SODICA; NOT FOUND; 500MG COM CX 4 BL AL PLAS X 50; NO_ACR
1106301260010; EFAVIRENZ; EFAVIRENZ; EFAVIRENZ; 600MG COM REV CX 35 FR PLAS OPC X 30 (EMB HOSP); NO_ACR
1103901670010; ENTACAPONA; ENTACAPONA; ENTACAPONA; 200 MG COM REV CT BL AL PLAS OPC X 30 (EMB HOSP) ; NO_ACR
1103901670029; ENTACAPONA; ENTACAPONA; ENTACAPONA; 200 MG COM REV CT BL AL PLAS OPC X 500 (EMB HOSP); NO_ACR
108170033; ENXOFRE; ENXOFRE; ENXOFRE; SAB CT FILM POLIPRO X 1 90G; NO_ACR
9999999999999; ENXOFRE; ENXOFRE; ENXOFRE; PO CT PT PLAS X 60G; NO_ACR
ISENTO; ENXOFRE; ENXOFRE; ENXOFRE; CX C/20G; NO_ACR
1027000230046; EFRINALIN; EFRINALIN; NOT FOUND; 1 MG/ML SOL INJ CX 100 AMP VD AMB X 1 ML; NO_ACR
1040700020028; EPINEFRINA; EPINEFRINA; EPINEFRINA; 1 MG/ML/AMP - CX C/ 50 AMP C/1ML; NO_ACR
1211701120030; ERDOTIN; ERDOTIN; NOT FOUND; 225 MG GRAN 20 ENV X 4.425 G; NO_ACR
1211701120057; ERDOTIN; ERDOTIN; NOT FOUND; 70 MG/G GRAN FR X 50 G; NO_ACR
1211701120065; ERDOTIN; ERDOTIN; NOT FOUND; 70 MG/G GRAN FR X 25 G; NO_ACR
1211701120022; ERDOTIN; ERDOTIN; NOT FOUND; CAP 2 BL X 10; NO_ACR
1040700240031; ERITROMICINA; ERITROMICINA; ERITROMICINA; 2.5 % /FR - CX C/50 FR C/60ML; NO_ACR
1018300950010; ERITROMICINA; ERITROMICINA; ERITROMICINA; CX. C/50 FRASCOS X 60 ML; NO_ACR
110500100024; ERITROMICINA; ERITROMICINA; ERITROMICINA; CX 50 FR 60 ML SUSP; NO_ACR
1040700240021; ERITROMICINA; ERITROMICINA; ERITROMICINA; 250 MG/COMP/ENV - 10COMP / CX C/ 50 ENV; NO_ACR
1155700130016; ERITRIN; ERITRIN; NOT FOUND; SUSPENSAO 250MG FR. C/ 120ML; NO_ACR
1155700130038; ERITRIN; ERITRIN; NOT FOUND; COMPR. 500MG C/ 24; NO_ACR
1468200270011; ESOMEPRAZOL SODICO; ESOMEPRAZOL SODICO; ESOMEPRAZOL SODICO; 40 MG PO LIOF SOL INJ CT FA VD TRANS; NO_ACR
1468200270028; ESOMEPRAZOL SODICO; ESOMEPRAZOL SODICO; ESOMEPRAZOL SODICO; 40 MG PO LIOF SOL INJ CT 10 FA VD TRANS ; NO_ACR
1103901850061; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT  BL AL PLAS TRANS X 15  ; NO_ACR
