1064601560029; INNOSFEN; INNOSFEN; NOT FOUND; 1.0 MCG CAP GEL MOLE CT BL PLAS AMB X 30; NO_ACR
1517000080049; ISOFARMA - SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML ; NO_ACR
1517000080057; ISOFARMA - SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML ; NO_ACR
1517000080030; ISOFARMA - SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 50 AMP PLAS INC X 10 ML ; NO_ACR
1517000080073; ISOFARMA - SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 120 AMP PLAS INC X 10 ML; NO_ACR
1517000080065; ISOFARMA - SOLUÇÃO DE CLORETO DE POTÁSSIO; ISOFARMA SOLUCAO CLORETO POTASSIO; NOT FOUND; 191 MG/ML SOL INJ IV CX 120 AMP PLAS INC X 10 ML ; NO_ACR
1517000060013; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML; NO_ACR
1517000060021; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
1517000040012; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO 10%; ISOFARMA SOLUCAO CLORETO SODIO 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML ; NO_ACR
1517000040020; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO 10%; ISOFARMA SOLUCAO CLORETO SODIO 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
1517000020011; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML; NO_ACR
1517000020021; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
1517000040081; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 50 AMP PLAS INC X 20 ML; NO_ACR
1517000040111; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 20 ML; NO_ACR
1517000040128; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 20 ML; NO_ACR
1517000040101; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 100 MG/ML SOL INJ IV CX 50 AMP PLAS INC X 20 ML; NO_ACR
1517000040144; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 20 ML; NO_ACR
1517000040152; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 20 ML; NO_ACR
1517000040136; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 50 AMP PLAS INC X 20 ML; NO_ACR
1517000040071; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 20 ML; NO_ACR
1517000040098; ISOFARMA-SOLUÇÃO DE CLORETO DE SÓDIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 20 ML; NO_ACR
1517000040160; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS INC SIST FECH X 50 ML ; NO_ACR
1517000040179; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS INC SIST FECH X 100 ML; NO_ACR
1517000040209; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS INC SIST FECH X 1000 ML; NO_ACR
1517000040187; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS INC SIST FECH X 250 ML; NO_ACR
1517000040195; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX BOLS PLAS INC SIST FECH X 500 ML; NO_ACR
1517000040055; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML; NO_ACR
1517000040063; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 9 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
1517000040039; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML; NO_ACR
1517000040047; ISOFARMA-SOLUÇÃO DE CLORETO DE SODIO; ISOFARMA SOLUCAO CLORETO SODIO; NOT FOUND; 200 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML ; NO_ACR
1517000230016; ISOFARMA - SOLUÇÃO GLICOFISIOLÓGICA (GLICOSE 5% + CLORETO DE SÓDIO 0,9%); ISOFARMA SOLUCAO GLICOFISIOLOGICA GLICOSE 5 CLORETO SODIO 0 9; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX BOLS PLAS INC X 250 SIST FECH; NO_ACR
1517000230024; ISOFARMA - SOLUÇÃO GLICOFISIOLÓGICA (GLICOSE 5% + CLORETO DE SÓDIO 0,9%); ISOFARMA SOLUCAO GLICOFISIOLOGICA GLICOSE 5 CLORETO SODIO 0 9; NOT FOUND; 50 MG/ML + 9 MG/ML SOL INJ IV CX BOLS PLAS INC X 500 SIST FECH; NO_ACR
1121302970309; INFUKOLL; INFUKOLL; NOT FOUND; 10 PCC + 0.9 PCC SOL INJ CX 10 BOLSA PLAS FLEX X 500 ML; NO_ACR
1121302970147; INFUKOLL; INFUKOLL; NOT FOUND; 6 PCC + 0.9 PCC SOL INJ CX 10 BOLSA PLAS FLEX X 500 ML; NO_ACR
1088403280027; IQUEGO - CLORIDRATO DE CLORPROMAZINA; IQUEGO CLORIDRATO CLORPROMAZINA; NOT FOUND; 100 MG COM CT 20 ENV AL POLIET X 10; NO_ACR
1088403030012; IQUEGO - IMIPRAMINA; IQUEGO IMIPRAMINA; NOT FOUND; 25 MG COM REV CX 20 ENV AL+ POLIET X 10; NO_ACR
1514300050019; IRNOCAM; IRNOCAM; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML ; NO_ACR
1514300050027; IRNOCAM; IRNOCAM; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML ; NO_ACR
1123600150098; IMOSEC; IMOSEC; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 12; NO_ACR
1123600150101; IMOSEC; IMOSEC; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 200; NO_ACR
1123600380018; IMODIUM PLUS; IMODIUM PLUS; NOT FOUND; 2MG - COMP - BL - 6 COMP; NO_ACR
1088403250012; IQUEGO -  MEFLOQUINA; IQUEGO MEFLOQUINA; NOT FOUND; 250 MG COM REV FR VD AMB X 100; NO_ACR
1088403050013; IQUEGO - MINOCICLINA; IQUEGO MINOCICLINA; NOT FOUND; 100 MG COM REV CX 50 ENV AL POLIET X 10 (EMB. HOSP.); NO_ACR
1088403720019; IQUEGO - PROPRANOLOL; IQUEGO PROPRANOLOL; NOT FOUND; 40 MG COM CX 25 BL AL PLAS LAR X 20; NO_ACR
1088403090015; IQUEGO - RANITIDINA; IQUEGO RANITIDINA; NOT FOUND; 150 MG COM REV CX ENV AL POLIET X 500 (EMB. HOSP.); NO_ACR
1088402980017; IQUEGO - CLORPROPAMIDA; IQUEGO CLORPROPAMIDA; NOT FOUND; 250 MG/COMP/ENV KRAFT POLI - 10 COMP/CX - 50 ENV; NO_ACR
1011601570074; IRUXOL; IRUXOL; NOT FOUND; 1.2U/G POM DERM CT BG AL X 30G + ESPATULA; NO_ACR
1011601570066; IRUXOL; IRUXOL; NOT FOUND; 1.2U/G POM DERM CT BG AL X 15G + ESPATULA; NO_ACR
1214300020016; INALADOR VICK; INALADOR VICK; NOT FOUND; 415 MG/G - 415 MG/G. INALANTE. TB. 0.5G.; NO_ACR
1088403230011; IQUEGO - DIAZEPAM; IQUEGO DIAZEPAM; NOT FOUND; 10 MG COM CT CX 20 ENV AL KRAFT POLIET X 10; NO_ACR
1013100510032; INFLAREN; INFLAREN; NOT FOUND; 75 MG INJ CX 5 AMP 3 ML; NO_ACR
1013100510074; INFLAREN; INFLAREN; NOT FOUND; 75 MG INJ CX 50 AMP 3 ML; NO_ACR
1013100610088; INFLAREN K; INFLAREN K; NOT FOUND; 75 MG INJ CX 3 AMP 3 ML; NO_ACR
1013100510024; INFLAREN; INFLAREN; NOT FOUND; 50 MG SUPOSIT CX COM 5; NO_ACR
1013100510058; INFLAREN; INFLAREN; NOT FOUND; 50 MG COMP REV CX COM 20; NO_ACR
1013100610010; INFLAREN K; INFLAREN K; NOT FOUND; 50 MG COMP REV CX COM 20; NO_ACR
1013100510082; INFLAREN RETARD; INFLAREN RETARD; NOT FOUND; 100 MG CAPS CX COM 10; NO_ACR
1088403150018; IQUEGO - DIDANOSINA; IQUEGO DIDANOSINA; NOT FOUND; 100 MG COM MAST CX FR VD AMB X 60; NO_ACR
1088403150050; IQUEGO - DIDANOSINA; IQUEGO DIDANOSINA; NOT FOUND; 25 MG COM MAST CX FR VD AMB X 60; NO_ACR
1211700150040; ISOCORD; ISOCORD; NOT FOUND; 30 CAPS; NO_ACR
1211700150032; ISOCORD; ISOCORD; NOT FOUND; 40 MG CAP GEL MICROG CT 3 BL AL PLAS INC X 10; NO_ACR
1211700150024; ISOCORD; ISOCORD; NOT FOUND; 60 COMP SUBLINGUAL 5 MG; NO_ACR
1088403240017; IQUEGO - DIPIRONA; IQUEGO DIPIRONA; NOT FOUND; 500 MG/ML SOL OR CX 50 FR PLAS OPC GOT X 10 ML; NO_ACR
1088403240033; IQUEGO - DIPIRONA; IQUEGO DIPIRONA; NOT FOUND; 500 MG COM CX 50 ENV AL POLIET X 10; NO_ACR
1088403040018; IQUEGO - DOXICICLINA; IQUEGO DOXICICLINA; NOT FOUND; 100 MG COM REV CX 40 BL AL PLAS AMB X 15 (EMB HOSP); NO_ACR
1126000580019; ILOSONE; ILOSONE; NOT FOUND; ILOSONE GOTAS 100 MG - 1 FRASCO COM 15ML; NO_ACR
1126000580096; ILOSONE; ILOSONE; NOT FOUND; ILOSONE 125 MG - 1 FRASCO COM 100ML; NO_ACR
1126000580126; ILOSONE; ILOSONE; NOT FOUND; ILOSONE 250 MG - 1 FRASCO COM 100ML; NO_ACR
1126000580177; ILOSONE; ILOSONE; NOT FOUND; ILOSONE TOP. SOL. 1 FRASCO COM 120ML; NO_ACR
1126000580010; ILOSONE; ILOSONE; NOT FOUND; ILOSONE 250 MG - 1 CX. COM 20 CAPS.; NO_ACR
1126000580045; ILOSONE; ILOSONE; NOT FOUND; ILOSONE 500 MG - 1 CX. COM 10 CAPS.; NO_ACR
1126000580061; ILOSONE; ILOSONE; NOT FOUND; ILOSONE 500 MG - 1 CX. COM 48 CAPS.; NO_ACR
1002900340012; INVANZ; INVANZ; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC X 20 ML; NO_ACR
1088403520028; IQUEGO - ESTAVUDINA; IQUEGO ESTAVUDINA; NOT FOUND; 40 MG CAP GEL DURA CX 50 FR PLAS OPC X 60 (EMB HOSP); NO_ACR
1088402950029; IQUEGO- ERITROMICINA; IQUEGO ERITROMICINA; NOT FOUND; 250 MG COM REV CX 50 ENV AL POLIET X 10; NO_ACR
1088400030046; IQUEGO - ETAMBUTOL; IQUEGO ETAMBUTOL; NOT FOUND; 2.5 % XPE CX 50 FR VD AMB X 200 ML; NO_ACR
1088400030011; IQUEGO - ETAMBUTOL; IQUEGO ETAMBUTOL; NOT FOUND; 400 MG COM REV CX 50 ENV AL POLIET X 10; NO_ACR
1088400020016; IQUEGO - ETIONAMIDA; IQUEGO ETIONAMIDA; NOT FOUND; 250 MG COM REV CX 10 FR VD AMB X 100; NO_ACR
1017100880010; IMPLANON; IMPLANON; NOT FOUND; 68 MG IMPLANTE CT 1 SERINGA  C/ 1 IMPLANTE; NO_ACR
1123633910016; INTELENCE; INTELENCE; NOT FOUND; 100 MG COM CT FR PLAS OPC X 120; NO_ACR
1123633910024; INTELENCE; INTELENCE; NOT FOUND; 200 MG COM CT FR PLAS OPC X 60; NO_ACR
1088403110016; IQUEGO - FUROSEMIDA; IQUEGO FUROSEMIDA; NOT FOUND; 40 MG COM CX ENV AL POLIET X 500 (EMB HOSP); NO_ACR
1088403070014; IQUEGO - GLIBENCLAMIDA; IQUEGO GLIBENCLAMIDA; NOT FOUND; 5 MG COM CX 50 ENV KRAFT X 10; NO_ACR
1517000200036; ISOFARMA - SOLUÇÃO DE GLICONATO DE CÁLCIO 10%; ISOFARMA SOLUCAO GLICONATO CALCIO 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 200 AMP POLIET INC X 10 ML; NO_ACR
1517000200028; ISOFARMA - SOLUÇÃO DE GLICONATO DE CÁLCIO 10%; ISOFARMA SOLUCAO GLICONATO CALCIO 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 100 AMP POLIET INC X 10 ML; NO_ACR
1517000200011; ISOFARMA - SOLUÇÃO DE GLICONATO DE CÁLCIO 10%; ISOFARMA SOLUCAO GLICONATO CALCIO 10; NOT FOUND; 100 MG/ML SOL INJ IV CX 50 AMP POLIET INC X 10 ML; NO_ACR
1517000050018; ISOFARMA - SOLUÇÃO DE GLICOSE 25%; ISOFARMA SOLUCAO GLICOSE 25; NOT FOUND; 250 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML; NO_ACR
1517000050026; ISOFARMA - SOLUÇÃO DE GLICOSE 25%; ISOFARMA SOLUCAO GLICOSE 25; NOT FOUND; 250 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
1517000010016; ISOFARMA - SOLUÇÃO DE GLICOSE 50%; ISOFARMA SOLUCAO GLICOSE 50; NOT FOUND; 500 MG/ML SOL INJ IV CX 100 AMP PLAS INC X 10 ML; NO_ACR
1517000010024; ISOFARMA - SOLUÇÃO DE GLICOSE 50%; ISOFARMA SOLUCAO GLICOSE 50; NOT FOUND; 500 MG/ML SOL INJ IV CX 200 AMP PLAS INC X 10 ML; NO_ACR
1517000050034; ISOFARMA - SOLUÇÃO DE GLICOSE 25%; ISOFARMA SOLUCAO GLICOSE 25; NOT FOUND; 25% SOL INJ CX 100 AMP PLAS INC X 20 ML ( EMB HOSP); NO_ACR
1517000050042; ISOFARMA - SOLUÇÃO DE GLICOSE 25%; ISOFARMA SOLUCAO GLICOSE 25; NOT FOUND; 25% SOL INJ CX 200 AMP PLAS INC X 20 ML ( EMB HOSP); NO_ACR
1517000010113; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 250 MG/ML SOL INJ IV CX 200 AMP PLAS INC PE X 20 ML; NO_ACR
1517000010156; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 50 ML; NO_ACR
1517000010164; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 100ML; NO_ACR
1517000010172; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 250ML; NO_ACR
1517000010180; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500ML; NO_ACR
1517000010199; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 50 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000ML; NO_ACR
1517000010210; ISOFARMA - SOLUÇÃO DE GLICOSE; ISOFARMA SOLUCAO GLICOSE; NOT FOUND; 100 MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 500ML; NO_ACR
