1065500260022; OTODOL; OTODOL; NOT FOUND; SOL. FR X 8ML; NO_ACR
1026900230036; OSCÁLCIO COLOIDAL; OSCALCIO COLOIDAL; NOT FOUND; FR COM 150 ML; NO_ACR
1121302050021; OSTEOCALCIC; OSTEOCALCIC; NOT FOUND; 200 MG COM CT FR PLAS OPC X 30; NO_ACR
1121302050013; OSTEOCALCIC; OSTEOCALCIC; NOT FOUND; 200 MG COM CT FR PLAS OPC X 60; NO_ACR
1026900530013; ORALDRAX; ORALDRAX; NOT FOUND; SOL ORAL CT FR VD INC X 400 ML; NO_ACR
1014701180019; OTO-BIOTIC; OTO BIOTIC; NOT FOUND; FCO 10 ML; NO_ACR
1014701390013; OTOFENICOL-D; OTOFENICOL D; NOT FOUND; GTS FR 10ML PLAST; NO_ACR
1017101810016; ONICIT; ONICIT; NOT FOUND; 0.05 MG/ML SOL INJ CT FA VD INC X 1.5 ML; NO_ACR
1017101810024; ONICIT; ONICIT; NOT FOUND; 0.05 MG/ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
1661400070011; ONICIT; ONICIT; NOT FOUND; 0.05 MG/ML SOL INJ CT 1 FA VD INC X 5 ML; NO_ACR
1211700370052; OSSOPAN; OSSOPAN; NOT FOUND; 100 MG GRAN CT FR PLAS OPC X 100 G; NO_ACR
1211700370036; OSSOPAN; OSSOPAN; NOT FOUND; 200 MG DRG CT FR VD INC X 30; NO_ACR
1211700710047; OSSOPAN; OSSOPAN; NOT FOUND; 800 MG COM REV CT FR VD AMB X 30; NO_ACR
1064800120031; OLEO ELETRICO; OLEO ELETRICO; NOT FOUND; FR VD AMB X 80 ML; NO_ACR
1017100300019; OVESTRION; OVESTRION; NOT FOUND; 1 MG/G CREM VAG CT BG AL X 50G + APLIC; NO_ACR
1017100300058; OVESTRION; OVESTRION; NOT FOUND; 1 MG/G CREM CT BG AL X 15 + APLICADOR; NO_ACR
1017100300081; OVESTRION; OVESTRION; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; NO_ACR
1017100300091; OVESTRION; OVESTRION; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
1017100860011; OVORESTA; OVORESTA; NOT FOUND; 0.75 MG + 0.0375MG COM CT BL AL PLAS INC X 22; NO_ACR
1028500150010; OTOCORT; OTOCORT; NOT FOUND; SOL.OTOLOGICA CX. FR. 3.5ML; NO_ACR
1092200420013; OTOLONE; OTOLONE; NOT FOUND; 11000 UI + 3.85 MG + 0.275 MG SOL OTOL CT FR PLAS OPC GOT X 5 ML; NO_ACR
1039405170018; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG/ ML SOL INJ CT FA VD INC X 10 ML ; NO_ACR
1039405170034; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG/ ML SOL INJ CT FA VD INC X 20 ML ; NO_ACR
1039405170026; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG/ ML SOL INJ CT FA VD INC X 15 ML ; NO_ACR
1839600030026; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG / ML SOL INJ CT FA VC INC X 15 ML  ; NO_ACR
1839600030018; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG / ML SOL INJ CT FA VC INC X 10 ML ; NO_ACR
1839600030034; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG / ML SOL INJ CT FA VC INC X 20 ML  ; NO_ACR
1139800250084; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 30 ML; NO_ACR
1139800250041; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10 FA VD INC X  20  ML; NO_ACR
1139800250068; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 15 ML; NO_ACR
1139800250076; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 20 ML; NO_ACR
1139800250025; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10 FA VD INC X 10 ML; NO_ACR
1139800250033; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10 FA VD INC X 15 ML; NO_ACR
1139800250051; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 10 ML; NO_ACR
1139800250017; OPTIMARK; OPTIMARK; NOT FOUND; 330.0 MG/ML SOL INJ CT 10 FA VD INC X 5 ML; NO_ACR
1942700020061; OLTANA H; OLTANA H; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL/AL AL/AL X 15; NO_ACR
1942700020053; OLTANA H; OLTANA H; NOT FOUND; 20 MG + 12.5 MG COM REV CT BL/AL AL/AL X 30 ; NO_ACR
1942700020045; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL/AL AL/AL X 15; NO_ACR
1942700020037; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 12.5 MG COM REV CT BL/AL AL/AL X 30; NO_ACR
1942700020029; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 25 MG COM REV CT BL/AL AL/AL X 15; NO_ACR
1942700020010; OLTANA H; OLTANA H; NOT FOUND; 40 MG + 25 MG COM REV CT BL/AL AL/AL X 30 ; NO_ACR
1039405250038; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ ML SOL INJ CT FA VD INC X 100 ML ; NO_ACR
1039405250011; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ ML SOL INJ CT FA VD INC X 20 ML ; NO_ACR
1039405250021; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ ML SOL INJ CT FA VD INC X 50 ML; NO_ACR
1039405250046; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ ML SOL INJ CT FA VD INC X 100 ML; NO_ACR
1039405250054; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ ML SOL INJ CT FA VD INC X 50 ML; NO_ACR
1839600010025; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR VD INC X 50 ML; NO_ACR
1839600010068; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR VD INC X 50 ML; NO_ACR
1839600010076; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR VD INC X 100 ML; NO_ACR
1839600010033; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR VD INC X 100 ML; NO_ACR
1839600010017; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FA VD INC X 20 ML; NO_ACR
1839600010041; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR PLAS TRANS X 50 ML; NO_ACR
1839600010051; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR PLAS TRANS X 100 ML; NO_ACR
1839600010084; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR PLAS TRANS X 50 ML; NO_ACR
1839600010092; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR PLAS TRANS X 100 ML; NO_ACR
1139800300081; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 50 ML; NO_ACR
1139800300065; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 12 FR VD INC X 100 ML; NO_ACR
1139800300091; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 125 ML; NO_ACR
1139800300030; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 25 FA VD INC X 20 ML; NO_ACR
1139800300057; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 25 FA VD INC X 50 ML; NO_ACR
1139800300138; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 20 SER PLAS X 125 ML ; NO_ACR
1139800300111; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 12 FR VD INC X 100 ML; NO_ACR
1139800300103; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 25 FA VD INC X 50 ML; NO_ACR
1139800300014; OPTIRAY; OPTIRAY; NOT FOUND; 240 509 MG/ML SOL INJ CT 25 FR VD INC X 15 ML; NO_ACR
1139800300073; OPTIRAY; OPTIRAY; NOT FOUND; 320 678 MG/ML SOL INJ CT 12 FR VD INC X 200 ML; NO_ACR
1138800300049; OPTIRAY; OPTIRAY; NOT FOUND; 320 678 MG/ML SOL INJ CT 25 FA VD INC X 30 ML; NO_ACR
1139800300121; OPTIRAY; OPTIRAY; NOT FOUND; 350 741 MG/ML SOL INJ CT 12 FR VD INC X 500 ML; NO_ACR
1139800300162; OPTIRAY; OPTIRAY; NOT FOUND; 509 MG/ML SOL INJ CT 25 FA VD INC X 50ML ; NO_ACR
1139800300170; OPTIRAY; OPTIRAY; NOT FOUND; 509 MG/ML SOL INJ CT 12 FA VD INC X 100 ML ; NO_ACR
1139800300022; OPTIRAY; OPTIRAY; NOT FOUND; 509 MG/ML SOL INJ CT 20 SER PLAS X 125 ML; NO_ACR
1139800300189; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 20 SER PLAS X 75 ML ; NO_ACR
1139800300197; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 20 SER PLAS X 100 ML ; NO_ACR
1139800300154; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 100ML; NO_ACR
1139800300146; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 75ML; NO_ACR
1014300580032; ODONID; ODONID; NOT FOUND; 400MG COM VER CT BL AL PLAS INC X 20; NO_ACR
1123633220011; ORTHOCLONE OKT-3; ORTHOCLONE OKT 3; NOT FOUND; 5 MG - SOLUCAO ESTERIL - AMP - 5 AMP; NO_ACR
1121300160029; OXCORD; OXCORD; NOT FOUND; 10 MG COM CT 3 STR 10; NO_ACR
1121300160037; OXCORD; OXCORD; NOT FOUND; 20 MG COM CT 2 STR 10; NO_ACR
1121300160261; OXCORD; OXCORD; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
1121300160288; OXCORD; OXCORD; NOT FOUND; 20 MG COM CT BL AL PLAS AMB X 20; NO_ACR
1121300160061; OXCORD RETARD; OXCORD RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 60; NO_ACR
1121300160053; OXCORD RETARD; OXCORD RETARD; NOT FOUND; 20 MG COM REV CT BL AL PLAS AMB X 30; NO_ACR
1121300420141; OXIGEN; OXIGEN; NOT FOUND; 0.2 MG/ML SOL INJ CT FA VD AMB X 50 ML + PERFUSOR POLIET; NO_ACR
1121300420107; OXIGEN; OXIGEN; NOT FOUND; 40 MG/ML SOL OR CT FR VD AMB GOT X 25 ML; NO_ACR
1121300420174; OXIGEN; OXIGEN; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1121300420166; OXIGEN; OXIGEN; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
1376400710018; OXIVID; OXIVID; NOT FOUND; 5 UI/ML INJ 50 AMP X 1 ML; NO_ACR
1123600260012; OFLOXAN; OFLOXAN; NOT FOUND; 200 MG - COMP - BL - 10 COMP; NO_ACR
1123600260047; OFLOXAN; OFLOXAN; NOT FOUND; 200 MG - COMP - BL - 14 COMP; NO_ACR
1123600260071; OFLOXAN; OFLOXAN; NOT FOUND; 200 MG - COMP - BL - 6 COMP; NO_ACR
1103901880015; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 7 ; NO_ACR
1103901880023; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 14; NO_ACR
1103901880031; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 28; NO_ACR
1103901880041; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 7; NO_ACR
1103901880066; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 60; NO_ACR
1103901880058; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 56; NO_ACR
1103901880198; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 450 (EMB HOSP); NO_ACR
1103901880074; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL AL X 500 (EMB HOSP); NO_ACR
1103901880082; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 14; NO_ACR
1103901880090; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 28; NO_ACR
1103901880104; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 56; NO_ACR
1103901880112; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 60; NO_ACR
1103901880201; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 450 (EMB HOSP); NO_ACR
1103901880120; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL AL X 500 (EMB HOSP); NO_ACR
1103901880147; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 7; NO_ACR
1103901880181; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 14; NO_ACR
1103901880139; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 28; NO_ACR
1103901880155; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 56; NO_ACR
1103901880163; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 60; NO_ACR
1103901880211; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 450 (EMB HOSP); NO_ACR
1103901880171; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL AL X 500 (EMB HOSP); NO_ACR
1121304430034; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM CT BL AL/AL X 30; NO_ACR
1121304430085; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM CT BL AL/AL X 30; NO_ACR
1121304430131; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM CT BL AL/AL X 30; NO_ACR
1120600220016; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL PLAS INC X 7 ; NO_ACR
1120600220024; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1120600220032; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1120600220040; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL PLAS INC X 7 ; NO_ACR
1120600220059; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1120600220067; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1045401770015; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG COM REV CT BL AL/ AL X 10; NO_ACR
1045401770031; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA;  20 MG COM REV CT BL AL/ AL X 30; NO_ACR
1045401770082; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA;  40 MG COM REV CT BL AL/ AL X 40; NO_ACR
1045401770023; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG COM REV CT BL AL/ AL X 20; NO_ACR
1045401770041; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 20 MG COM REV CT BL AL/ AL X 40; NO_ACR
1045401770058; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG COM REV CT BL AL/ AL X 10; NO_ACR
1045401770066; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG COM REV CT BL AL/ AL X 20; NO_ACR
1045401770074; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; OLMESARTANA MEDOXOMILA; 40 MG COM REV CT BL AL/ AL X 30; NO_ACR
1027001000052; OPRAZON; OPRAZON; NOT FOUND; 40 MG PO LIOF INJ CX 20 FA VD INC + AMP DIL X 10 ML; NO_ACR
1027001000036; OPRAZON; OPRAZON; NOT FOUND; 20 MG CAP GEL MICROG FR PLAS TRANS X 14; NO_ACR
1474200170036; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT 4 BL AL/AL X 7 ; NO_ACR
1474200170028; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT 2 BL AL/AL X 7 ; NO_ACR
1474200170011; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT BL AL/AL X 7; NO_ACR
1090600690025; OMEPRAZOLEX; OMEPRAZOLEX; NOT FOUND; 20 MG CAP FR X 7; NO_ACR
1090600690033; OMEPRAZOLEX; OMEPRAZOLEX; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
1090600690041; OMEPRAZOLEX; OMEPRAZOLEX; NOT FOUND; 40 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
1121302790017; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL MCGRAN CT 2 BL AL PLAS INC X 7; NO_ACR
1121302790051; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL MCGRAN CT 2 BL AL PLAS INC X 7; NO_ACR
1121302790041; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL MCGRAN CT BL AL PLAS INC X 7; NO_ACR
1121302790092; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL MCGRAN CT BL AL PLAS INC X 7; NO_ACR
1055000700013; OMEP; OMEP; NOT FOUND; 10 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
1055000700031; OMEP; OMEP; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 14; NO_ACR
1055000700021; OMEP; OMEP; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 7; NO_ACR
1890000300014; OPRAZON; OPRAZON; NOT FOUND; 40 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
1027001190013; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML ( EMB. HOSP.); NO_ACR
1027001190031; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML (EMB HOSP) ; NO_ACR
1027001190056; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
1027001190048; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC ; NO_ACR
1376400970028; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO LIOF P/SOL INJ CT 50 FA VD INC + 50 DIL X 3 ML (EMB HOSP); NO_ACR
1376400970011; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO LIOF P/SOL INJ CT FA VD INC X 3 ML; NO_ACR
1376400970036; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO LIOF P/ SOL INJ CT FA VD INC X 7.5 ML; NO_ACR
1376400970044; OXACILINA SÓDICA; OXACILINA SODICA; NOT FOUND; 500 MG PO LIOF P/ SOL INJ CT 50 FA VD INC X 7.5 ML (EMB HOSP); NO_ACR
1890000310011; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL X 3 ML (EMB  HOSP); NO_ACR
1890000310036; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML; NO_ACR
1890000310044; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 50 FA VD INC ; NO_ACR
1890000310052; OXANON; OXANON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
1121304230051; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG/ML SOL OR CT FR VD AMB GOT X 15 ML ; NO_ACR
1121304020091; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 15 MG COM REV CT BL AL PLAS TRANS X 7; NO_ACR
1121304020227; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1121304020065; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
1121304020030; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 15; NO_ACR
1468200290010; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 14 ; NO_ACR
1468200290029; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1468200290037; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 14 ; NO_ACR
1468200290045; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1514300100016; OXPLATY; OXPLATY; NOT FOUND; 50MG PO LIOFILIZADO FRASCO AMPOLA X 500MG; NO_ACR
1514300100024; OXPLATY; OXPLATY; NOT FOUND; 100 MG PO LIOFILIZADO FRASCO AMPOLA X 1000 MG; NO_ACR
1123600060013; ORAP; ORAP; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 20; NO_ACR
1123600060021; ORAP; ORAP; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 20; NO_ACR
1508200400013; ONCOCARB; ONCOCARB; NOT FOUND; 10 MG/ML SOL INJ FA VD INC X 15 ML (REST HOSP); NO_ACR
1508200400021; ONCOCARB; ONCOCARB; NOT FOUND; 10 MG/ML SOL INJ FA VD INC X 5 ML (REST HOSP); NO_ACR
1190900050012; OLIPED; OLIPED; NOT FOUND; CX. C/ 25 AMPOLAS; NO_ACR
1206900260014; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 100 MG PO LIOFILIZADO FR/AMP X 1000 MG; NO_ACR
1206900260022; OXALIPLATINA; OXALIPLATINA; OXALIPLATINA; 50 MG PO LIOFILIZADO FR/AMP X 500 MG; NO_ACR
