1002900330017; CANCIDAS; CANCIDAS; NOT FOUND; 50 MG PO LIOF SOL INJ CT FA VD INC; NO_ACR
1010702980059; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 COP; NO_ACR
1010702980067; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CX 50 FR VD AMB X 150 ML + 50 COP; NO_ACR
1010702980075; CETIKLINE; CETIKLINE; NOT FOUND; 40 MG/G GRAN CT 16 ENV AL/PLAS X 5 G; NO_ACR
1010702980083; CETIKLINE; CETIKLINE; NOT FOUND; 40 MG/G GRAN CT 200 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
1010702980091; CETIKLINE; CETIKLINE; NOT FOUND; 40 MG/G GRAN CX 1000 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
1010702980105; CETIKLINE; CETIKLINE; NOT FOUND; 120 MG/G GRAN CT 16 ENV AL/PLAS X 5 G; NO_ACR
1010702980113; CETIKLINE; CETIKLINE; NOT FOUND; 120 MG/G GRAN CT 200 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
1010702980121; CETIKLINE; CETIKLINE; NOT FOUND; 120 MG/G GRAN CX 1000 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
1163100020038; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 200 MG COM CT 2 BL AL PVC X 10; NO_ACR
1163100020046; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 200 MG COM CT 3 BL AL PVC X 10; NO_ACR
1163100020054; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 200 MG COM CT 6 BL AL PVC X 10; NO_ACR
1163100020062; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 400 MG COM CT 2 BL AL PVC X 10; NO_ACR
1163100020070; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 400 MG COM CT 3 BL AL PVC X 10; NO_ACR
1163100020089; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 400 MG COM CT 6 BL AL PVC X 10; NO_ACR
1057000070044; CREME PELOTENSE; CREME PELOTENSE; NOT FOUND; FRASCO 100 G; NO_ACR
1002001250037; CAMPATH; CAMPATH; NOT FOUND; 30MG/ML SOL INJ CT 3 FA VD INC X 1ML; NO_ACR
1252100090037; CILIMOX; CILIMOX; NOT FOUND; 250 MG/5 ML SUS OR CT FR VD AMB X 150 ML; NO_ACR
1252100090029; CILIMOX; CILIMOX; NOT FOUND; 250 MG/5 ML SUS OR CT FR VD AMB X 60 ML; NO_ACR
1252100090045; CILIMOX; CILIMOX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; NO_ACR
1252100090053; CILIMOX; CILIMOX; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
1010700760434; CLAVULIN IV; CLAVULIN IV; NOT FOUND;  500 MG + 100 MG PO LIOF INJ CT 10 FA VD INC; NO_ACR
1010700760132; CLAVULIN IV; CLAVULIN IV; NOT FOUND; 0.5G INJ FA + DIL 10ML; NO_ACR
1010700760442; CLAVULIN IV; CLAVULIN IV; NOT FOUND;  1 G + 200 MG PO LIOF INJ CT 10 FA VD INC; NO_ACR
1010700760149; CLAVULIN IV; CLAVULIN IV; NOT FOUND; 1G INJ FA + DIL 20ML; NO_ACR
1013100050066; CIBRAMOX; CIBRAMOX; NOT FOUND; 125 MG/5ML SUSP CX1FR 80ML; NO_ACR
1013100050074; CIBRAMOX; CIBRAMOX; NOT FOUND; 250MG/5ML SUSP CX1FR 120ML; NO_ACR
1013100050058; CIBRAMOX; CIBRAMOX; NOT FOUND; 500 MG CAPS CX COM 15; NO_ACR
1010700760272; CLAVULIN; CLAVULIN; NOT FOUND; 125MG SUSP FR 75ML; NO_ACR
1010700760302; CLAVULIN; CLAVULIN; NOT FOUND; 250MG SUSP FR 75ML; NO_ACR
1010700760558; CLAVULIN; CLAVULIN; NOT FOUND; 600 MG + 42.90 MG / 5 ML PO SUS OR CT FR VD TRANS X 50 ML + SER DOS; NO_ACR
1010700760566; CLAVULIN; CLAVULIN; NOT FOUND; 600 MG + 42.90 MG / 5 ML PO SUS OR CT FR VD TRANS X 100 ML + SER DOS; NO_ACR
1010700760531; CLAVULIN; CLAVULIN; NOT FOUND; 125 MG + 31.25 MG / 5 ML PO SUS OR CT FR VD TRANS X 100 ML; NO_ACR
1010700760541; CLAVULIN; CLAVULIN; NOT FOUND; 250 MG + 62.50 MG / 5 ML PO SUS OR CT FR VD TRANS X 100 ML ; NO_ACR
1010700760418; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 200 MG + 28.5 MG/5 ML PO EXT CT FR VD INC X 70 ML; NO_ACR
1010700760401; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 400 MG + 57MG/5 ML PO EXT CT FR VD INC X 70 ML; NO_ACR
1010700760396; CLAVULIN; CLAVULIN; NOT FOUND; 400 MG + 57MG/5 ML PO EXT CT FR VD INC X 140 ML; NO_ACR
1010700760056; CLAVULIN; CLAVULIN; NOT FOUND; 500 MG COMP REV FR 12; NO_ACR
1010700760064; CLAVULIN; CLAVULIN; NOT FOUND; 500 MG COMP REV FR 18; NO_ACR
1010700760507; CLAVULIN; CLAVULIN; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL PLAS TRANS + ENV X 30 ; NO_ACR
1010700760493; CLAVULIN; CLAVULIN; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL PLAS TRANS+ ENV X 21 ; NO_ACR
1010700760388; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 875MG COMP REV 12; NO_ACR
1010700760515; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS TRANS+ ENV X 14; NO_ACR
1010700760523; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS TRANS + ENV X 20; NO_ACR
1376400090028; CLAVICIN; CLAVICIN; NOT FOUND; 1000 MG + 200 MG PO INJ CT FA VD INC + AMP DIL X 20 ML; NO_ACR
1376400090011; CLAVICIN; CLAVICIN; NOT FOUND; 500 MG + 100 MG PO INJ CT FA VD INC + AMP DIL X 10 ML; NO_ACR
1376400090036; CLAVICIN; CLAVICIN; NOT FOUND; 1000MG+200MG PO SOL INJ CX 50 FR + DIL 10ML; NO_ACR
1376400090044; CLAVICIN; CLAVICIN; NOT FOUND; 500MG+100MG PO SOL INJ CX 50 FR + DIL 10ML; NO_ACR
1376400090087; CLAVICIN; CLAVICIN; NOT FOUND; 1000 MG + 200 MG PO SOL INJ CT 50 FR VD INC; NO_ACR
1376400090095; CLAVICIN; CLAVICIN; NOT FOUND; 500 MG + 100 MG PO SOL INJ CT 50 FR VC INC; NO_ACR
1890000400019; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; NO_ACR
1890000400027; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 DIL X 5 ML; NO_ACR
1890000400051; CILINON; CILINON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
1890000400061; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
1890000400086; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML; NO_ACR
1890000400094; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CT FA VD INC + AMP DIL PLAS X 5ML; NO_ACR
1890000400108; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + 100 AMP DIL PLAS X 5 ML; NO_ACR
101310053; CEFABRAN; CEFABRAN; NOT FOUND; 250 MG/5ML SUSP CX1FR100ML; NO_ACR
1013100530034; CEFABRAN; CEFABRAN; NOT FOUND; 500 MG CAPS REV CX COM 40; NO_ACR
1013100530026; CEFABRAN; CEFABRAN; NOT FOUND; 500 MG CAPS REV CX COM 8; NO_ACR
1027000430120; CILINON; CILINON; NOT FOUND; 1000 MG CX C/ 1 FA + DIL; NO_ACR
1027000430185; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC; NO_ACR
1027000430090; CILINON; CILINON; NOT FOUND; 1000 MG PO INJ CX 100 FA VD INC + DIL X 5 ML; NO_ACR
1027000430112; CILINON; CILINON; NOT FOUND; 500 MG CX C/ 1 FA + DIL; NO_ACR
1027000430177; CILINON; CILINON; NOT FOUND; 500 MG PO INJ CX 100 FA VD INC; NO_ACR
1027000430082; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + DIL X 5 ML; NO_ACR
1027000430199; CILINON; CILINON; NOT FOUND; 1000MG PO INJ CX 100 FA VD INC + AMP DIL PLAS X 5ML; NO_ACR
1027000430203; CILINON; CILINON; NOT FOUND; 500MG PO INJ CX 100 FA VD INC + AMP DIL PLAS X 5ML; NO_ACR
1027000430066; CILINON; CILINON; NOT FOUND; 500 MG CX C/ 100 CAP; NO_ACR
1027000430041; CILINON; CILINON; NOT FOUND; 500 MG CX C/ 12 CAP; NO_ACR
1064601500050; COMBACTAM; COMBACTAM; NOT FOUND; 1000 MG + 500 MG PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
1064601500069; COMBACTAM; COMBACTAM; NOT FOUND; 2000 MG + 500 MG PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
1186101110013; CLORIDRATO DE TETRACICLINA + ANFOTERICINA B; CLORIDRATO TETRACICLINA ANFOTERICINA B; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC DESC; NO_ACR
124250007002; CARDITENS; CARDITENS; NOT FOUND; 25MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
124250007001; CARDITENS; CARDITENS; NOT FOUND; 25MG COM CT FR PLAS OPC X 20; NO_ACR
124250007003; CARDITENS; CARDITENS; NOT FOUND; 25MG COM CT FR PLAS OPS X 10; NO_ACR
124250007008; CARDITENS; CARDITENS; NOT FOUND; 50MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
124250007006; CARDITENS; CARDITENS; NOT FOUND; 50MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
124250008009; CARDITENS; CARDITENS; NOT FOUND; 50MG COM CT FR PLAS OCP X 20; NO_ACR
124250007007; CARDITENS; CARDITENS; NOT FOUND; 50MG COM CT FR PLAS OPC X 30; NO_ACR
1045400060022; CLAUDEMOR; CLAUDEMOR; NOT FOUND; POMADA - BISNAGA CONTENDO 20 GR.; NO_ACR
1045400060019; CLAUDEMOR; CLAUDEMOR; NOT FOUND; SUPOSITORIO - CAIXA COM 5; NO_ACR
1186100220036; COLPIST MT; COLPIST MT; NOT FOUND; 62.5 MG/G + 25000 UI/G + 1.25 MG/G CREM VAG CT 10 APLIC PLAS DESC X 4 G + ENV AL POLIET; NO_ACR
1186100220028; COLPIST MT; COLPIST MT; NOT FOUND; 62.5 MG/G + 25000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 40 G + 10 APLIC ; NO_ACR
1186100220016; COLPIST MT; COLPIST MT; NOT FOUND; 62.5 MG/G + 25000 UI/G + 1.25 MG/G CREM VAG CT BG AL X 60 G + 1 APLIC ; NO_ACR
1376400670083; CALCHEK; CALCHEK; NOT FOUND; 10 MG C/ CX 1 BL X 10; NO_ACR
1376400670091; CALCHEK; CALCHEK; NOT FOUND; 10 MG C/ CX 2 BL X 10; NO_ACR
1376400670113; CALCHEK; CALCHEK; NOT FOUND; 10 MG C/ CX 2 BL X 15; NO_ACR
1376400670105; CALCHEK; CALCHEK; NOT FOUND; 10 MG C/ CX 3 BL X 10; NO_ACR
1376400670024; CALCHEK; CALCHEK; NOT FOUND; 5 MG C/ CX 2 BL X 10; NO_ACR
1376400670059; CALCHEK; CALCHEK; NOT FOUND; 5 MG C/ CX 2 BL X 14; NO_ACR
1376400670040; CALCHEK; CALCHEK; NOT FOUND; 5 MG C/ CX 2 BL X 15; NO_ACR
1376400670032; CALCHEK; CALCHEK; NOT FOUND; 5 MG C/ CX 3 BL X 10; NO_ACR
1376400670067; CALCHEK; CALCHEK; NOT FOUND; 5 MG C/ CX 3 BL X 7; NO_ACR
1376400670075; CALCHEK; CALCHEK; NOT FOUND; 5 MG C/ CX 4 BL X 7; NO_ACR
1376400670016; CALCHEK; CALCHEK; NOT FOUND; 5MG C/ CX 1 BL X 10; NO_ACR
1039404100032; CORDIPINA; CORDIPINA; NOT FOUND; 10 MG COMP CT BL AL PLAST AMB X 20; NO_ACR
1039404100016; CORDIPINA; CORDIPINA; NOT FOUND; 5 MG COMP CT BL AL PLAST AMB X 20; NO_ACR
1121300100048; CORDAREX; CORDAREX; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20; NO_ACR
1121300100064; CORDAREX; CORDAREX; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
1121300100021; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20; NO_ACR
1121300100013; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 10; NO_ACR
1121300100171; CORDAREX; CORDAREX; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
1121300100072; CORDAREX; CORDAREX; NOT FOUND; 2.5 MG COM CT  BL AL PLAS AMB X 30; NO_ACR
1121300100099; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT  BL AL PLAS AMB X 30; NO_ACR
1121300100129; CORDAREX; CORDAREX; NOT FOUND; 2.5 MG COM CT BL AL PLAS AMB X 7; NO_ACR
1121300100145; CORDAREX; CORDAREX; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 7; NO_ACR
1211000970011; CENTRUM; CENTRUM; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 30 COMPRIMIDOS; NO_ACR
1211000970038; CENTRUM; CENTRUM; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 100 COMPRIMIDOS; NO_ACR
1211000970021; CENTRUM; CENTRUM; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 60 COMPRIMIDOS; NO_ACR
1211001080036; CENTRUM; CENTRUM; NOT FOUND; CARTELA CONTENDO 1 FRASCO COM 100 COMPR. (SILVER); NO_ACR
9999999999999; CENTRUM; CENTRUM; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 30 COMPR.+ 1 FRASCO COM 100 COMPR.; NO_ACR
1211002680071; CENTRUM; CENTRUM; NOT FOUND; COM REV CT FR PLAS OPC X 100; NO_ACR
1211002680053; CENTRUM; CENTRUM; NOT FOUND; COM REV CT FR PLAS OPC X 30; NO_ACR
1211002680061; CENTRUM; CENTRUM; NOT FOUND; COM REV CT FR PLAS OPC X 60; NO_ACR
1211701150053; CELIP; CELIP; NOT FOUND; 200 MG DRG CT 5 STR X 4; NO_ACR
1211701150037; CELIP; CELIP; NOT FOUND; 400 MG COM DESINT LENTA CT 5 STR X 4 (SR); NO_ACR
1168800030037; CONC.BÁSICO HEMODIÁLISE.F2; CONC BASICO HEMODIALISE F2; NOT FOUND; 8.125 PCC SOL P/HEMODIALISE CX GALAO PLAS X 3780 ML; NO_ACR
1168800130015; CPHD FARMARIN; CPHD FARMARIN; NOT FOUND; 0.084 G/ML SOL HEMO CX 4 FR PLAS TRANS X 5 L; NO_ACR
1168800130031; CPHD FARMARIN; CPHD FARMARIN; NOT FOUND; 0.084 G/ML SOL HEMO CX 04 FR PLAS TRANS X 6 L; NO_ACR
1169100070018; CPHD 35 BA; CPHD 35 BA; NOT FOUND; 8.4% SOL HD BAS BOMB PLAST X 5L; NO_ACR
1168800020031; CONC.ÁCIDO HEMODIÁLISE.F1; CONC ACIDO HEMODIALISE F1; NOT FOUND; 8.125 PCC SOL P/ HEMODIALISE + SOL COMPLEM CX GALAO X 5000 ML; NO_ACR
1168800020058; CONC.ÁCIDO HEMODIALISE; CONC ACIDO HEMODIALISE; NOT FOUND; NA140K1.5CA3.5 % LITROS; NO_ACR
1168800020023; CONC.ÁCIDO HEMODIALISE.F3; CONC ACIDO HEMODIALISE F3; NOT FOUND; 6.6 PCC SOL P/ HEMODIALISE + SOL COMPLEM CX GALAO X 5000 ML; NO_ACR
1168800020023; CONC.ÁCIDO HEMODIALISE.F3; CONC ACIDO HEMODIALISE F3; NOT FOUND; 6.6 PCC SOL P/ HEMODIALISE + SOL COMPLEM CX GALAO X 5000 ML; NO_ACR
1169100030016; CPHD SMP 35; CPHD SMP 35; NOT FOUND; 138 NA + 1.5 K + 3.5 CA + 1 MG MEQ/L SOL AC HD BOMB PLAS X 5 L + 84G/L SOL BASICA HD BOMB PLAS INC X 5L; NO_ACR
1169100030032; CPHD SMP 35; CPHD SMP 35; NOT FOUND; 138 NA + 1.5 K + 3.5 CA + 1 MG MEQ/L SOL AC HD BOMB PLAS X 6 L + 84G/L SOL BASICA HD BOMB PLAS INC X 6L; NO_ACR
1201400020021; C.P.H.D. - BICARBONATO DE SÓDIO; C P H D BICARBONATO SODIO; NOT FOUND; NA 139.0 + K 1.0 MEQ SOL CONC A+B HD CX 2 GAL PLAS TRANS X 5000 ML (6.6% - FRACAO BASICA); NO_ACR
1201400080024; C.P.H.D. - BICARBONATO DE SÓDIO; C P H D BICARBONATO SODIO; NOT FOUND; 8.125 PCC SOL HD FR PLAST TRANSP X 5000 ML (FRACAO BASICA) (CLORETO DE SODIO ASSOCIADO); NO_ACR
1201400040014; C.P.H.D. - BICARBONATO DE SÓDIO; C P H D BICARBONATO SODIO; NOT FOUND; NA 138.0 + K 2.0 SOL CONC A+B HD CX 2 GAL PLAS TRANS X 5000 ML (8.4% - FRACAO BASICA); NO_ACR
1201400080016; C.P.H.D. - BICARBONATO DE SÓDIO; C P H D BICARBONATO SODIO; NOT FOUND; 8.4 PCC SOL HD FR PLAS TRANSP X 5000 ML (FRACAO BASICA); NO_ACR
1090600830048; COMPLEX B; COMPLEX B; NOT FOUND; GOTAS 20ML; NO_ACR
1090600830021; COMPLEX B; COMPLEX B; NOT FOUND; CONCENTRADO 50DG; NO_ACR
1514300130071; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 07; NO_ACR
1514300130063; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 14; NO_ACR
1514300130055; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 20; NO_ACR
1514300130047; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 28; NO_ACR
1514300130020; CLOPIVIX; CLOPIVIX; NOT FOUND; 75MG COM REV CT BL AL/AL X 60; NO_ACR
1514300130012; CLOPIVIX; CLOPIVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 98; NO_ACR
1514300130039; CLOPIVIX; CLOPIVIX; NOT FOUND; 75 MG COM REV CT BL AL/AL X 30; NO_ACR
1211001190011; CALTRATE; CALTRATE; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 60; NO_ACR
1211001240017; CALTRATE; CALTRATE; NOT FOUND; COM REV CT FR PLAS OPC X 60; NO_ACR
1211001190036; CALTRATE; CALTRATE; NOT FOUND; 600 MG + 200 UI COM REV CT FR PLAS OPC X 30; NO_ACR
1211001240033; CALTRATE; CALTRATE; NOT FOUND; COM REV CT FR PLAS OPC X 30; NO_ACR
1106301340014; CABERGOLINA; CABERGOLINA; CABERGOLINA; 0.5 MG COM OR CT FR VD AMB X 2; NO_ACR
1106301340022; CABERGOLINA; CABERGOLINA; CABERGOLINA; 0.5 MG COM OR CT FR VD AMB X 8; NO_ACR
1039405370033; CAFILISADOR; CAFILISADOR; NOT FOUND; 500 MG + 65 MG COM CT BL AL PLAS AMB X 100; NO_ACR
1039405370025; CAFILISADOR; CAFILISADOR; NOT FOUND; 500 MG + 65 MG CT BL AL PLAS AMB X 16; NO_ACR
1781700970033; CAFILISADOR; CAFILISADOR; NOT FOUND; 500 MG + 65 MG COM CT BL AL PLAS AMB X 100; NO_ACR
1781700970025; CAFILISADOR; CAFILISADOR; NOT FOUND; 500 MG + 65 MG COM CT BL AL PLAS AMB X 16; NO_ACR
1057000030030; CALMADOR; CALMADOR; NOT FOUND; CAIXA 2 ENV DE 6 COMP; NO_ACR
1057000030027; CALMADOR; CALMADOR; NOT FOUND; DISPLAY 25 ENV DE 4 COMP; NO_ACR
1055000320024; CAMBEM; CAMBEM; NOT FOUND; 6 MG/ML SUS OR CT FR VD AMB X 20 ML; NO_ACR
1055000320016; CAMBEM; CAMBEM; NOT FOUND; 180 MG/COM CT BL AL PLAS INC X 2; NO_ACR
1351700120016; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.50 MG COM CT BL AL PLAS TRANS X 30; NO_ACR
1351700120024; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.50 MG COM CT BL AL PLAS TRANS X 60 ; NO_ACR
1351700120032; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 8 MG + 12.50 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); NO_ACR
1351700120040; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.50 MG COM CT BL AL PLAS TRANS X 30 ; NO_ACR
1351700120059; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.50 MG COM CT BL AL PLAS TRANS X 60; NO_ACR
1351700120067; CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA; CANDESARTANA CILEXETILA HIDROCLOROTIAZIDA; NOT FOUND; 16 MG + 12.50 MG COM CT BL AL PLAS TRANS X 90 (EMB FRAC); NO_ACR
1466800020026; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; COMP. 12.5MG CX 2 BL X 15; NO_ACR
1466800020077; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; COMP. 12.5MG CX 3 BL X 10; NO_ACR
1466800020042; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; COMP. 25MG CX 2 BL X 15; NO_ACR
1466800020085; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; COMP. 25MG CX 3 BL X 10; NO_ACR
1466800020069; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; COMP. 50MG CX 2 BL X 15; NO_ACR
1252100370021; CAPTOPHEX; CAPTOPHEX; NOT FOUND; 12.5 MG COM CT 02 BL AL PLAS INC X 15; NO_ACR
1252100370064; CAPTOPHEX; CAPTOPHEX; NOT FOUND; 25 MG COM CT 04 BL AL PLAS INC X 07; NO_ACR
1252100370102; CAPTOPHEX; CAPTOPHEX; NOT FOUND; 50 MG COM CT 04 BL AL PLAS INC X 07; NO_ACR
1057701560011; CAPTOPIRIL; CAPTOPIRIL; NOT FOUND; 12.5 MG COM CT BL AL PLAST INC X 15; NO_ACR
1057701560044; CAPTOPIRIL; CAPTOPIRIL; NOT FOUND; 25 MG COM CT BL AL PLAST INC X 16; NO_ACR
1057701560060; CAPTOPIRIL; CAPTOPIRIL; NOT FOUND; 50 MG COM CT BL AL PLAST INC X 16; NO_ACR
1474200050049; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50MG COMP CT 6BL AL PLAS INCX10(EMB HOSP) GEN; NO_ACR
1474200050030; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
1474200050014; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT 6 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
1474200050022; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT 3 BL AL PLAS INC X 10; NO_ACR
