1057700540028; MEMORIOGLUTAN; MEMORIOGLUTAN; NOT FOUND; FR 50 DRG; NO_ACR
1211002990028; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF INJ IV CT 2 FA VD TRANS (EMB HOSP); NO_ACR
1211002990036; MORFEGIX; MORFEGIX; NOT FOUND; 100 MG PO LIOF SOL INJ IV CT 15 FA VD TRANS; NO_ACR
1011600150098; MALIASIN; MALIASIN; NOT FOUND; 100MG COM REVES CT BL AL PLAS INC X 20; NO_ACR
1013100280080; MIX-PEN; MIX PEN; NOT FOUND; 400.000 UI INJ CX 50 FR AMP; NO_ACR
1211700530031; MITICOCAN; MITICOCAN; NOT FOUND; SOL TOP FR X 100 ML; NO_ACR
1211700530015; MITICOCAN; MITICOCAN; NOT FOUND; SAB X 80 G; NO_ACR
1002900140064; MAXALT; MAXALT; NOT FOUND; 10 MG COM REV CT BL AL AL X 2; NO_ACR
1002900140072; MAXALT; MAXALT; NOT FOUND; 10 MG DISCO LIOF CT BL AL PLAS INC X 2; NO_ACR
1002900140013; MAXALT; MAXALT; NOT FOUND; 5 MG COM REV CT BL AL/AL X 2; NO_ACR
1046200180035; MALVONA; MALVONA; NOT FOUND; FRASCO COM 100 ML SOLUCAO; NO_ACR
1046200180043; MALVONA; MALVONA; NOT FOUND; FRASCO COM 200 ML SOLUCAO; NO_ACR
1014300680037; MALVONA; MALVONA; NOT FOUND; 0.2 MG/ML + 60 MG/ML + 1 MG/ML SOL TOP CT FR VD AMB X 200 ML; NO_ACR
1014300680029; MALVONA; MALVONA; NOT FOUND; 0.2 MG /ML+ 60 MG /ML+ 1 MG/ML SOL TOP CT FR VD AMB X 100 ML; NO_ACR
1046200180019; MALVONA; MALVONA; NOT FOUND; BISNAGA COM 50 G PASTA DENTIFRICIA; NO_ACR
1046200180027; MALVONA; MALVONA; NOT FOUND; BLISTER COM 12 PASTILHAS; NO_ACR
1014300240177; MALVATRICIN; MALVATRICIN; NOT FOUND; PPU - 0.1MG/ML+1MG/ML SOL OR FR PET CRISTAL PLAS IN X 350ML; NO_ACR
1014300240090; MALVATRICIN; MALVATRICIN; NOT FOUND; SOLUCAO - 0.3MG/ML+10MG/ML SOL OR FR VD INC X 100ML; NO_ACR
1014300240181; MALVATRICIN; MALVATRICIN; NOT FOUND; SPRAY - 1MG/ML+2MG/ML+4MG/ML SOL OR FR VD INC SPRAY X 50ML; NO_ACR
1014300240231; MALVATRICIN; MALVATRICIN; NOT FOUND; 0.1 MG / ML + 1 MG / ML SOL TOP FR PLAS VERDE (PET) X 250 ML; NO_ACR
1014300240031; MALVATRICIN; MALVATRICIN; NOT FOUND; GINECOLOGICO - SOL GIN CT FR VD AMB X 100ML; NO_ACR
1014300240023; MALVATRICIN; MALVATRICIN; NOT FOUND; GEL - CT BG PLAS OPC X 50G; NO_ACR
1014300240169; MALVATRICIN; MALVATRICIN; NOT FOUND; PASTILHAS - 1.0MG/G+0.7MG/G+5.0MG/G PAST CT 3 STR AL X 4 (MENTOL); NO_ACR
1039405280018; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
1121304170024; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; NO_ACR
1039404800026; METIOCOLIN; METIOCOLIN; NOT FOUND; 10MG + 50MG + 10 MG + 0.5MCG SOL OR CX 100 FLAC X 10 ML; NO_ACR
1039404800018; METIOCOLIN; METIOCOLIN; NOT FOUND; 10MG + 50 MG + 0.5MCG SOL OR CX 12 FLAC X 10 ML; NO_ACR
1211000570013; MAGNÉSIA BISURADA; MAGNESIA BISURADA; NOT FOUND; 63.70 MG + 521.0 MG + 67.0 MG + 3.30 MG PAST CT BL AL PLAS INC X 40; NO_ACR
1211000570188; MAGNÉSIA BISURADA; MAGNESIA BISURADA; NOT FOUND; 63.70 MG + 521.0 MG + 67.0 MG + 3.30 MG PAST CT BL AL PLAS INC X 200; NO_ACR
1010701870020; MYLERAN; MYLERAN; NOT FOUND; 2 MG COM REV CT FR VD AMB X 25; NO_ACR
1002500650014; MYLERAN; MYLERAN; NOT FOUND; 2MG X 50CPDS; NO_ACR
1039404690034; MIOFLEX A; MIOFLEX A; NOT FOUND; 50 MG + 300 MG + 125 MG + 30 MG COM CT BL AL PLAS INC X 12; NO_ACR
1068901160010; MAXIDRIN; MAXIDRIN; NOT FOUND; 500MG COMP REV 3 BL AL X 4; NO_ACR
1068901160029; MAXIDRIN; MAXIDRIN; NOT FOUND; 500MG COMP REV 30 BL AL X 4; NO_ACR
1228300790048; MELHORAL; MELHORAL; NOT FOUND; ADULTO 25 BL X 04 COMP; NO_ACR
1228300790064; MELHORAL; MELHORAL; NOT FOUND; ADULTO 25 BL X 08 COMP; NO_ACR
1228300790013; MELHORAL; MELHORAL; NOT FOUND; ADULTO 03 X BL 08 COMP; NO_ACR
1228300790137; MELHORAL; MELHORAL; NOT FOUND; INFANTIL 25 STR X 08 COMP; NO_ACR
1228300790110; MELHORAL; MELHORAL; NOT FOUND; INFANTIL 03 STR X 08 COMP; NO_ACR
1781700040028; MELHORAL; MELHORAL; NOT FOUND; 500 MG  + 30 MG COM DISP BL AL PLAS TRANS X 200 (EMB MULT) ; NO_ACR
1009200230025; MUCOLIVRE; MUCOLIVRE; NOT FOUND; 50 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
1009200230017; MUCOLIVRE; MUCOLIVRE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML; NO_ACR
1211001100061; MUCOFAN; MUCOFAN; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 100ML (PED. XPE); NO_ACR
1211001100088; MUCOFAN; MUCOFAN; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 100 ML (ADULTO XPE); NO_ACR
1211001100071; MUCOFAN; MUCOFAN; NOT FOUND; CARTUCHO CONTENDO 1 FRASCO COM 20 ML + CONTAGOTAS (GOTAS); NO_ACR
1026400420014; MUCOBRONC; MUCOBRONC; NOT FOUND; XPE FR AMBAR 100 ML ADULTO; NO_ACR
1026400420022; MUCOBRONC; MUCOBRONC; NOT FOUND; XPE FR 100 ML PEDIATRICO; NO_ACR
1211701280046; MAXICALC; MAXICALC; NOT FOUND; 500 MG COM REV FR X 60; NO_ACR
1211701280038; MAXICALC D; MAXICALC D; NOT FOUND; 500 MG + 200 UI COM REV FR X 60; NO_ACR
1211701280011; MAXICALC D; MAXICALC D; NOT FOUND; 500 MG + 400 UI COM REV FR X 60; NO_ACR
1026400320014; MATRICARIA F. DUTRA; MATRICARIA F DUTRA; NOT FOUND; PO CT SACHET C/1 GR; NO_ACR
1039404810013; MIOFLEX; MIOFLEX; NOT FOUND; 150MG + 300MG + 82.50MG COMP CT 2 BL PAPEL PLAST A; NO_ACR
1002900200024; MEFOXIN; MEFOXIN; NOT FOUND; IM FA 1 G + AMP 2 ML DIL; NO_ACR
1002900200040; MEFOXIN; MEFOXIN; NOT FOUND; IV 1 G CX. C/ 50 FR. AMP.; NO_ACR
1002900200032; MEFOXIN; MEFOXIN; NOT FOUND; IV FA 1 G + AMP 10 ML DIL; NO_ACR
1002900200016; MEFOXIN; MEFOXIN; NOT FOUND; IV FA 2 G + AMP 10 ML DIL; NO_ACR
1002900200059; MEFOXIN; MEFOXIN; NOT FOUND; IV FA 2 G + AMP 10 ML DIL CX. C/ 50 FR. AMP.; NO_ACR
1064601080019; MEDCEF; MEDCEF; NOT FOUND; 750 MG PO INJ CT FA VD AMB + DIL X 6 ML; NO_ACR
1186100250014; MICONAN; MICONAN; NOT FOUND; 20 MG/ML FR COM 100 ML - SHAMPOO; NO_ACR
1186100250022; MICONAN; MICONAN; NOT FOUND; 20 MG/G BISN COM 30 G - CREME; NO_ACR
1186100250067; MICONAN; MICONAN; NOT FOUND; 200 MG CX COM 10 COMP; NO_ACR
1039404790012; METIOCOLIN B 12; METIOCOLIN B 12; NOT FOUND; DRG CT 2 BL AL PLAS INC X 20; NO_ACR
1121303860043; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 60; NO_ACR
1121303860027; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
1121303860035; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
1121303860019; MAXAPRAN; MAXAPRAN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
1002500820033; MIVACRON; MIVACRON; NOT FOUND; 20MG X 5 AMPOLAS X 10ML; NO_ACR
1093100010046; MEPIVALEM AD; MEPIVALEM AD; NOT FOUND; 2 PCC + 10 MCG/ML SOL INJ LT 50 CARPULES PLAS TRANS X 1.8 ML; NO_ACR
1228301090384; MERTHIOLATE; MERTHIOLATE; NOT FOUND; FR X 30 ML; NO_ACR
1228301090376; MERTHIOLATE; MERTHIOLATE; NOT FOUND; LIQUIDO SPRAY FR X 45 ML; NO_ACR
1228301090341; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUOSA CT FR PLAS OPC X 30 ML; NO_ACR
1011600700251; MUCOLIN; MUCOLIN; NOT FOUND; 30MG COM CT 1 BL AL PLAS INC X 20; NO_ACR
1002901370012; MODURETIC; MODURETIC; NOT FOUND; 25 MG + 2.5 MG COM CT BL AL PLAS INC X 30 ; NO_ACR
1002901370020; MODURETIC; MODURETIC; NOT FOUND; 50 MG + 5 MG COM CT BL AL PLAS INC X 30; NO_ACR
1106500400181; MODURETIC; MODURETIC; NOT FOUND; 25 MG. COM. CT. C/ 3 BL X 10; NO_ACR
1106500400119; MODURETIC; MODURETIC; NOT FOUND; 50 MG. COM. CT. C/ 3 BL X 10; NO_ACR
1121300140015; MIODARON; MIODARON; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; NO_ACR
1055000660011; MIOCOR; MIOCOR; NOT FOUND; 200 MG COM CT BL AL PLAST INC X 20; NO_ACR
1014300240398; MALVATRICIN; MALVATRICIN; NOT FOUND; 1.0 MG/G + 0.7 MG/G + 5.0 MG/G PAS CT STR AL X 8 (MENTOL); NO_ACR
1064601910011; MIMPARA; MIMPARA; NOT FOUND; 30MG COM REV CT FR PLAS OPC X 30 ; NO_ACR
1064601910021; MIMPARA; MIMPARA; NOT FOUND; 60MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
1064601910038; MIMPARA; MIMPARA; NOT FOUND; 90MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
1024400010014; MIMPARA; MIMPARA; NOT FOUND; 30MG COM REV CT FR PLAS OPC X 30 ; NO_ACR
1024400010022; MIMPARA; MIMPARA; NOT FOUND; 60MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
1024400010030; MIMPARA; MIMPARA; NOT FOUND; 90MG COM REV CT FR PLAS OPC X 30  ; NO_ACR
1055001590017; MEPRAMIN; MEPRAMIN; NOT FOUND; 10 MG DRG CT BL AL PVC X 20 ; NO_ACR
1055001590025; MEPRAMIN; MEPRAMIN; NOT FOUND; 10 MG DRG CX 10 BL AL PVC X 20; NO_ACR
1055001590041; MEPRAMIN; MEPRAMIN; NOT FOUND; 25 MG DRG CT 10 BL AL PVC X 20 ; NO_ACR
1055001590033; MEPRAMIN; MEPRAMIN; NOT FOUND; 25 MG DRG CT BL AL PVC X 20 ; NO_ACR
1014701330045; MUNOLAN; MUNOLAN; NOT FOUND; FR 10 ML; NO_ACR
1211700600054; MURAZYME; MURAZYME; NOT FOUND; POM BISN 20 G; NO_ACR
1014701330037; MUNOLAN; MUNOLAN; NOT FOUND; SUBLI CPR C/45; NO_ACR
1211701110019; MICROVACIN; MICROVACIN; NOT FOUND; 0.400 MG + 0.11 MG CAP GEL CT 3 BL AL PLAS INC X 15; NO_ACR
1211003030028; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 10; NO_ACR
1211003030052; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 20; NO_ACR
1211003030079; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 30; NO_ACR
1211003030095; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVC TRANS X 60; NO_ACR
1211003030117; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS X 10; NO_ACR
1211003030141; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 20; NO_ACR
1211003030168; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 30; NO_ACR
1211003030184; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/120 TRANS  X 60 ; NO_ACR
1211003030192; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS  X 10; NO_ACR
1211003030214; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 20; NO_ACR
1211003030222; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 30; NO_ACR
1211003030230; MEMONTIL; MEMONTIL; NOT FOUND; 10 MG COM REV CT BL AL PVDC 250/40 TRANS X 60; NO_ACR
1017700300015; MEPISV; MEPISV; NOT FOUND; CAIXA COM 50 TUBETES; NO_ACR
1099300080012; MEPIVALEM SV; MEPIVALEM SV; NOT FOUND; 3% SOL INJ CT 50 CARPULES PLAS TRANS X 1.8 ML; NO_ACR
1017700220011; MEPIADRE; MEPIADRE; NOT FOUND; 20MG/ML+10MCG/ML SOL INJ CT BL 50 CARP VD INC X 1.8 ML (EMB. HOSP.); NO_ACR
1017700240012; MEPINOR; MEPINOR; NOT FOUND; 20 MG/ML + 18 MCG/ML SOL INJ CT 50 CARP VD INC X 1.8 ML; NO_ACR
1055001480025; MEGUANIN; MEGUANIN; NOT FOUND; 500 MG COM REV CT 3 BL AL PLAS INC X 10; NO_ACR
1055001480041; MEGUANIN; MEGUANIN; NOT FOUND; 850 MG COM REV CT 20 BL AL PLAS INC X 10; NO_ACR
1055001480033; MEGUANIN; MEGUANIN; NOT FOUND; 850 MG COM REV CT 3 BL AL PLAS INC X 10; NO_ACR
1099800100012; METOCLOGEL; METOCLOGEL; NOT FOUND; 4MG/ML SOL.ORAL CX. C/ 50 FR 10ML; NO_ACR
1121000070011; METOCLOPRAMIDA; METOCLOPRAMIDA; METOCLOPRAMIDA; CX.C/50 FR. X 10 ML; NO_ACR
1099800100020; METOCLOGEL; METOCLOGEL; NOT FOUND; 10MG COMP. CX. C/ 50 BL X 10 COMP.; NO_ACR
1211000790021; MINOMAX; MINOMAX; NOT FOUND; CARTUCHO COM FRASCO VIDRO AMBAR COM 30 COMPRIMIDOS; NO_ACR
1211000790013; MINOMAX; MINOMAX; NOT FOUND; CARTUCHO COM FRASCO VIDRO AMBAR COM 9 COMPRIMIDOS; NO_ACR
1508200270012; MITOXAL; MITOXAL; NOT FOUND; 2 MG/ML SOL INJ CT FA VD INC X 10 ML ( REST HOSP); NO_ACR
1508200270020; MITOXAL; MITOXAL; NOT FOUND; 2 MG / ML SOL INJ CX FA VD INC X 15 ML  (REST HOSP); NO_ACR
1043400100014; MELPAZ; MELPAZ; NOT FOUND; GTS FR C/ 15 ML; NO_ACR
1045400210024; MONOTREAN B6; MONOTREAN B6; NOT FOUND; 100 MG + 40 MG + 40 MG DRG CT BL AL PLAS INC X 30; NO_ACR
1045400200023; MONOTREAN; MONOTREAN; NOT FOUND; 100 MG + 40 MG DRG CT 3 BL AL PLAST INC X 10; NO_ACR
1090600680021; MICOTRICIN; MICOTRICIN; NOT FOUND; SOLUCAO TOPICA 20ML; NO_ACR
1017700150013; MEPI-LEVO; MEPI LEVO; NOT FOUND; 20 MG + 50 MG SOL INJ CART 5 BL 10 CAP VD INC X 1.8 ML; NO_ACR
1017100680021; MERCILON; MERCILON; NOT FOUND; 0.15MG + 0.02MG COM CT BL AL PLAS INC X 21; NO_ACR
1017100680038; MERCILON; MERCILON; NOT FOUND; 0.15 MG + 0.02 MG COM CT BL AL PLAS INC X 63; NO_ACR
1017100490034; MICRODIOL; MICRODIOL; NOT FOUND; 0.15 MG + 0.03 MG COM CT BL AL PLAS INC X 21; NO_ACR
1017101020015; MERCILON CONTI; MERCILON CONTI; NOT FOUND; 150/20MCG 21 COM REV + 0/0MCG 2 COM REV + 0/10MCG 5 COM REV CT ENV AL X BL AL PVC X 28; NO_ACR
1139800190022; MD-76R; MD 76R; NOT FOUND; 660MG/ML + 100MG/ML SOL INJ CX 12 FR VD INC X 100M; NO_ACR
1139800190014; MD-76R; MD 76R; NOT FOUND; 660MG/ML + 100MG/ML SOL INJ CX 50 FR VD INC X 50ML; NO_ACR
1139800190030; MD-76R; MD 76R; NOT FOUND; 660 MG + 100 MG/ML SOL INJ CX 12 FR VD INC X 150 ML; NO_ACR
1139800190049; MD-76R; MD 76R; NOT FOUND; 660 MG + 100 MG/ML SOL INJ CX 12 FR VD INC X 200 ML; NO_ACR
1781700860017; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR PLAS OPC X 30 ML; NO_ACR
1781700860033; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO CT FR VD AMB X 30 ML; NO_ACR
1781700860025; MERTHIOLATE; MERTHIOLATE; NOT FOUND; 10 MG/ML SOL TOP AQUO FR PLAS OPC SPRAY X 45 ML; NO_ACR
1123633540022; MYLICON; MYLICON; NOT FOUND; 75 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
1123500100013; MILAX; MILAX; NOT FOUND; 80 MG/ML + 80 MG/ML + 6 MG/ML SUS OR CT FR PLAS OPC X 240 ML; NO_ACR
1228300100025; MIRADOR; MIRADOR; NOT FOUND; 500MG/ML SOL OR CT FR PLAS OPC X 10ML; NO_ACR
1228300100041; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
1039404770038; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML SOL OR CT FR PLAST OPC GOT X 10 ML; NO_ACR
1039404770054; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML SOL OR CT FR PLAST OPC GOT X 20 ML; NO_ACR
1039404770097; MAGNOPYROL; MAGNOPYROL; NOT FOUND; XAROPE FRASCO 100 ML; NO_ACR
1781700610045; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; NO_ACR
1781700610037; MIRADOR; MIRADOR; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC X 10 ML; NO_ACR
1781700220069; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 50 MG/ML SOL OR CT FR VD AMB X 100 ML; NO_ACR
1781700220018; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 10 ML; NO_ACR
1781700220034; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG/ML  SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
1039404770089; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 300 MG SUPOSIT CT STR X 5; NO_ACR
1781700220042; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 300 MG SUP CT STR X 5; NO_ACR
1228300100017; MIRADOR; MIRADOR; NOT FOUND; 500MG COM CT BL AL PLAS INC X 12; NO_ACR
1228300100033; MIRADOR; MIRADOR; NOT FOUND; 500MG COM CT BL AL PLAS INC X 150; NO_ACR
1039404770011; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 50 STR X 4; NO_ACR
1039404770161; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500MG COM CT 25 BL X 8; NO_ACR
1781700610010; MIRADOR; MIRADOR; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 12; NO_ACR
1781700610029; MIRADOR; MIRADOR; NOT FOUND; 500 MG COM BL AL PLAS INC X 150 (EMB MULT); NO_ACR
1781700220093; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 50 BL AL PLAS AMB X 04; NO_ACR
1781700220107; MAGNOPYROL; MAGNOPYROL; NOT FOUND; 500 MG COM CT 25 BL AL PLAS AMB X 08; NO_ACR
1123600220049; MOTILIUM; MOTILIUM; NOT FOUND; 1 MG/ML SUS OR CT FR VD AMB X 100 ML; NO_ACR
1123600220057; MOTILIUM; MOTILIUM; NOT FOUND; 1 MG/ML SUS OR CT FR VD AMB X 200 ML; NO_ACR
1123600220030; MOTILIUM; MOTILIUM; NOT FOUND; 1 MG/ML SUS OR CT FR VD AMB X 60 ML; NO_ACR
1123600220029; MOTILIUM; MOTILIUM; NOT FOUND; 10MG - COMP - BL - 20 COMP; NO_ACR
1123600220061; MOTILIUM; MOTILIUM; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
1123600220071; MOTILIUM; MOTILIUM; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 20; NO_ACR
1123600220088; MOTILIUM; MOTILIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; NO_ACR
1123600220096; MOTILIUM; MOTILIUM; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 90; NO_ACR
1466800400015; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; COMP. 2MG FR PLASTICO X 10; NO_ACR
1002000780032; MESIGYNA; MESIGYNA; NOT FOUND; 50 MG/ML + 5 MG/ML SOL INJ CT SER VD INC X 1 ML + AGU; NO_ACR
1002000780032; MESIGYNA; MESIGYNA; NOT FOUND; 50 MG/ML + 5 MG/ML SOL INJ CT SER VD INC X 1 ML + AGU; NO_ACR
1002000780032; MESIGYNA; MESIGYNA; NOT FOUND; 50 MG/ML + 5 MG/ML SOL INJ CT SER VD INC X 1 ML + AGU; NO_ACR
1211001250012; MINESSE; MINESSE; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC CART CALEND X 24; NO_ACR
1211001250047; MINESSE; MINESSE; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 24; NO_ACR
1211000050021; MINULET; MINULET; NOT FOUND; 0.075 MG + 0.03 MG DRG CT BL AL PLAS INC X 21; NO_ACR
1002000910017; MIRELLE; MIRELLE; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT ENV BL CALEND X 24; NO_ACR
1002000260020; MICROVLAR; MICROVLAR; NOT FOUND; 0.15 MG + 0.03 MG DRG CT  BL CALEND AL PLAS INC X 21; NO_ACR
1002000260012; MICROVLAR; MICROVLAR; NOT FOUND; 0.15 MG + 0.03 MG DRG CT 50 BL CALEND AL PLAS INC X 21; NO_ACR
1002000260020; MICROVLAR; MICROVLAR; NOT FOUND; 0.15 MG + 0.03 MG DRG CT BL CALEND AL PLAS INC X 21; NO_ACR
1002001270011; MIRANOVA; MIRANOVA; NOT FOUND; 0.10 MG + 0.02 MG DRG CT BL CALEND AL PLAS INC X 21; NO_ACR
1015100980041; MONONINE; MONONINE; NOT FOUND; 1000 UI - PO LIOFILIZADO CARTELA FRASCO AMPOLA; NO_ACR
1015100980023; MONONINE; MONONINE; NOT FOUND; 250 UI - PO LIOFILIZADO CARTELA FRASCO AMPOLA +; NO_ACR
1015100980031; MONONINE; MONONINE; NOT FOUND; 500 UI - PO LIOFILIZADO CARTELA FRASCO AMPOLA; NO_ACR
1015100870048; MONOCLATE-P; MONOCLATE P; NOT FOUND; 1000 UI - PO LIOFILIZADO CARTELA FRASCO AMPOLA; NO_ACR
1015100870021; MONOCLATE-P; MONOCLATE P; NOT FOUND; 250 UI - PO LIOFILIZADO CARTELA FRASCO AMPOLA +; NO_ACR
1015100870031; MONOCLATE-P; MONOCLATE P; NOT FOUND; 500 UI - PO LIOFILIZADO CARTELA FRASCO AMPOLA; NO_ACR
1211700170027; MERACILINA; MERACILINA; NOT FOUND; COM STR X 12; NO_ACR
1211700170019; MERACILINA; MERACILINA; NOT FOUND; COM 25 STR X 10; NO_ACR
1064601700025; MYOGRAF; MYOGRAF; NOT FOUND; 300 MCG SOL INJ CT 5 FA VD INC X 1 ML ; NO_ACR
1376400750028; MENADION; MENADION; NOT FOUND; 10 MG/ML SOL INJ CX 25 AMP X 0.2 ML; NO_ACR
1376400750011; MENADION; MENADION; NOT FOUND; 10 MG/ML SOL INJ CX 5 AMP X 0.2 ML; NO_ACR
1376400750036; MENADION; MENADION; NOT FOUND; 10 MG/ML SOL INJ CX 50 AMP X 0.2 ML; NO_ACR
1121302170027; MICETAL; MICETAL; NOT FOUND; 0.01 G/ML SOL TOP CT FR PLAS OPC SPRAY X 30 ML; NO_ACR
1121302170061; MICETAL; MICETAL; NOT FOUND; 0.01 G/G CREM DERM CT  BG AL X 15 G; NO_ACR
1121302170035; MICETAL; MICETAL; NOT FOUND; 0.01 G/G CREM  DERM CT BG AL X 30 G; NO_ACR
