1064601590025; KINNOFERON; KINNOFERON; NOT FOUND; 3.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML ; NO_ACR
1126000650167; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 500 MG - 1 CX COM 8 DRGS.; NO_ACR
1126000650159; KEFLEX; KEFLEX; NOT FOUND; KEFLEX 500MG - 1 CX COM 40 DRGS.; NO_ACR
1556200040025; KEFLIN NEUTRO; KEFLIN NEUTRO; NOT FOUND; 1 G PO INJ CT 50 FA VD INC CAPAC. 10ML (EMB HOSP); NO_ACR
1556200040041; KEFLIN NEUTRO; KEFLIN NEUTRO; NOT FOUND; 1 G PO INJ CT 50 FA VD INC + 50 AMP DIL; NO_ACR
1126000600046; KEFLIN; KEFLIN; NOT FOUND; KEFLIN NEUTRO - 1 CX. COM 50 AMPS. COM DILUENTE; NO_ACR
1126000600021; KEFLIN; KEFLIN; NOT FOUND; KEFLIN NEUTRO - 1 CX. COM 50 AMPS. SEM DILUENTE; NO_ACR
1126000670028; KEFAZOL; KEFAZOL; NOT FOUND; KEFAZOL - 1 FRASCO-AMPOLA 250 MG + 1 AMP. DIL.; NO_ACR
1126000670036; KEFAZOL; KEFAZOL; NOT FOUND; KEFAZOL - 1 FRASCO-AMPOLA 500 MG + 1 AMP. DIL.; NO_ACR
1126000670079; KEFAZOL; KEFAZOL; NOT FOUND; KEFAZOL - 50 FRASCOS-AMPOLA COM 1 G; NO_ACR
1556200030070; KEFAZOL; KEFAZOL; NOT FOUND; 1 G PO INJ CT 50 FA VD INC CAPAC. 10ML; NO_ACR
1556200030021; KEFAZOL; KEFAZOL; NOT FOUND; 250 MG PO INJ CT FA VD INC CAPAC. 10ML+AMP DIL X2ML (125MG/ML APOS REC); NO_ACR
1556200030038; KEFAZOL; KEFAZOL; NOT FOUND; 500MG PO INJ CT FA VD INC CAPAC. 10ML+AMP DIL X2ML (225MG/ML APOS REC); NO_ACR
1556200030143; KEFAZOL; KEFAZOL; NOT FOUND; 1G PO INJ CX 50 FA VD INC CAPAC. 10ML + 50 BOLS FLEX (SIST FEC) X 100ML (EMB HOSP); NO_ACR
1556200160020; KEFAXIM; KEFAXIM; NOT FOUND; 1G PO INJ CT 25 FA VD INC X 10 ML; NO_ACR
1556200160039; KEFAXIM; KEFAXIM; NOT FOUND; 1G PO INJ CT 50 FA VD INC X 10 ML; NO_ACR
1556200160012; KEFAXIM; KEFAXIM; NOT FOUND; 1G PO INJ CT FA VD INC X 10 ML; NO_ACR
1556200070021; KEFOX; KEFOX; NOT FOUND; 1 G PO INJ CT 25 FA VD INC X 10 ML; NO_ACR
1556200070013; KEFOX; KEFOX; NOT FOUND; 1 G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML; NO_ACR
1556200070031; KEFOX; KEFOX; NOT FOUND; 1 G PO INJ CX 25 FA VD INC X 10 ML + 25 BOLS FLEX (SIST FEC) X 100 ML (EMB HOSP); NO_ACR
1556200060050; KEFADIM; KEFADIM; NOT FOUND; 1 G PO INJ CT FA VD TRANS TIPO I; NO_ACR
1556200060034; KEFADIM; KEFADIM; NOT FOUND; 1 G PO INJ CT 25 FA VD TRANS TIPO I (EMB. HOSP); NO_ACR
1556200060190; KEFADIM; KEFADIM; NOT FOUND; 1 G PO INJ CX 50 FA VD TRANS TIPO I; NO_ACR
1556200090014; KEFTRON; KEFTRON; NOT FOUND; 1G PO INJ CT 25 FA VD INC X 10 ML ; NO_ACR
1556200090022; KEFTRON; KEFTRON; NOT FOUND; 1G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP PLAS DIL X 10 ML ; NO_ACR
1556200090057; KEFTRON; KEFTRON; NOT FOUND; 1G PO INJ CT 50 FA VD INC X 10 ML; NO_ACR
1556200090065; KEFTRON; KEFTRON; NOT FOUND; 1G PO INJ CT 50 FA VD INC X 10 ML + 50 AMP PLAS DIL X 10 ML; NO_ACR
1556200110031; KEROXIME; KEROXIME; NOT FOUND; 750 MG PO INJ CT 25 FA VD INC X 10 ML; NO_ACR
1556200110041; KEROXIME; KEROXIME; NOT FOUND; 750 MG PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML ; NO_ACR
1556200110058; KEROXIME; KEROXIME; NOT FOUND; 750 MG PO INJ CT 50 FA VD INC X 10 ML ; NO_ACR
1556200110066; KEROXIME; KEROXIME; NOT FOUND; 750 MG PO INJ CT 50 FA VD INC X 10 ML + 50 AMP DIL X 10 ML; NO_ACR
1556200110015; KEROXIME; KEROXIME; NOT FOUND; 750 MG PO INJ CT FA VD INC X 10 ML; NO_ACR
1556200110023; KEROXIME; KEROXIME; NOT FOUND; 750 MG PO INJ CT FA VD INC X 10 ML + AMP DIL X 10 ML; NO_ACR
1057701310031; KETONAZOL; KETONAZOL; NOT FOUND; 20 MG/G XAMP CT FR PLAS OPC X 100 ML; NO_ACR
1057701310021; KETONAZOL; KETONAZOL; NOT FOUND; 20 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
1057701310013; KETONAZOL; KETONAZOL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 10; NO_ACR
1376400170013; KETACON; KETACON; NOT FOUND; 200 MG COMP. CX. 01 BLX10; NO_ACR
1013100570013; KETOCON; KETOCON; NOT FOUND; 200 MG COMP CX COM 10; NO_ACR
1013100570021; KETOCON; KETOCON; NOT FOUND; 200 MG COMP CX COM 30; NO_ACR
1123633890015; KALYAMON KIDS; KALYAMON KIDS; NOT FOUND; SUS OR CT FR VD AMB X 250 ML; NO_ACR
1171700260022; KAOSEC; KAOSEC; NOT FOUND; 2.0 MG COM CT 50 BL AL PLAS INC X 4; NO_ACR
1171700260014; KAOSEC; KAOSEC; NOT FOUND; 2.0 MG COM CT BL AL PLAS INC X 12; NO_ACR
1252100060022; KOLANGEX; KOLANGEX; NOT FOUND; (40+40+4) MG/ML SUS OR CT FR VD AMB X 100 ML + COPO DOSADOR; NO_ACR
1252100060041; KOLANGEX; KOLANGEX; NOT FOUND; 25 BL 04 COMP; NO_ACR
1252100060030; KOLANGEX; KOLANGEX; NOT FOUND; (200 + 200 + 20) MG COM MAST CT FR PLAS OPAC X 20; NO_ACR
1121300890022; KILLIT; KILLIT; NOT FOUND; 250 MG SOL INJ CX 10 AMP X 10 ML; NO_ACR
1043400310014; KRAFTOL; KRAFTOL; NOT FOUND; SOLUCAO FR C/ 150 ML; NO_ACR
1047700060010; KOLA FOSF. SOEL; KOLA FOSF SOEL; NOT FOUND; VD 150 ML XPE; NO_ACR
1126000030053; KEFADIM; KEFADIM; NOT FOUND; KEFADIM - 1 FRASCO-AMPOLA COM 1 G; NO_ACR
1376400590020; KIDAZOM; KIDAZOM; NOT FOUND; 1 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1376400590039; KIDAZOM; KIDAZOM; NOT FOUND; 1 MG/ML SOL INJ CT AMP VD INC X 3 ML; NO_ACR
1376400590012; KIDAZOM; KIDAZOM; NOT FOUND; 1MG COM CX 1 BL X 2; NO_ACR
1058200010015; KILLTOSSE; KILLTOSSE; NOT FOUND; 20 MG/ML XPE CX FR VD AMB X 100 ML; NO_ACR
1123633190013; KALYAMON B-12; KALYAMON B 12; NOT FOUND; SUS OR CT FR VD INC X 250 ML ; NO_ACR
1010702610014; KIVEXA; KIVEXA; NOT FOUND; 600 MG + 300 MG COM REV CT FR PLAS X 30 (PORT. 344 LIST C4) ; NO_ACR
1211700560010; KATADOLON; KATADOLON; NOT FOUND; CAP 3 STR X 4; NO_ACR
1037202250053; KOTICO; KOTICO; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 15 ; NO_ACR
1037202250061; KOTICO; KOTICO; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 30; NO_ACR
1037202250134; KOTICO; KOTICO; NOT FOUND; 5 MG COM REV CT BL AL/AL X 15  ; NO_ACR
1037202250142; KOTICO; KOTICO; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; NO_ACR
1037202250231; KOTICO; KOTICO; NOT FOUND; 10 MG COM REV CT BL AL/AL X 15; NO_ACR
1037202250241; KOTICO; KOTICO; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; NO_ACR
1186100480021; KLISPEL; KLISPEL; NOT FOUND; 10 MG CX COM 14 CAPS; NO_ACR
1186100480038; KLISPEL; KLISPEL; NOT FOUND; 20 MG CX COM 7 CAPS; NO_ACR
1186100480097; KLISPEL; KLISPEL; NOT FOUND; 40 MG CX COM 7 CAPS; NO_ACR
1010702440011; KWELL; KWELL; NOT FOUND; 10 MG/G LOC CT FR PLAS OPC X 60 ML; NO_ACR
1556200070013; KEFOX; KEFOX; NOT FOUND; 1 G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML; NO_ACR
1370700160018; KÓKOLOS; KOKOLOS; NOT FOUND; SOL. ORAL 80 ML.; NO_ACR
1171700500015; KALIPTOSAN; KALIPTOSAN; NOT FOUND; XPE CT FR PET OPC X 100ML; NO_ACR
