1039405320109; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ; NO_ACR
1002000020054; ANDROCUR; ANDROCUR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 20; NO_ACR
1002000020054; ANDROCUR; ANDROCUR; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1064601720026; ACETATO DE DESMOPRESSINA; ACETATO DESMOPRESSINA; ACETATO DESMOPRESSINA; 0.1 MG/ML SOL NAS CT FR SPR VD AMB X 5 ML; NO_ACR
1064601720018; ACETATO DE DESMOPRESSINA; ACETATO DESMOPRESSINA; ACETATO DESMOPRESSINA; 0.1 MG/ML SOL NAS CT FR SPR VD AMB X 2.5 ML; NO_ACR
1376400570011; ADRECON; ADRECON; NOT FOUND; 4 MG/ML INJ 100 FA X 2.5 ML; NO_ACR
1376400570054; ADRECON; ADRECON; NOT FOUND; 1 MG/G CREM DERM CT 100 BG AL REV X 10 G ; NO_ACR
1376400570046; ADRECON; ADRECON; NOT FOUND; 1 MG/G CREM DERM CT BG AL REV X 10 G ; NO_ACR
1081700630017; ACETATO DE ALFA DL TOCOFEROL; ACETATO ALFA DL TOCOFEROL; NOT FOUND; CAP GEL MOLE CT FR PLAS OPC X 30 400MG; NO_ACR
1186101230027; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
1186102360013; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 15 G; NO_ACR
1186102360021; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G; NO_ACR
1057700050012; ACEMEDROX; ACEMEDROX; NOT FOUND; 10 MG COM CT BL AL PLAST INC X 5; NO_ACR
1468200240031; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.05 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1468200240013; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1468200240048; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.1 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1468200240021; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1547100020041; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.1 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1547100020023; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.1 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1547100020031; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.05 MG/ML SOL INJ CT AMP VD INC X 1 ML; NO_ACR
1547100020015; ACETATO DE OCTREOTIDA; ACETATO OCTREOTIDA; ACETATO OCTREOTIDA; 0.05 MG/ML SOL INJ CT 5 AMP VD INC X 1 ML; NO_ACR
1039405120010; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; NO_ACR
1039405120029; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 150 ML + CP MED; NO_ACR
1039405050012; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; NO_ACR
1039405050020; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; NO_ACR
1039405050039; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV PAPEL AL POLIET X 5 G; NO_ACR
1008100790018; ACROMAX; ACROMAX; NOT FOUND; CX C/ 10 ML FLACONETES; NO_ACR
1008100790026; ACROMAX; ACROMAX; NOT FOUND; CX C/ 50 ML FLACONETES; NO_ACR
1057701390033; ACIVERAL; ACIVERAL; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1092201890035; ACICLOVAN (ACICLOVIR); ACICLOVAN ACICLOVIR; NOT FOUND; 50 MG/G CREM CT BG AL X 10 G; NO_ACR
1068901100034; ACICLOR; ACICLOR; NOT FOUND; 50MG/G CREME DERM BISN AL X 2G; NO_ACR
1068901100018; ACICLOR; ACICLOR; NOT FOUND; 50 MG/G CREM  CT BG AL X 10 G; NO_ACR
1121304100034; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
1466800900018; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 10; NO_ACR
1466800900026; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; NO_ACR
1466800900034; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT FR PLAS OPC X 10; NO_ACR
1466800900042; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT FR PLAS OPC X 25; NO_ACR
1057701390017; ACIVERAL; ACIVERAL; NOT FOUND; 200 MG CX 25 COMP; NO_ACR
1057701390025; ACIVERAL; ACIVERAL; NOT FOUND; 400 MG COM REV CT 7 BL AL PLAS INC X 10; NO_ACR
1092201890019; ACICLOVAN (ACICLOVIR); ACICLOVAN ACICLOVIR; NOT FOUND; 200 MG COMP CX C/ 25; NO_ACR
1068901100026; ACICLOR; ACICLOR; NOT FOUND; 200 MG/COM CT BL AL PLAS INC X 25; NO_ACR
1121304110031; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; NO_ACR
1121303550028; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL DERM CT BG PE OPC X 30 G; NO_ACR
1190900150014; ALAGLU; ALAGLU; NOT FOUND; 200 MG/ML SOL INJ IV BOLS X 100 ML; NO_ACR
1060300620018; ALBA 3; ALBA 3; NOT FOUND; FR. C/10 ML X 400 MG.; NO_ACR
1026900310013; ALBAVERMIN; ALBAVERMIN; NOT FOUND; FR COM 10 ML SUSP; NO_ACR
1068900920011; ALBENDY; ALBENDY; NOT FOUND; 40 MG/ML SUS OR CT FR VD AMB X 10 ML ; NO_ACR
1168000200019; ALBENDY; ALBENDY; NOT FOUND; 4PCC SUSP ORAL FR VD X 10ML; NO_ACR
1171700170031; ALBENDAL; ALBENDAL; NOT FOUND; 400 MG/10 ML SUS OR CT FR VD AMB X 10 ML; NO_ACR
1060300620026; ALBA 3; ALBA 3; NOT FOUND; CX. C/BL X 2 COMP. X 200 MG.; NO_ACR
1026900310021; ALBAVERMIN; ALBAVERMIN; NOT FOUND; CX COM 2 COMP; NO_ACR
1068900920021; ALBENDY; ALBENDY; NOT FOUND; 400 MG COM MAST CX BL AL PLAS INC X 1; NO_ACR
1168000200027; ALBENDY; ALBENDY; NOT FOUND; 400MG COMP MAST BL AL X 1; NO_ACR
1294000060018; ALBENDOXIL; ALBENDOXIL; NOT FOUND; 200 MG COM CT BL AL PVC X 2; NO_ACR
1294000060026; ALBENDOXIL; ALBENDOXIL; NOT FOUND; 400 MG COM CT BL AL PVC X 1; NO_ACR
1171700170015; ALBENDAL; ALBENDAL; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 2; NO_ACR
1171700170023; ALBENDAL; ALBENDAL; NOT FOUND; 400 MG COM CT BL AL PLAS INC X 1; NO_ACR
1015101010021; ALBUMINAR; ALBUMINAR; NOT FOUND; 20 PCC CT FA VD INC X 50 ML; NO_ACR
1015101220018; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 20ML ; NO_ACR
1015101220034; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT 5 FA VD INC X 20ML ; NO_ACR
1015101220042; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT 5 FA VD INC X 50ML  ; NO_ACR
1015101220026; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 50ML; NO_ACR
1015101220050; ALBUREX 20; ALBUREX 20; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 100ML  ; NO_ACR
1018500010011; ALBUMINA HUMANA; ALBUMINA HUMANA; NOT FOUND; 20% IMMUNO FR AMP C/ 50ML (SOL. INJ.); NO_ACR
1018500010046; ALBUMINA HUMANA; ALBUMINA HUMANA; NOT FOUND; 25% IMMUNO FR AMP C/ 50ML (SOL. INJ.) + EQUIPO; NO_ACR
1110200010017; ALBUMINA HUMANA KGCC; ALBUMINA HUMANA KGCC; NOT FOUND; 20% FRASCO C/50 ML; NO_ACR
1091400070021; ALBUMINA HUMANA 20%; ALBUMINA HUMANA 20; NOT FOUND; 20% SOL INJ CX FA INC X 50 ML; NO_ACR
1091400070013; ALBUMINA HUMANA 20%; ALBUMINA HUMANA 20; NOT FOUND; FRASCO 100 ML; NO_ACR
1091400190027; ALBIOMIN; ALBIOMIN; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 50ML; NO_ACR
1091400190019; ALBIOMIN; ALBIOMIN; NOT FOUND; 200G/L SOL INJ CT FA VD INC X 100ML ; NO_ACR
1103901970014; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 2 ; NO_ACR
1103901970022; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 4 ; NO_ACR
1103901970030; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 8; NO_ACR
1103901970049; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X 12; NO_ACR
1103901970057; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL PLAS OPC X  70 (EMB HOSP); NO_ACR
1121303100014; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 10 MG COM CT BL AL PLAS BCO OPC X 30; NO_ACR
1121303100022; ALENDRONATO SÓDICO; ALENDRONATO SODICO; NOT FOUND; 10 MG COM CT BL AL PLAS BCO OPC X 15; NO_ACR
1121304540026; ALENDRONATO DE SODIO; ALENDRONATO SODIO; NOT FOUND; 70 MG COM CT BL AL/AL X 4; NO_ACR
1211003170016; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 2 ; NO_ACR
1211003170024; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 4; NO_ACR
1211003170032; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 8; NO_ACR
1211003170040; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVC TRANS X 12; NO_ACR
1211003170059; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 2 ; NO_ACR
1211003170067; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 4; NO_ACR
1211003170075; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 8; NO_ACR
1211003170083; ALENOST; ALENOST; NOT FOUND; 70 MG COM CT BL AL PVDC TRANS X 12; NO_ACR
1121301750011; ALFAD; ALFAD; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR PLAS OPC X 30; NO_ACR
1121301750021; ALFAD; ALFAD; NOT FOUND; 1 MCG CAP GEL MOLE CT FR PLAS OPC X 30; NO_ACR
1064602010014; ARANESP; ARANESP; NOT FOUND; 25 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.4 ML + AGU ; NO_ACR
1064602010022; ARANESP; ARANESP; NOT FOUND; 25 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.4 ML + AGU  ; NO_ACR
1064602010030; ARANESP; ARANESP; NOT FOUND; 40 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.5 ML + AGU  ; NO_ACR
1064602010049; ARANESP; ARANESP; NOT FOUND; 40 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.5 ML + AGU   ; NO_ACR
1064602010057; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.3 ML + AGU   ; NO_ACR
1064602010065; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.3 ML + AGU; NO_ACR
1064602010073; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.4 ML + AGU    ; NO_ACR
1064602010081; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.4 ML + AGU; NO_ACR
1064602010091; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.5 ML + AGU     ; NO_ACR
1064602010103; ARANESP; ARANESP; NOT FOUND; 100 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
1064602010111; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.3 ML + AGU      ; NO_ACR
1064602010121; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.3 ML + AGU ; NO_ACR
1064602010138; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.4 ML + AGU       ; NO_ACR
1064602010146; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.4 ML + AGU; NO_ACR
1064602010154; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.5 ML + AGU        ; NO_ACR
1064602010162; ARANESP; ARANESP; NOT FOUND; 200 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.5 ML + AGU; NO_ACR
1064602010170; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.3 ML + AGU         ; NO_ACR
1064602010189; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.3 ML + AGU; NO_ACR
1064602010197; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT SER PREENC VD TRANS X 0.6 ML + AGU          ; NO_ACR
1064602010200; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 0.6 ML + AGU; NO_ACR
1064602010219; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT SER PREENC VD TRANS X 1.0 ML + AGU           ; NO_ACR
1064602010227; ARANESP; ARANESP; NOT FOUND; 500 MCG / ML SOL INJ CT 4 SER PREENC VD TRANS X 1.0 ML + AGU           ; NO_ACR
1106301100013; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 2000 UI SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
1106301100021; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
1106301100031; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 2000 UI SOL INJ CT 12 FA VD INC X 1 ML ; NO_ACR
1106301100048; ALFAEPOETINA; ALFAEPOETINA; ALFAEPOETINA; 4000 UI SOL INJ CT 12 FA VD INC X 1 ML ; NO_ACR
1064601890010; ALOZEX; ALOZEX; NOT FOUND; 0.25 MG/ML SOL CAP CT FR APLIC PLAS OPC X 100ML; NO_ACR
1064601900016; ALFAESTRADIOL; ALFAESTRADIOL; ALFAESTRADIOL; 0.25 MG/ML SOL CAP CT FR APLIC PLAS OPC X 100 ML; NO_ACR
1121300880019; ALFAINTERFERONA 2B (RECOMBINANTE); ALFAINTERFERONA 2B RECOMBINANTE; NOT FOUND; 10.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML; NO_ACR
1121300880035; ALFAINTERFERONA 2B (RECOMBINANTE); ALFAINTERFERONA 2B RECOMBINANTE; NOT FOUND; 3.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML; NO_ACR
1121300880027; ALFAINTERFERONA 2B (RECOMBINANTE); ALFAINTERFERONA 2B RECOMBINANTE; NOT FOUND; 5.000.000 UI PO LIOF INJ CT 5 FA VD INC + 5 AMP DIL X 1 ML; NO_ACR
1106301110019; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 3000000 UI PO LIOF INJ CT 1 FA VD INC X 1 DOS + 1 AMP SOL DIL; NO_ACR
1106301110027; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 10000000 UI PO LIOF INJ CT 1 FA VD INC X 1 DOS + 1 AMP SOL DIL; NO_ACR
1106301110035; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 5000000 UI PO LIOF INJ CT 1 FA VD INC X 1 DOS + 1 AMP SOL DIL; NO_ACR
1106301110043; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 3000000 UI PO LIOF INJ CT 3 FA VD INC X 1 DOS + 3 AMP SOL DIL  ; NO_ACR
1106301110051; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 5000000 UI PO LIOF INJ CT 3 FA VD INC X 1 DOS + 3 AMP SOL DIL   ; NO_ACR
1106301110061; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; ALFAINTERFERONA 2B; 10000000 UI PO LIOF INJ CT 3 FA VD INC X 1 DOS + 3 AMP SOL DIL  ; NO_ACR
1037202280017; ALDIJET; ALDIJET; NOT FOUND; 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML ; NO_ACR
1092201610032; ACIDEX; ACIDEX; NOT FOUND; 61.95 MG/ML SUS OR CT FR VD AMB X 240 ML; NO_ACR
1092201020022; ACIDEX; ACIDEX; NOT FOUND; SUSP ORAL FR C/ 150 ML; NO_ACR
1092201020014; ACIDEX; ACIDEX; NOT FOUND; COM CX 2 BL X 10; NO_ACR
1466800140021; ALOPURINOL; ALOPURINOL; ALOPURINOL; COMP. 300MG CX 3 BL AL PLASTICO X 10; NO_ACR
1466800140013; ALOPURINOL; ALOPURINOL; ALOPURINOL; COMP.300MG CX 2 BL AL PASTICO X 15; NO_ACR
1062400990011; ALOPURIMILIUM; ALOPURIMILIUM; NOT FOUND; 100MG - CAIXA COM 30 CPDS; NO_ACR
1062400990038; ALOPURIMILIUM; ALOPURIMILIUM; NOT FOUND; 300MG CAIXA COM 30 CPDS; NO_ACR
1466800420016; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; COMP. 0.25MG FR PLASTICO X 20; NO_ACR
1466800420024; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; COMP. 0.5MG FR PLASTICO X 20; NO_ACR
1466800420032; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; COMP. 1.0MG FR PLASTICO X 20; NO_ACR
1121302940019; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.25 MG COM CT BL AL PLAS INC X 20; NO_ACR
1121302940043; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.50 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
1121304240103; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; NO_ACR
1121304240170; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 2.0 MG COM CT BL AL PLAS INC X 30; NO_ACR
1121304240030; ALPRAZOLAM; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
1274800290013; ALPROXY; ALPROXY; NOT FOUND; 500 MCG/ML SOL INJ CT AMP VD AMB X 1 ML; NO_ACR
1376400230024; AMINAX; AMINAX; NOT FOUND; 250 MG/ML- 50 AMP. 2ML; NO_ACR
1376400230040; AMINAX; AMINAX; NOT FOUND; 250 MG/ML-1 AMP. 2ML; NO_ACR
1376400230016; AMINAX; AMINAX; NOT FOUND; 50 MG/ML - CX. 50 AMP. 2ML; NO_ACR
1376400230032; AMINAX; AMINAX; NOT FOUND; 50 MG/ML 1AMP. 2 ML; NO_ACR
1517000140017; AMINOFARMA; AMINOFARMA; NOT FOUND; 240MG/10ML CAIXA COM 100 UND 10ML EM VIDRO; NO_ACR
1018300200016; AMINOFILINA; AMINOFILINA; AMINOFILINA; CX. C/100 AMPOLAS X 10 ML; NO_ACR
1120900250016; AMINOFILINA; AMINOFILINA; AMINOFILINA; 100 MG COM CX 50 ENV X 10 (EMB HOSP); NO_ACR
1294000070013; AEROFILIN; AEROFILIN; NOT FOUND; 200 MG COM CT BL AL PLAS INC X 20; NO_ACR
1099800080018; AMINOGEL; AMINOGEL; NOT FOUND; 100MG COMP. CX C/ 500 COMP.; NO_ACR
1466800050014; AMOXICILINA; AMOXICILINA; AMOXICILINA; PO SUSP.ORAL 250MG/5ML FR PLASTICO 150 ML; NO_ACR
1057700260020; AMOXITAN; AMOXITAN; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT FR VD AMB X 60 ML; NO_ACR
1057700260071; AMOXITAN; AMOXITAN; NOT FOUND; 50 MG/ML PO PREP EXTEMP SUS OR CT FR VD AMB X 150 ML; NO_ACR
1010700030703; AMOXIL; AMOXIL; NOT FOUND; 125 MG/5 ML PO SUS OR CT FR VD TRANS X 150 ML ; NO_ACR
1010700030711; AMOXIL; AMOXIL; NOT FOUND; 250 MG/5 ML PO SUS OR CT FR VD TRANS X 150 ML ; NO_ACR
1010700030721; AMOXIL; AMOXIL; NOT FOUND; 500 MG/5 ML PO SUS OR CT FR VD TRANS X 150 ML ; NO_ACR
1090600780059; AMOXICICLINA; AMOXICICLINA; NOT FOUND; 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 150 ML; NO_ACR
1466800630029; AMOXICILINA; AMOXICILINA; AMOXICILINA; CPS 500MG CX 3BL X 7; NO_ACR
1466800630053; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
1466800630061; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT FR PLAS OPC X 21; NO_ACR
1057700260055; AMOXITAN; AMOXITAN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; NO_ACR
1057700260047; AMOXITAN; AMOXITAN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 6; NO_ACR
1474200010039; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7; NO_ACR
1474200010012; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 12; NO_ACR
1090600780024; AMOXICICLINA; AMOXICICLINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 10; NO_ACR
1564900030066; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
1564900030041; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 100 (EMB HOSP); NO_ACR
1564900030074; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 1000(EMB HOSP); NO_ACR
1564900030015; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 15; NO_ACR
1564900030058; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP); NO_ACR
1564900030023; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; NO_ACR
1564900030031; AMOXICILINA; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 30; NO_ACR
1121304610016; AMOXICILINA + CLAVULANATO DE POTÁSSIO; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14; NO_ACR
